
[00:00:00.000 --> 00:00:05.120]  剛才我差點以為真的到我,還沒到我,現在才真正到我
[00:00:05.120 --> 00:00:09.600]  什麼叫真假?什麼是對的?什麼是不對的?
[00:00:09.600 --> 00:00:13.840]  有人說現在是一個虛假的世代
[00:00:13.840 --> 00:00:17.040]  一個很虛荒,很不真實的世代
[00:00:17.040 --> 00:00:18.560]  大家同不同意嗎?
[00:00:18.560 --> 00:00:24.480]  圍繞我們實在有很多謊言,很多欺詐詐騙的事情
[00:00:24.480 --> 00:00:28.240]  過去這個星期,我相信大家都很留意到一則新聞
[00:00:28.240 --> 00:00:34.640]  就是台灣人、香港人被一些詐騙集團騙到東南亞
[00:00:34.640 --> 00:00:43.120]  騙他們的工作,結果成為人蛇,非法禁錮
[00:00:43.120 --> 00:00:47.920]  要求很高額的贖金,有些至今仍然下落不明
[00:00:47.920 --> 00:00:53.200]  其實真的很可怕,求主去施恩,去拯救
[00:00:53.200 --> 00:00:57.200]  而其他形式的詐騙其實很多
[00:00:57.200 --> 00:01:02.720]  網上情緣投資詐騙案,大家經歷過了嗎?
[00:01:02.720 --> 00:01:05.040]  都不知道怎麼說,我沒有經歷過你們
[00:01:05.040 --> 00:01:10.320]  但我都經歷過收到很多訊息,是一些電話騙案
[00:01:10.320 --> 00:01:17.840]  好像衛生署的人的WhatsApp,有關於防疫的情況
[00:01:17.840 --> 00:01:23.760]  又或者一些香港郵政的包裹,說到了,不過要給錢
[00:01:23.760 --> 00:01:26.880]  大家收過了嗎?都收過了
[00:01:26.880 --> 00:01:32.000]  還有一次我跟一個內地的官員,自稱
[00:01:32.000 --> 00:01:35.040]  談了很久電話,普通話又緊張
[00:01:35.040 --> 00:01:39.520]  我又真的剛好早前,那一段時間錢包不見了
[00:01:39.520 --> 00:01:43.840]  他就說不知道什麼被盜用,我越說越害怕
[00:01:43.840 --> 00:01:49.920]  然後他露出一些露餡
[00:01:49.920 --> 00:01:53.440]  他說你現在旁邊有沒有人?沒有人就對了
[00:01:53.440 --> 00:01:57.600]  我就知道,小心,馬上收線
[00:01:57.600 --> 00:02:03.280]  或者是近我們一些,我們日常都用一些社交媒體
[00:02:03.280 --> 00:02:06.720]  我們有沒有將自己的東西發佈到Facebook
[00:02:06.720 --> 00:02:08.560]  在臉書那裡分享一下
[00:02:08.560 --> 00:02:12.960]  總是去哪裡玩,吃了什麼,很漂亮的
[00:02:12.960 --> 00:02:17.120]  又或者跟家人,怎樣好怎樣好
[00:02:17.120 --> 00:02:21.760]  其實往往都是報喜,不報憂,有時都很假
