
[00:00:00.000 --> 00:00:05.000]  在講道之前,我也想大家一起同心去禱告
[00:00:05.000 --> 00:00:10.000]  慈悲仁愛,天父愛,感謝你
[00:00:10.000 --> 00:00:14.000]  讓我們可以今天一齊回來去敬拜你
[00:00:14.000 --> 00:00:18.000]  求主你打開我們的心,聆聽神理的話語
[00:00:18.000 --> 00:00:21.000]  也為神理的話語提醒和幫助
[00:00:21.000 --> 00:00:26.000]  叫我們能夠為主豁出去,成就神理的心意
[00:00:26.000 --> 00:00:29.000]  奉主耶穌基督之名,祈求阿們
[00:00:29.000 --> 00:00:33.000]  早晨,大家很精神
[00:00:33.000 --> 00:00:38.000]  今天是年初六
[00:00:38.000 --> 00:00:42.000]  也很想在這裡和大家說一聲新年快樂
[00:00:42.000 --> 00:00:45.000]  最重要的是身體健康
[00:00:45.000 --> 00:00:49.000]  和你旁邊的人說一聲新年快樂
[00:00:49.000 --> 00:00:57.000]  好,很開心,新年快樂
[00:00:57.000 --> 00:01:00.000]  不知道大家有沒有聽過
[00:01:00.000 --> 00:01:06.000]  香港每年都有十大消費新聞的選舉
[00:01:06.000 --> 00:01:12.000]  沒有聽過,其中有一項叫做最離譜的新聞
[00:01:12.000 --> 00:01:16.000]  大家猜一下是哪一單
[00:01:16.000 --> 00:01:20.000]  結果其實在這個月已經公佈了
[00:01:20.000 --> 00:01:23.000]  第一名就是上年九月
[00:01:23.000 --> 00:01:27.000]  在中環舉行的熱氣球節
[00:01:27.000 --> 00:01:30.000]  有沒有聽過?有聽過
[00:01:30.000 --> 00:01:34.000]  話說主辦方收了人家幾千元之後
[00:01:34.000 --> 00:01:41.000]  才發現原來還沒有拿到可以載人升空的許可證
[00:01:41.000 --> 00:01:43.000]  最離譜的是什麼呢?
[00:01:43.000 --> 00:01:48.000]  最離譜的是他打算只賠一張雪糕券給你就算了
[00:01:48.000 --> 00:01:53.000]  結果在輿論壓力和消委會介入之後
[00:01:53.000 --> 00:01:57.000]  主辦方才肯全數退款
[00:01:57.000 --> 00:01:59.000]  說到離譜這個字
[00:01:59.000 --> 00:02:04.000]  我相信大家可能想起一些比較負面、貶義的
[00:02:04.000 --> 00:02:09.000]  形容一些人或一些事脫離一些常理
[00:02:09.000 --> 00:02:12.000]  或者很奇怪、很誇張的意思
[00:02:12.000 --> 00:02:15.000]  至少還有一件離譜的事
[00:02:15.000 --> 00:02:17.000]  就是今天的題目
[00:02:17.000 --> 00:02:19.000]  大家可能覺得很奇怪
[00:02:19.000 --> 00:02:23.000]  它是2024年的一首流行曲
[00:02:23.000 --> 00:02:25.000]  不知道有沒有人聽過
[00:02:25.000 --> 00:02:28.000]  年輕的可不可以聽一下
[00:02:28.000 --> 00:02:31.000]  有聽到的非常好
[00:02:31.000 --> 00:02:34.000]  這首歌的歌詞裡說到
[00:02:34.000 --> 00:02:38.000]  為了追求無憾或者堅持自己所信
[00:02:38.000 --> 00:02:44.000]  人一生總要義無反顧去做一次大膽、破格
[00:02:44.000 --> 00:02:47.000]  可能有些任性的決定
[00:02:47.000 --> 00:02:51.000]  在現實生活裡我們通常都會習慣
[00:02:51.000 --> 00:02:55.000]  比較穩陣、理性和安全
[00:02:55.000 --> 00:03:01.000]  但是有時候上帝的恩典可能要我們跳出一個舒適圈
[00:03:01.000 --> 00:03:03.000]  即是安舒區
[00:03:03.000 --> 00:03:06.000]  去做一件離譜的事
[00:03:06.000 --> 00:03:09.000]  就好像約書亞記裡有一個人物
[00:03:09.000 --> 00:03:13.000]  他做了一件當時沒有人理解
[00:03:13.000 --> 00:03:16.000]  甚至覺得是很離譜的事
