
[00:00:00.000 --> 00:00:02.000]  我們看看圖
[00:00:02.000 --> 00:00:04.000]  看看圖
[00:00:04.000 --> 00:00:07.000]  又想想每年11月底
[00:00:07.000 --> 00:00:09.000]  會讓你想到什麼呢?
[00:00:09.000 --> 00:00:13.000]  感恩節
[00:00:13.000 --> 00:00:17.000]  每年11月第四個星期四
[00:00:17.000 --> 00:00:19.000]  都是美國的感恩節
[00:00:19.000 --> 00:00:21.000]  我知道恩福團契
[00:00:21.000 --> 00:00:23.000]  每年都會有一個感恩節
[00:00:23.000 --> 00:00:25.000]  就是感恩節
[00:00:25.000 --> 00:00:27.000]  感恩節的日子
[00:00:27.000 --> 00:00:29.000]  我知道恩福團契
[00:00:29.000 --> 00:00:31.000]  每年年底年尾
[00:00:31.000 --> 00:00:33.000]  都會有很多感恩會
[00:00:33.000 --> 00:00:35.000]  我不知道你團契的感恩會
[00:00:35.000 --> 00:00:37.000]  舉行了沒有
[00:00:37.000 --> 00:00:38.000]  但是我的團契
[00:00:38.000 --> 00:00:40.000]  因為是星期四晚
[00:00:40.000 --> 00:00:42.000]  所以幾年前就開始決定
[00:00:42.000 --> 00:00:44.000]  在感恩節那天
[00:00:44.000 --> 00:00:46.000]  就是11月第四個星期四
[00:00:46.000 --> 00:00:48.000]  就舉行我們的感恩會
[00:00:48.000 --> 00:00:50.000]  不單止這樣
[00:00:50.000 --> 00:00:53.000]  就算是我的部門
[00:00:53.000 --> 00:00:55.000]  我們每年都會有感恩會
[00:00:55.000 --> 00:00:57.000]  我們都決定了
[00:00:57.000 --> 00:00:59.000]  不是星期四晚
[00:00:59.000 --> 00:01:01.000]  決定在第四個星期六那天
[00:01:01.000 --> 00:01:03.000]  舉行感恩會
[00:01:03.000 --> 00:01:05.000]  所以上個星期
[00:01:05.000 --> 00:01:07.000]  剛剛過了
[00:01:07.000 --> 00:01:09.000]  我就聽到很多弟兄姊妹的感恩見證
[00:01:09.000 --> 00:01:11.000]  不知道你們
[00:01:11.000 --> 00:01:13.000]  每一次聽到人
[00:01:13.000 --> 00:01:15.000]  分享他們的感恩見證
[00:01:15.000 --> 00:01:17.000]  又或者當你自己
[00:01:17.000 --> 00:01:19.000]  去跟別人分享你的感恩見證的時候
[00:01:19.000 --> 00:01:23.000]  你有什麼感受呢?
[00:01:23.000 --> 00:01:25.000]  又或者你覺得
[00:01:25.000 --> 00:01:27.000]  這個分享在別人面前
[00:01:27.000 --> 00:01:29.000]  為神作見證
[00:01:29.000 --> 00:01:31.000]  對你有什麼意義呢?
[00:01:31.000 --> 00:01:35.000]  最近近年來
[00:01:35.000 --> 00:01:37.000]  坊間流行很多教人
[00:01:37.000 --> 00:01:39.000]  使用正向心理學
[00:01:39.000 --> 00:01:41.000]  來處理負面情緒的教學
[00:01:41.000 --> 00:01:45.000]  而在正向心理學當中
[00:01:45.000 --> 00:01:47.000]  就是一個經常被用來
[00:01:47.000 --> 00:01:49.000]  提升我們的快樂指數的方法
[00:01:49.000 --> 00:01:51.000]  大家知不知道是什麼?
[00:01:51.000 --> 00:01:53.000]  就是感恩
[00:01:53.000 --> 00:01:55.000]  他們會叫人每一天
[00:01:55.000 --> 00:01:57.000]  都寫一些值得感恩的事項
[00:01:57.000 --> 00:01:59.000]  這也是我們基督徒
[00:01:59.000 --> 00:02:01.000]  常說的數算主的恩典
[00:02:01.000 --> 00:02:03.000]  所以
[00:02:03.000 --> 00:02:05.000]  慢慢學習凡事感恩
[00:02:05.000 --> 00:02:07.000]  就不再是
[00:02:07.000 --> 00:02:09.000]  基督徒的專利
[00:02:09.000 --> 00:02:11.000]  大家也覺得是吧?
[00:02:11.000 --> 00:02:13.000]  記得有一次
[00:02:13.000 --> 00:02:15.000]  我跟阿姨聊天
[00:02:15.000 --> 00:02:17.000]  我跟她聊天的時候
[00:02:17.000 --> 00:02:19.000]  她突然跟我說很感恩
