
[00:00:00.000 --> 00:00:02.000]  會和大家分享
[00:00:02.000 --> 00:00:05.400]  《指導行傳》一章一至十一節
[00:00:05.400 --> 00:00:06.840]  是和修本的
[00:00:06.840 --> 00:00:08.320]  主題就是
[00:00:08.320 --> 00:00:12.440]  「抗世的祝福與應許」
[00:00:12.440 --> 00:00:15.000]  在分享神的話語的時候
[00:00:15.000 --> 00:00:17.800]  我們先一起有同心禱告
[00:00:17.800 --> 00:00:22.800]  感謝主賜給我們平安
[00:00:22.800 --> 00:00:24.520]  我們求主的靈
[00:00:24.520 --> 00:00:26.760]  加力給講的
[00:00:26.760 --> 00:00:28.240]  和聽的
[00:00:28.240 --> 00:00:31.640]  都有聖靈的啟迪和感動
[00:00:31.640 --> 00:00:35.880]  我們的生命一起在主的裡面得著操奏
[00:00:35.880 --> 00:00:37.800]  我們這樣誠心禱告
[00:00:37.800 --> 00:00:41.440]  是奉我們救主耶穌基督得聖的命求
[00:00:41.440 --> 00:00:42.440]  阿們
[00:00:42.440 --> 00:00:46.680]  以下和大家一起來讀
[00:00:46.680 --> 00:00:49.800]  《使徒行傳》一章一至十一節
[00:00:49.800 --> 00:00:52.880]  我們一起同聲來讀出
[00:00:52.880 --> 00:00:54.880]  提亞飛羅
[00:00:54.880 --> 00:00:56.880]  我在第一本書中
[00:00:56.880 --> 00:01:00.080]  已論到耶穌從開頭所做
[00:01:00.080 --> 00:01:02.760]  和所教導的一切事
[00:01:02.760 --> 00:01:05.080]  直到祂藉著聖靈
[00:01:05.080 --> 00:01:07.960]  吩咐所揀選的使徒後
[00:01:07.960 --> 00:01:11.080]  被接上升的日子為止
[00:01:11.080 --> 00:01:12.760]  祂受害之後
[00:01:12.760 --> 00:01:14.760]  用許多確具
[00:01:14.760 --> 00:01:18.560]  向使徒顯明自己是活著的
[00:01:18.560 --> 00:01:22.360]  在四十天之中向他們顯現
[00:01:22.360 --> 00:01:25.280]  並講述的事
[00:01:25.280 --> 00:01:28.480]  耶穌和他們聚集的時候
[00:01:28.480 --> 00:01:30.480]  祝福他們說
[00:01:30.480 --> 00:01:32.960]  不要離開耶路撒冷
[00:01:32.960 --> 00:01:35.960]  但要等候父的應許
[00:01:35.960 --> 00:01:39.160]  就是你們聽見我說過的
[00:01:39.160 --> 00:01:41.760]  約翰是用水施洗
[00:01:41.760 --> 00:01:44.360]  但過不多幾天
[00:01:44.360 --> 00:01:47.960]  你們要在聖靈裡受洗
[00:01:47.960 --> 00:01:51.360]  他們聚集的時候問耶穌
[00:01:51.360 --> 00:01:54.360]  主啊,你就要在這時候
[00:01:54.360 --> 00:01:56.560]  復興以色列國嗎?
[00:01:56.560 --> 00:01:58.560]  耶穌對他們說
