
[00:00:00.000 --> 00:00:01.400]  大英姐妹大家好
[00:00:01.400 --> 00:00:04.680]  很感謝我們服事團隊
[00:00:04.680 --> 00:00:06.160]  包括敬拜隊
[00:00:06.160 --> 00:00:08.160]  AV Team 和詩詩隊
[00:00:08.160 --> 00:00:10.600]  你有沒有看到今天很特別
[00:00:10.600 --> 00:00:14.360]  今天是教會一年一度的清少主日
[00:00:14.360 --> 00:00:17.240]  很想給點掌聲鼓勵一下
[00:00:17.240 --> 00:00:20.360]  在我們當中服事的年輕人
[00:00:20.360 --> 00:00:23.920]  願榮耀一切歸給我們耶穌基督
[00:00:26.800 --> 00:00:30.360]  今年清少主日的主題
[00:00:30.360 --> 00:00:34.480]  Let's go and shine
[00:00:34.480 --> 00:00:35.960]  中文是這樣
[00:00:35.960 --> 00:00:38.000]  展現上帝的角度
[00:00:38.000 --> 00:00:39.840]  走進世界的角落
[00:00:39.840 --> 00:00:44.280]  教會很希望年輕的弟兄姊妹
[00:00:44.280 --> 00:00:46.400]  能夠一起學習
[00:00:46.400 --> 00:00:49.160]  我們能夠被主興起
[00:00:49.160 --> 00:00:50.760]  為主發光
[00:00:50.760 --> 00:00:53.520]  說到關於年輕人
[00:00:53.800 --> 00:00:58.080]  大家知不知道現在年輕人有一個稱呼
[00:00:58.080 --> 00:00:59.920]  知不知道是什麼?
[00:00:59.920 --> 00:01:02.880]  他們被稱為
[00:01:02.880 --> 00:01:04.440]  這個我也是學回來的
[00:01:04.440 --> 00:01:05.760]  叫做 "Jangsi"
[00:01:05.760 --> 00:01:06.600]  是
[00:01:06.600 --> 00:01:07.720]  為什麼呢?
[00:01:07.720 --> 00:01:08.680]  我也不知道為什麼
[00:01:08.680 --> 00:01:09.240]  是
[00:01:09.240 --> 00:01:13.480]  不過是 Z 世代的一個稱呼
[00:01:13.480 --> 00:01:14.600]  那麼你會
[00:01:14.600 --> 00:01:15.800]  就是
[00:01:15.800 --> 00:01:16.760]  年輕人
[00:01:16.760 --> 00:01:18.120]  就是30歲以下
[00:01:18.120 --> 00:01:19.440]  13歲以上
[00:01:19.440 --> 00:01:22.720]  就會被稱呼為 "Jangsi"
