
[00:00:00.000 --> 00:00:02.000]  各位頂姊妹早安
[00:00:02.000 --> 00:00:04.800]  代表恩福東九堂
[00:00:04.800 --> 00:00:06.800]  問候大家
[00:00:06.800 --> 00:00:08.800]  願神賜福給大家
[00:00:08.800 --> 00:00:12.000]  想問問頂姊妹最近有沒有去日本
[00:00:12.000 --> 00:00:15.440]  有沒有人去日本可不可以舉手
[00:00:15.440 --> 00:00:18.320]  都好笑
[00:00:18.320 --> 00:00:20.320]  大家都聽到消息
[00:00:20.320 --> 00:00:24.320]  有沒有頂姊妹將會去日本可不可以舉手
[00:00:24.320 --> 00:00:26.880]  將會去的都有少少
[00:00:26.880 --> 00:00:29.360]  這篇道今天為你而講
[00:00:29.360 --> 00:00:31.360]  我自己講的
[00:00:31.360 --> 00:00:33.360]  對了
[00:00:33.360 --> 00:00:37.360]  日本地震調查委員會在2025年
[00:00:37.360 --> 00:00:39.360]  新鮮熱辣
[00:00:39.360 --> 00:00:41.360]  今年的最新評估裏
[00:00:41.360 --> 00:00:43.360]  預測
[00:00:43.360 --> 00:00:47.360]  南海海嘈在未來30年裏面
[00:00:47.360 --> 00:00:51.360]  發生8至9級地震的機會率
[00:00:51.360 --> 00:00:57.360]  提升到75%至82%
[00:00:57.360 --> 00:00:59.360]  嘩!厲害吧
[00:00:59.360 --> 00:01:01.360]  聽到好像好嚇人
[00:01:01.360 --> 00:01:03.360]  不過如果你真係好驚
[00:01:03.360 --> 00:01:05.360]  你應該是未來30年都不要去日本
[00:01:05.360 --> 00:01:07.360]  你看看30年之後
[00:01:07.360 --> 00:01:09.360]  你還有沒有機會
[00:01:09.360 --> 00:01:11.360]  就不知道
[00:01:11.360 --> 00:01:13.360]  報告說關東至九州一帶
[00:01:13.360 --> 00:01:21.360]  太平洋沿岸可能面臨超過10米的大海嘯
[00:01:21.360 --> 00:01:25.360]  你估對香港有沒有影響
[00:01:25.360 --> 00:01:29.360]  你就想著香港都好遠
[00:01:29.360 --> 00:01:31.360]  應該都不會有太大影響
[00:01:31.360 --> 00:01:33.360]  但原來我們的天文台
[00:01:33.360 --> 00:01:35.360]  他們就真係好先進
[00:01:35.360 --> 00:01:37.360]  雖然是那麼遠的地方
[00:01:37.360 --> 00:01:39.360]  但他們都做了一些調查
[00:01:39.360 --> 00:01:41.360]  或者一些模擬
[00:01:41.360 --> 00:01:45.360]  香港天文台近日亦都分析
[00:01:45.360 --> 00:01:47.360]  南海海嘈如果有地震的時候
[00:01:47.360 --> 00:01:49.360]  對香港的影響究竟有什麼呢
[00:01:49.360 --> 00:01:53.360]  這個報告在天文台的網站你可以找到
[00:01:53.360 --> 00:01:59.360]  所以你有興趣可以在那裏知道多些
[00:01:59.360 --> 00:02:05.360]  指到如果海嘯的10米高
[00:02:05.360 --> 00:02:07.360]  它會一直散出去
