
[00:00:00.000 --> 00:00:06.000]  很感謝敬拜隊的勇士哥帶我們親近上帝
[00:00:06.000 --> 00:00:11.000]  弟兄姊妹,很感恩和很開心
[00:00:11.000 --> 00:00:17.000]  能夠在上帝的聖殿裡和大家一起敬拜神
[00:00:17.000 --> 00:00:26.000]  很感恩和開心能夠在上帝的殿裡和大家一起敬拜神
[00:00:26.000 --> 00:00:35.000]  很感恩和開心能夠在上帝的殿裡和大家一起敬拜神
[00:00:35.000 --> 00:00:37.000]  我講了多少次?
[00:00:37.000 --> 00:00:39.000]  即是什麼意思?
[00:00:39.000 --> 00:00:43.000]  重要的跟旁邊的說說
[00:00:53.000 --> 00:00:56.000]  這兩個星期我自己有些經歷
[00:00:56.000 --> 00:01:02.000]  都感受到能夠一起在神的殿裡敬拜和親近上帝
[00:01:02.000 --> 00:01:05.000]  去聆聽上帝的話語
[00:01:05.000 --> 00:01:07.000]  不是必然的
[00:01:07.000 --> 00:01:09.000]  所以每一次我們能夠坐在這裡的時候
[00:01:09.000 --> 00:01:13.000]  我們都要抱著感恩和開心
[00:01:13.000 --> 00:01:17.000]  和我們身邊的弟兄姊妹一起親近上帝
[00:01:17.000 --> 00:01:23.000]  我們在聆聽上帝的話語之前我們一起禱告
[00:01:23.000 --> 00:01:28.000]  親愛的天父
[00:01:28.000 --> 00:01:31.000]  我們謙卑地來到你的庚前
[00:01:31.000 --> 00:01:34.000]  多謝你每一天都看顧我們
[00:01:34.000 --> 00:01:37.000]  和施予恩典給我們
[00:01:37.000 --> 00:01:41.000]  在今早上我們能夠再一次聚集一起
[00:01:41.000 --> 00:01:44.000]  學武去聆聽你的話語
[00:01:44.000 --> 00:01:48.000]  求神令你的靈能夠充滿在座的每一位
[00:01:48.000 --> 00:01:50.000]  每一個的心
[00:01:50.000 --> 00:01:52.000]  願你引領我們
[00:01:52.000 --> 00:01:56.000]  用你的智慧和愛來啟發我們的心靈
[00:01:56.000 --> 00:01:58.000]  在這個時刻
[00:01:58.000 --> 00:02:01.000]  讓我們更加的去親近你
[00:02:01.000 --> 00:02:04.000]  更加的明白你的心意
[00:02:04.000 --> 00:02:07.000]  願意一切榮耀
[00:02:07.000 --> 00:02:08.000]  重讚
[00:02:08.000 --> 00:02:09.000]  權能
[00:02:09.000 --> 00:02:10.000]  傳歸
[00:02:10.000 --> 00:02:13.000]  給三一的真神
[00:02:13.000 --> 00:02:16.000]  多謝你一直陪著我們
[00:02:16.000 --> 00:02:19.000]  我們呈獻禱告
[00:02:19.000 --> 00:02:21.000]  是奉教主的獨得聖名字
[00:02:21.000 --> 00:02:22.000]  阿門
[00:02:22.000 --> 00:02:30.000]  可不可以開始出拋框
[00:02:30.000 --> 00:02:33.000]  不知道大家覺不覺得
[00:02:33.000 --> 00:02:37.000]  吃飯其實是中國人一種很重要的文化
[00:02:37.000 --> 00:02:39.000]  大家認不認同
[00:02:39.000 --> 00:02:42.000]  我剛才記得主席第一句話
[00:02:42.000 --> 00:02:46.000]  你們這個星期有沒有想吃什麼
[00:02:46.000 --> 00:02:48.000]  很多時候無論做什麼
[00:02:48.000 --> 00:02:50.000]  都會想
[00:02:50.000 --> 00:02:52.000]  什麼時候吃飯好
[00:02:52.000 --> 00:02:54.000]  或者吃什麼好
[00:02:54.000 --> 00:02:56.000]  如果我們在街上
[00:02:56.000 --> 00:02:58.000]  假如找不到餐廳
[00:02:58.000 --> 00:03:00.000]  會怎樣
[00:03:00.000 --> 00:03:03.000]  有點緊張
