
[00:00:00.000 --> 00:00:05.000]  今天很想和大家一起觀世界
[00:00:05.000 --> 00:00:09.000]  從聖經裏面建立一個屬靈的世界觀
[00:00:09.000 --> 00:00:14.000]  俄烏戰爭已經持續了一年
[00:00:14.000 --> 00:00:18.000]  兩個國家死傷的人數數以十萬計
[00:00:18.000 --> 00:00:21.000]  難民的人數已經超過七百萬
[00:00:21.000 --> 00:00:23.000]  整個香港的人口
[00:00:23.000 --> 00:00:27.000]  也帶來了歐洲以至全球能源
[00:00:27.000 --> 00:00:29.000]  糧食的嚴重危機
[00:00:29.000 --> 00:00:33.000]  因應俄烏戰爭和極端氣候變化
[00:00:33.000 --> 00:00:39.000]  再加上國際間逐步停止了武器管制條約
[00:00:39.000 --> 00:00:43.000]  取而代之的是新的核武軍備競賽
[00:00:43.000 --> 00:00:46.000]  所以今年1月24日
[00:00:46.000 --> 00:00:49.000]  美國原子能科學家公佈
[00:00:49.000 --> 00:00:53.000]  將末日時鐘調快了10秒鐘
[00:00:53.000 --> 00:00:57.000]  距離午夜12點只剩下90秒
[00:00:57.000 --> 00:01:02.000]  成為了有史以來最接近末日的一個推斷
[00:01:02.000 --> 00:01:05.000]  三天之後1月27日
[00:01:05.000 --> 00:01:09.000]  美國空軍司令部邁克爾上將
[00:01:09.000 --> 00:01:14.000]  在一項原本不為人知的備忘錄裏面
[00:01:14.000 --> 00:01:20.000]  警告美國最快2025年會和中共爆發衝突
[00:01:20.000 --> 00:01:24.000]  他敦促旗下指揮官在今年
[00:01:24.000 --> 00:01:29.000]  要率領部隊進入最高的備戰狀態
[00:01:29.000 --> 00:01:32.000]  頂姐妹呀聽到這些新聞
[00:01:32.000 --> 00:01:38.000]  面對著世界政治軍事經濟這些劇變和危機
[00:01:38.000 --> 00:01:43.000]  你心裏面呢有沒有一份平安在裏面
[00:01:43.000 --> 00:01:47.000]  這一份平安來自甚麼呢
[00:01:47.000 --> 00:01:51.000]  究竟誰是我們的保障
[00:01:51.000 --> 00:01:56.000]  而世界各種不同勢力的興衰
[00:01:56.000 --> 00:02:00.000]  究竟又和上帝有沒有關係呢
[00:02:00.000 --> 00:02:04.000]  今日我們會繼續透過以西傑書
[00:02:04.000 --> 00:02:07.000]  轉變中的盼望講道系列
[00:02:07.000 --> 00:02:09.000]  亦都是尾二的一堂
[00:02:09.000 --> 00:02:13.000]  和大家一起探討下這個世界觀
[00:02:13.000 --> 00:02:17.000]  再一次邀請大家一起禱告
[00:02:17.000 --> 00:02:20.000]  全能的上帝我們感謝你
[00:02:20.000 --> 00:02:23.000]  竟然揀選了我們
[00:02:23.000 --> 00:02:25.000]  你是我們的神我們的主
[00:02:25.000 --> 00:02:27.000]  我們尊崇你
[00:02:27.000 --> 00:02:31.000]  你更加是全地的神萬國的主
[00:02:31.000 --> 00:02:35.000]  我們可以信賴你
[00:02:35.000 --> 00:02:38.000]  求你今日向我們每一個人說話
[00:02:38.000 --> 00:02:41.000]  讓我們看到你自己的榮耀
[00:02:41.000 --> 00:02:43.000]  叫我們更深認識你
[00:02:43.000 --> 00:02:44.000]  信靠你
[00:02:44.000 --> 00:02:47.000]  在今日危機四伏的世界裏面
[00:02:47.000 --> 00:02:52.000]  能夠安穩在你的保護和權能之下
[00:02:52.000 --> 00:02:54.000]  我們同心的禱告仰望
[00:02:54.000 --> 00:02:57.000]  奉靠耶穌基督的聖名而求
[00:02:57.000 --> 00:02:58.000]  阿們
[00:02:58.000 --> 00:03:04.000]  以西傑書去到第38至第39章
[00:03:04.000 --> 00:03:09.000]  記載了一場我稱它為上帝的戰爭
[00:03:09.000 --> 00:03:13.000]  因為這場戰爭其實是由上帝一手策劃的
[00:03:13.000 --> 00:03:18.000]  整整兩章的經文裏面都是神以第一身我
[00:03:18.000 --> 00:03:22.000]  向他的敵人哥格尼發出的預言
[00:03:22.000 --> 00:03:27.000]  我們會從哥格 耶和華和以色列三個向導
[00:03:27.000 --> 00:03:30.000]  去看這一場的戰爭
[00:03:30.000 --> 00:03:33.000]  這次要讀的經文比較多
[00:03:33.000 --> 00:03:35.000]  弟兄姊妹可否提起精神
[00:03:35.000 --> 00:03:38.000]  跟我一起進入這個戰場好不好
[00:03:38.000 --> 00:03:42.000]  第一段的經文是從哥格的角度
[00:03:42.000 --> 00:03:46.000]  從尋找操聖卷到一敗塗地
[00:03:46.000 --> 00:03:51.000]  我們先在頭六節裏面去了解哥格究竟是誰
[00:03:51.000 --> 00:03:52.000]  由我先讀
[00:03:52.000 --> 00:03:55.000]  耶和華的話臨到我說
[00:03:55.000 --> 00:03:59.000]  人子啊 你要面向馬各地的哥格
[00:03:59.000 --> 00:04:02.000]  就是米切和土巴的大王
[00:04:02.000 --> 00:04:03.000]  向他說預言
[00:04:03.000 --> 00:04:06.000]  你要說 主耶和華如此說
[00:04:06.000 --> 00:04:09.000]  米切和土巴的大王哥格
[00:04:09.000 --> 00:04:11.000]  漢啊 我與你為敵
[00:04:11.000 --> 00:04:12.000]  一起啊
[00:04:12.000 --> 00:04:15.000]  我要把你調轉過來
[00:04:15.000 --> 00:04:18.000]  用鉤子鉤住你的腮甲
[00:04:18.000 --> 00:04:23.000]  把你和你的軍兵 馬匹 騎馬都帶走
[00:04:23.000 --> 00:04:26.000]  他們全都披掛齊整
[00:04:26.000 --> 00:04:29.000]  成為大軍 佩戴大小盾牌
[00:04:29.000 --> 00:04:31.000]  各人拿著刀劍
[00:04:31.000 --> 00:04:36.000]  他們當中有波斯人 古實人和佛人
[00:04:36.000 --> 00:04:39.000]  都帶著盾牌和頭盔
[00:04:39.000 --> 00:04:42.000]  有哥滅人和他的軍隊
[00:04:42.000 --> 00:04:46.000]  北方極遠的陀加馬族和他的軍隊
[00:04:46.000 --> 00:04:50.000]  這許多民族都跟著你
[00:04:50.000 --> 00:04:57.000]  神吩咐以西傑要向馬各地的哥格說預言
[00:04:57.000 --> 00:05:02.000]  馬各地就是地圖裏面紅色和綠色的地方
[00:05:02.000 --> 00:05:08.000]  是位於北方極處的米切和土巴
[00:05:08.000 --> 00:05:12.000]  哥格是當時當地最有勢力的王
[00:05:12.000 --> 00:05:15.000]  他將要統領東面的波斯人
[00:05:15.000 --> 00:05:17.000]  南面的古實人 西面的佛人
[00:05:17.000 --> 00:05:21.000]  和北方的哥滅人 陀加馬族
[00:05:21.000 --> 00:05:23.000]  即是地圖其他四種顏色
[00:05:23.000 --> 00:05:27.000]  一起從四方八面所組成的七國
