
[00:00:00.000 --> 00:00:02.680]  今天的經文叫做《起來》
[00:00:02.680 --> 00:00:04.180]  一切都會改變
[00:00:04.180 --> 00:00:06.160]  在柏希的見證裡面
[00:00:06.160 --> 00:00:07.280]  的確他看到
[00:00:07.280 --> 00:00:09.640]  就好像不用說這篇道理一樣
[00:00:09.640 --> 00:00:11.920]  他的生命就是一篇很真實的道理
[00:00:11.920 --> 00:00:14.080]  今天我們要看的
[00:00:14.080 --> 00:00:17.680]  仍然是標稱崇拜的港道系列
[00:00:17.680 --> 00:00:18.640]  《約翰福音》
[00:00:18.640 --> 00:00:20.020]  今天講到第五章
[00:00:20.020 --> 00:00:21.440]  1至18節
[00:00:21.440 --> 00:00:23.240]  在1至18節裡面
[00:00:23.240 --> 00:00:25.480]  其實我們會看到耶穌基督
[00:00:25.480 --> 00:00:30.120]  在耶路撒冷裡面行的第三個神蹟
[00:00:30.120 --> 00:00:33.000]  我們一起讀一下我們今天要看的經文
[00:00:33.000 --> 00:00:35.960]  好,我們一起讀一下
[00:00:35.960 --> 00:00:36.720]  1、2、3
[00:00:36.720 --> 00:00:38.080]  慈悲倫愛天父感謝祢
[00:00:38.080 --> 00:00:41.200]  感謝祢讓我們今天能夠回到教會裡面
[00:00:41.200 --> 00:00:42.760]  一起去敬拜祢
[00:00:42.760 --> 00:00:44.320]  就讓祢的說話
[00:00:44.320 --> 00:00:47.200]  成為我們生命的造就
[00:00:47.200 --> 00:00:49.160]  讓我們藉著祢的說話
[00:00:49.160 --> 00:00:50.280]  生命得到改變
[00:00:50.280 --> 00:00:52.200]  求主給聖靈帶領我們
[00:00:52.200 --> 00:00:54.440]  以後港道的時間
[00:00:54.440 --> 00:00:56.760]  讓我們能夠藉著聖靈
[00:00:56.760 --> 00:00:59.040]  讓我們明白祢更多
[00:00:59.040 --> 00:01:00.040]  認識祢更多
[00:01:00.040 --> 00:01:03.360]  更加將孩子的港道擺上
[00:01:03.360 --> 00:01:07.720]  求主祢也帶領孩子去釋放所準備的
[00:01:07.720 --> 00:01:08.840]  求主祢也使用
[00:01:08.840 --> 00:01:09.640]  奉主命求
[00:01:09.640 --> 00:01:10.240]  阿們
[00:01:10.240 --> 00:01:12.360]  剛才也說了
[00:01:12.360 --> 00:01:15.480]  今天要看的經文是《約翰福音》第五章
[00:01:15.480 --> 00:01:18.120]  經文一開始是這麼說
[00:01:18.120 --> 00:01:19.000]  經...
[00:01:19.000 --> 00:01:20.200]  怎麼說呢?
[00:01:20.200 --> 00:01:22.560]  這些事以後這樣發生
[00:01:22.840 --> 00:01:24.920]  「這些事以後」是說什麼呢?
[00:01:24.920 --> 00:01:27.440]  「這些事以後」可能就是直指到
[00:01:27.440 --> 00:01:29.280]  在第四章尾裡面
[00:01:29.280 --> 00:01:31.360]  耶穌在加利利海
[00:01:31.360 --> 00:01:34.080]  不是,是在加利利的迦那
[00:01:34.080 --> 00:01:36.120]  醫好一個官的兒子
[00:01:36.120 --> 00:01:41.600]  即是埃斯塔穆斯上個星期所說的道的內容
[00:01:41.600 --> 00:01:43.360]  今天去到第五章
[00:01:43.360 --> 00:01:47.240]  第五章的神蹟裡面有什麼特別的地方呢?
[00:01:47.240 --> 00:01:50.160]  這個神蹟裡面特別的地方
[00:01:50.160 --> 00:01:56.520]  不僅看起來是上帝主動去幫助病人
[00:01:56.520 --> 00:01:58.400]  更加重要的是
[00:01:58.400 --> 00:02:00.200]  耶穌藉著今次的神蹟
[00:02:00.200 --> 00:02:03.680]  去公開了自己是神兒子的身份
[00:02:03.680 --> 00:02:06.760]  這個公開見證就不得了了
