
[00:00:00.000 --> 00:00:04.120]  (主持人:好,弟兄姊妹們,你們好)
[00:00:04.120 --> 00:00:06.920]  (分享一個小感受,不是今天的)
[00:00:06.920 --> 00:00:08.480]  (是上星期的)
[00:00:08.480 --> 00:00:12.360]  (上星期有幸可以參與敬拜隊)
[00:00:12.360 --> 00:00:16.000]  (在旁邊一起唱歌)
[00:00:16.000 --> 00:00:20.000]  (我的感受是原來敬拜隊要站在台上)
[00:00:20.000 --> 00:00:22.560]  (很認真地拿咪高峰唱20分鐘)
[00:00:22.560 --> 00:00:24.080]  (其實很累的)
[00:00:24.080 --> 00:00:25.840]  (可能有時坐在下面)
[00:00:25.840 --> 00:00:28.840]  (或者站在下面時,有時祈禱會安靜)
[00:00:28.840 --> 00:00:29.960]  (不會太累)
[00:00:29.960 --> 00:00:32.520]  (但我覺得原來站在台上)
[00:00:32.520 --> 00:00:33.920]  (很認真地拿咪高峰唱)
[00:00:33.920 --> 00:00:35.160]  (你不唱,別人聽到)
[00:00:35.160 --> 00:00:36.560]  (唱了20分鐘,很累)
[00:00:36.560 --> 00:00:39.600]  (所以我覺得很想上來感謝)
[00:00:39.600 --> 00:00:41.240]  (一群侍奉人員)
[00:00:41.240 --> 00:00:42.560]  (我想無論是敬拜隊)
[00:00:42.560 --> 00:00:44.720]  (我都試過彈結他,我很差勁)
[00:00:44.720 --> 00:00:47.320]  (不過我試過彈結他,手很痛)
[00:00:47.320 --> 00:00:48.840]  (我都試過按兼職)
[00:00:48.840 --> 00:00:53.400]  (原來要專注,自己未必容易投入)
[00:00:53.400 --> 00:00:55.680]  (就算在後面一群師士)
[00:00:55.680 --> 00:00:57.160]  (我想要看著)
[00:00:57.160 --> 00:00:59.120]  (例如祈禱時要拿著牌)
[00:00:59.120 --> 00:01:00.520]  (其實都是一些)
[00:01:00.520 --> 00:01:04.120]  (他們都在所謂要犧牲)
[00:01:04.120 --> 00:01:07.080]  (可以很專注地敬拜、崇拜的時間)
[00:01:07.080 --> 00:01:08.160]  (來服侍我們)
[00:01:08.160 --> 00:01:10.480]  (所以想請各位給點掌聲)
[00:01:10.480 --> 00:01:12.280]  (感謝我們一群侍奉人員)
[00:01:12.280 --> 00:01:13.880]  (感謝你們為我們的預備)
[00:01:13.880 --> 00:01:16.320]  (甚至在當中的付出)
[00:01:16.320 --> 00:01:18.520]  (好,進入今天講道的時間)
[00:01:18.520 --> 00:01:20.240]  (今天我給主題)
[00:01:20.240 --> 00:01:24.360]  (主題是「風浪下的信靠」)
[00:01:24.360 --> 00:01:25.680]  (如果你有印象)
[00:01:25.680 --> 00:01:27.280]  (我上一次的講道)
[00:01:27.280 --> 00:01:30.080]  (是帶大家去看一個人物的故事)
[00:01:30.080 --> 00:01:33.080]  (他是彼得拉被呼召的故事)
[00:01:33.080 --> 00:01:36.640]  (我們那次認識到他是一個怎樣的人)
[00:01:36.640 --> 00:01:39.080]  (他是一個很衝動的人)
[00:01:39.080 --> 00:01:40.880]  (很魯莽的人)
[00:01:40.880 --> 00:01:42.880]  (不過同時我們上次看的時候)
[00:01:42.880 --> 00:01:45.280]  (我們發覺其實他也有一些特質)
[00:01:45.280 --> 00:01:48.400]  (是很值得我們學習的)
[00:01:48.400 --> 00:01:50.440]  (就是他對耶穌的說話)
[00:01:50.440 --> 00:01:52.880]  (有時對耶穌的動作、反應時)
[00:01:52.880 --> 00:01:56.080]  (他永遠都是回應訊息最快的那個)
[00:01:56.080 --> 00:01:57.280]  (最認真的那個)
[00:01:57.280 --> 00:01:59.400]  (甚至他是最激情的那個)
[00:01:59.400 --> 00:02:02.680]  (他每次都衝出來)
[00:02:02.680 --> 00:02:05.600]  (今天想帶大家去看另一個故事)
[00:02:05.600 --> 00:02:08.400]  (這個故事是《馬太福音》第十四章)
[00:02:08.400 --> 00:02:11.200]  (如果有印象,一讀你就知道)
[00:02:11.200 --> 00:02:14.000]  (就是輕功水上飄的故事)
[00:02:14.000 --> 00:02:16.280]  (耶穌在水上行走的故事)
[00:02:16.280 --> 00:02:19.200]  (我們這次想從彼得的反應中)
[00:02:19.200 --> 00:02:20.680]  (看到這件事的反應中)
[00:02:20.680 --> 00:02:22.000]  (有兩個學習)
[00:02:22.000 --> 00:02:24.800]  (學習彼得兩個信仰的特質)
[00:02:24.800 --> 00:02:28.200]  (讓我們一起進入今天的經文)
[00:02:28.200 --> 00:02:30.200]  (經文在《馬太福音》第十四章)
[00:02:30.200 --> 00:02:32.200]  (第22至32節)
[00:02:32.200 --> 00:02:34.800]  (想邀請你幫我讀完它)
[00:02:34.800 --> 00:02:36.400]  (準備,1、2、3)
[00:02:36.400 --> 00:02:37.800]  (耶穌,徐職)
[00:02:37.800 --> 00:02:39.400]  (耶穌在半路上說)
[00:02:39.400 --> 00:02:41.600]  (祂做了考慮的事)
[00:02:41.600 --> 00:02:44.000]  (等待著祂的答案)
[00:02:44.000 --> 00:02:46.000]  (等待著祂的命運後)
[00:02:46.000 --> 00:02:48.800]  (祂有六次上山去報告)
[00:02:48.800 --> 00:02:50.400]  (祂的幻想)
[00:02:50.400 --> 00:02:52.800]  (只有祂一日在考慮)
[00:02:52.800 --> 00:02:54.800]  (祂的答案)
[00:02:54.800 --> 00:02:57.800]  (因風不順,未來無憾)
[00:02:57.800 --> 00:02:59.800]  (夜裡四更天)
[00:02:59.800 --> 00:03:02.000]  (耶穌在海面上走)
[00:03:02.000 --> 00:03:04.000]  (往門徒那裡去)
[00:03:04.000 --> 00:03:07.000]  (門徒看見祂在海面上走)
[00:03:07.000 --> 00:03:09.000]  (就驚慌了,說)
[00:03:09.000 --> 00:03:11.600]  (是個鬼怪,便害怕)
[00:03:11.600 --> 00:03:13.000]  (喊叫起來)
[00:03:13.000 --> 00:03:15.400]  (耶穌連忙對他們說)
[00:03:15.400 --> 00:03:18.400]  (你們放心,是我,不要怕)
[00:03:18.400 --> 00:03:19.400]  (彼得說)
[00:03:19.400 --> 00:03:21.200]  (主,如果是祢)
[00:03:21.200 --> 00:03:25.600]  (請叫我從水面上走到祢那裡去)
[00:03:25.600 --> 00:03:27.000]  (彼得說)
[00:03:27.000 --> 00:03:28.800]  (主,如果是祢)
[00:03:28.800 --> 00:03:32.800]  (請叫我從水上那裡去)
[00:03:32.800 --> 00:03:33.800]  (耶穌說)
[00:03:33.800 --> 00:03:34.800]  (你來吧)
[00:03:34.800 --> 00:03:37.400]  (彼得就從船上下去)
[00:03:37.400 --> 00:03:39.400]  (在水面上走)
[00:03:39.400 --> 00:03:41.400]  (要到耶穌那裡去)
[00:03:41.400 --> 00:03:44.800]  (只因見風甚大,就害怕)
[00:03:44.800 --> 00:03:47.800]  (將要沉下去,便喊著說)
[00:03:47.800 --> 00:03:49.200]  (主啊,救我)
[00:03:49.200 --> 00:03:52.800]  (耶穌趕著伸手說)
[00:03:52.800 --> 00:03:56.600]  (你們小信的人,為甚麼不說)
[00:03:56.600 --> 00:03:58.400]  (他們上吊說)
[00:03:58.400 --> 00:04:02.200]  (因為信上的人都拜祂)
[00:04:02.200 --> 00:04:05.000]  (主,祢的意思)
[00:04:05.000 --> 00:04:06.600]  領子妹,我們一起祈禱
[00:04:06.600 --> 00:04:09.800]  聖靈啊,求祢讓我們同在
[00:04:09.800 --> 00:04:10.800]  進入我們的心
[00:04:10.800 --> 00:04:13.400]  幫助我們明白聖經上的說話
[00:04:13.400 --> 00:04:17.000]  祢所要給我們的訊息
[00:04:17.000 --> 00:04:17.400]  幫助我們
[00:04:17.400 --> 00:04:19.800]  我們禱告奉主耶穌,獨領子其及
[00:04:19.800 --> 00:04:20.600]  阿們
[00:04:20.600 --> 00:04:23.600]  今天會分兩個點跟大家分享
[00:04:23.600 --> 00:04:24.800]  第一個點,我給它一個名字
[00:04:24.800 --> 00:04:27.200]  叫做「敢於認證得答案」
[00:04:27.200 --> 00:04:29.800]  經文會在22至28節
[00:04:29.800 --> 00:04:32.400]  我們先看第22至23節
[00:04:32.400 --> 00:04:34.400]  第22節,它這樣說
[00:04:34.400 --> 00:04:38.200]  「耶穌即吹門徒上船」
[00:04:38.200 --> 00:04:42.200]  「吹」這個字,在原文來說
[00:04:42.200 --> 00:04:45.800]  「吹」這個字是強迫的意思
[00:04:45.800 --> 00:04:47.600]  是勉強的意思
[00:04:47.600 --> 00:04:50.800]  就是說,耶穌在這裡一開始的時候
[00:04:50.800 --> 00:04:53.000]  祂就迫門徒上船
[00:04:53.000 --> 00:04:55.000]  上船?不是拆船
[00:04:55.000 --> 00:04:57.000]  不過祂就迫他們上船
[00:04:57.000 --> 00:04:58.600]  為什麼要迫呢?
[00:04:58.600 --> 00:04:59.800]  原來要迫的原因是
[00:04:59.800 --> 00:05:02.000]  因為門徒不想上船
[00:05:02.000 --> 00:05:03.600]  就是祂不想離開
[00:05:03.600 --> 00:05:05.400]  為什麼不想呢?
[00:05:05.400 --> 00:05:07.800]  原來這個晚上是一個什麼晚上呢?
[00:05:07.800 --> 00:05:10.000]  這個晚上是剛剛發生了
[00:05:10.000 --> 00:05:13.600]  五餅二魚的故事的那個晚上
