
[00:00:00.000 --> 00:00:06.000]  七月份基本上每一個月的第一、第二周
[00:00:06.000 --> 00:00:10.000]  我們就會有第四子堂崇拜的系列講道
[00:00:10.000 --> 00:00:12.000]  就是文素記
[00:00:12.000 --> 00:00:17.000]  在這個充滿世代的衝擊下
[00:00:17.000 --> 00:00:19.000]  希望我們透過文素記
[00:00:19.000 --> 00:00:24.000]  給我們對上帝的信實多一份體會
[00:00:24.000 --> 00:00:27.000]  他怎樣對一班他所愛的子民
[00:00:27.000 --> 00:00:29.000]  一份心意
[00:00:29.000 --> 00:00:34.000]  讓我簡介一點
[00:00:34.000 --> 00:00:35.000]  我想問問大家
[00:00:35.000 --> 00:00:38.000]  知不知道文素記有多少張
[00:00:38.000 --> 00:00:41.000]  是12倍數
[00:00:41.000 --> 00:00:45.000]  36張
[00:00:45.000 --> 00:00:49.000]  我們可以看看powerpoint
[00:00:49.000 --> 00:00:55.000]  文素記有36張
[00:00:55.000 --> 00:01:00.000]  怎樣容易理解文素記
[00:01:00.000 --> 00:01:02.000]  其實不複雜
[00:01:02.000 --> 00:01:06.000]  如果用地點去幫自己分段就最容易
[00:01:06.000 --> 00:01:07.000]  包括什麼呢
[00:01:07.000 --> 00:01:09.000]  用地點的意思
[00:01:09.000 --> 00:01:12.000]  包括現在圖所有的
[00:01:12.000 --> 00:01:16.000]  西奈抗野、迦底斯巴尼亞
[00:01:16.000 --> 00:01:19.000]  和摩亞平原這三個地方
[00:01:19.000 --> 00:01:21.000]  他將這36張
[00:01:21.000 --> 00:01:24.000]  好像切餅仔一樣
[00:01:24.000 --> 00:01:26.000]  大概
[00:01:26.000 --> 00:01:31.000]  頭十張就是以色列人在西奈抗野的遭遇
[00:01:31.000 --> 00:01:34.000]  然後十張大概到二十張
[00:01:34.000 --> 00:01:37.000]  就是這班以色列人去到迦底斯巴尼亞
[00:01:37.000 --> 00:01:39.000]  面對一切的遭遇
[00:01:39.000 --> 00:01:44.000]  最後餘下的16張
[00:01:44.000 --> 00:01:47.000]  就是摩亞平原這三個地點
[00:01:47.000 --> 00:01:49.000]  我想問問大家
[00:01:49.000 --> 00:01:52.000]  知不知道文素記一開始
[00:01:52.000 --> 00:01:54.000]  即上星期所說的訊息
[00:01:54.000 --> 00:01:57.000]  出現的第一個場景在哪裡
[00:01:57.000 --> 00:02:01.000]  場景
[00:02:01.000 --> 00:02:02.000]  對了
[00:02:02.000 --> 00:02:03.000]  抗野
[00:02:03.000 --> 00:02:04.000]  100分
[00:02:04.000 --> 00:02:07.000]  上個主日建禮牧師提到
[00:02:07.000 --> 00:02:11.000]  他的題目是入抗野的異象
[00:02:11.000 --> 00:02:12.000]  什麼叫異象呢
[00:02:12.000 --> 00:02:15.000]  剛才在詩歌裡有提到
[00:02:15.000 --> 00:02:16.000]  摩西建異象
[00:02:16.000 --> 00:02:17.000]  即是說
[00:02:17.000 --> 00:02:19.000]  看到一些東西
[00:02:19.000 --> 00:02:20.000]  看到什麼呢
[00:02:20.000 --> 00:02:22.000]  摩西看到神的榮耀
[00:02:22.000 --> 00:02:25.000]  這裡提到進抗野的異象
