
[00:00:00.000 --> 00:00:03.480]  多謝敬拜隊帶領我們一起去敬拜
[00:00:03.480 --> 00:00:07.280]  在敬拜裏面能夠重新見到自己的軟弱
[00:00:07.280 --> 00:00:09.600]  可以重新去投靠神
[00:00:09.600 --> 00:00:11.080]  去經歷上帝的恩典
[00:00:11.080 --> 00:00:13.280]  是一件很好的事
[00:00:13.280 --> 00:00:18.000]  我之前放了兩個月假
[00:00:18.000 --> 00:00:20.800]  今天講到
[00:00:20.800 --> 00:00:22.800]  我再寫講章的時候
[00:00:22.800 --> 00:00:24.080]  我再看一看的時候
[00:00:24.080 --> 00:00:28.480]  原來我四個月沒有在清少部講道
[00:00:28.480 --> 00:00:30.200]  好像很久了
[00:00:30.200 --> 00:00:34.480]  不過我想每一次坐在這裏跟大家一起敬拜
[00:00:34.480 --> 00:00:36.880]  其實都是一份很熟悉的感覺
[00:00:36.880 --> 00:00:38.680]  都是一個
[00:00:38.680 --> 00:00:43.800]  這個群體都很願意一起去學習上帝的道理的地方
[00:00:43.800 --> 00:00:47.400]  今天進入我的講道的時候
[00:00:47.400 --> 00:00:48.680]  今天我的講題叫
[00:00:48.680 --> 00:00:51.600]  「這樣拍拖可不可以」
[00:00:51.600 --> 00:00:53.800]  這個可不可以的時候
[00:00:53.800 --> 00:00:55.800]  Claire講了幾次這個笑話
[00:00:55.800 --> 00:00:58.400]  她說你是不是想她摸一下自己的耳朵
[00:00:58.400 --> 00:01:00.200]  是的
[00:01:00.200 --> 00:01:02.000]  我親愛的同工
[00:01:02.000 --> 00:01:03.800]  我滿足了你的意願
[00:01:03.800 --> 00:01:06.200]  就是這樣
[00:01:06.200 --> 00:01:07.600]  可不可以呢
[00:01:07.600 --> 00:01:11.200]  其實今年清少部的主題就是
[00:01:11.200 --> 00:01:12.800]  Life in Christ
[00:01:12.800 --> 00:01:13.800]  Let's go and try
[00:01:13.800 --> 00:01:17.400]  就是說我們要走出去為主去閃耀
[00:01:17.400 --> 00:01:18.600]  但是我發覺
[00:01:18.600 --> 00:01:22.400]  我想這兩個月有一個月題
[00:01:22.400 --> 00:01:24.000]  叫做挑戰
[00:01:24.000 --> 00:01:26.800]  我想我們要為主走出去的時候
[00:01:26.800 --> 00:01:29.600]  不少不免我們會面對一些挑戰
[00:01:29.600 --> 00:01:31.200]  今天其實是很想
