
[00:00:00.000 --> 00:00:06.080]  今天的主題是「返教會為了什麼?」
[00:00:06.080 --> 00:00:07.840]  很想大家在這裡想一想
[00:00:07.840 --> 00:00:10.640]  其實你返教會為了什麼?
[00:00:10.640 --> 00:00:12.680]  經常返教會
[00:00:12.680 --> 00:00:16.960]  其實最主要是為了什麼原因呢?
[00:00:16.960 --> 00:00:18.960]  大家想一想
[00:00:18.960 --> 00:00:22.640]  為了聽道?為了學聖經?
[00:00:22.640 --> 00:00:26.240]  又或者為了心靈得道慰藉?
[00:00:26.240 --> 00:00:28.960]  會不會就是因為有人可以傾訴
[00:00:28.960 --> 00:00:31.200]  可以盡訴心中情?
[00:00:31.200 --> 00:00:33.840]  又或者返教會有人可以讓你相信
[00:00:33.840 --> 00:00:37.280]  過往生活如何呢?
[00:00:37.280 --> 00:00:39.360]  我記得我還沒拍拖的時候
[00:00:39.360 --> 00:00:41.280]  有親友跟我說
[00:00:41.280 --> 00:00:42.400]  「返教會好啊」
[00:00:42.400 --> 00:00:45.920]  「返教會有很多姐妹可以認識的」
[00:00:45.920 --> 00:00:48.080]  那返教會為了什麼呢?
[00:00:48.080 --> 00:00:49.440]  是不是因為詩歌好聽
[00:00:49.440 --> 00:00:51.040]  令我們很感動?
[00:00:51.040 --> 00:00:52.480]  又或者返教會
[00:00:52.480 --> 00:00:55.920]  返崇拜的時候有很平安的感覺?
[00:00:55.920 --> 00:01:00.240]  又或者為了得到神的祝福?
[00:01:00.240 --> 00:01:02.640]  還是有人是為了陪男朋友
[00:01:02.640 --> 00:01:04.240]  或者陪女朋友
[00:01:04.240 --> 00:01:06.560]  甚至乎為了陪未來岳母
[00:01:06.560 --> 00:01:08.720]  所以今天就返回教會呢?
[00:01:08.720 --> 00:01:13.120]  但可能有些姐妹並非以上種種的原因
[00:01:13.120 --> 00:01:15.120]  其實可能因為一句經文
[00:01:15.120 --> 00:01:18.160]  導致大家無論你多不想返教會
[00:01:18.160 --> 00:01:20.480]  返到其實都已經沒什麼趣味了
[00:01:20.480 --> 00:01:22.720]  甚至返教會返到有點迷失
[00:01:22.720 --> 00:01:24.000]  有點迷惘
[00:01:24.000 --> 00:01:25.760]  但因為一句經文說
[00:01:25.760 --> 00:01:27.760]  「不可停止聚會」
[00:01:27.760 --> 00:01:30.400]  所以就繼續勉為其難
[00:01:30.400 --> 00:01:31.840]  繼續返教會
[00:01:31.840 --> 00:01:34.800]  如果今天有弟兄姐妹是這樣的光景
[00:01:34.800 --> 00:01:36.880]  我都很盼望今天所說的道
[00:01:36.880 --> 00:01:37.920]  能夠幫助大家
[00:01:37.920 --> 00:01:41.040]  再一次重拾剛剛返教會的時候
[00:01:41.040 --> 00:01:42.880]  那種的心情
[00:01:42.880 --> 00:01:45.600]  或者那種的熱誠
[00:01:45.600 --> 00:01:47.680]  今天都很想和大家去看
[00:01:47.680 --> 00:01:51.120]  返教會其實返教會為了什麼呢?
[00:01:51.120 --> 00:01:53.760]  返教會真正的意思是什麼呢?
[00:01:53.760 --> 00:01:55.760]  讓我們一起低頭去禱告
[00:01:56.560 --> 00:01:59.120]  天父上帝我們滿心的感謝祢
[00:01:59.120 --> 00:02:01.120]  今天真的祢招聚我們眾人
[00:02:01.120 --> 00:02:03.920]  返到教會當中去敬拜祢
[00:02:03.920 --> 00:02:04.800]  真是特別的
[00:02:04.800 --> 00:02:06.400]  剛才我們都有機會唱詩
[00:02:06.400 --> 00:02:08.320]  再一次的去回想
[00:02:08.320 --> 00:02:10.320]  教會其實是我們的家
[00:02:10.320 --> 00:02:12.560]  但主在這一刻都求祢的靈
[00:02:12.560 --> 00:02:14.560]  在這個會場裡面自由的運行
[00:02:14.560 --> 00:02:15.920]  幫助我們眾人
[00:02:15.920 --> 00:02:19.280]  讓我們今天說的、聽的都可以得福
[00:02:19.280 --> 00:02:20.720]  以上的祈禱交託
[00:02:20.720 --> 00:02:24.160]  是奉主耶穌基督得勝的名義祈求
[00:02:24.160 --> 00:02:25.440]  阿們
[00:02:25.440 --> 00:02:28.960]  今天看的經文是來自《爾弗所書》
[00:02:28.960 --> 00:02:31.520]  《爾弗所書》是保羅寫給爾弗所教會
[00:02:31.520 --> 00:02:34.320]  其中一個教目的書信
[00:02:34.320 --> 00:02:38.240]  《爾弗所書》其實對於基督論和教會論
[00:02:38.240 --> 00:02:40.560]  都是一本很重要的書卷
[00:02:40.560 --> 00:02:42.080]  如果想認識教會
[00:02:42.080 --> 00:02:46.480]  就必須要看《爾弗所書》這一卷經文
[00:02:46.480 --> 00:02:50.240]  現在我也很想邀請大家去讀以下的經文
[00:02:50.240 --> 00:02:54.880]  今天所讀的經文《爾弗所書》第四章七至十節
[00:02:54.880 --> 00:02:56.640]  這段經文主要說的是
[00:02:56.640 --> 00:02:59.680]  「次信徒各樣恩賜的神」
[00:02:59.680 --> 00:03:01.760]  好了 預備起
[00:03:01.760 --> 00:03:03.840]  讓我們一二三
[00:03:03.840 --> 00:03:06.320]  「我們每個人蒙恩
[00:03:06.320 --> 00:03:10.640]  都是照基督所量每個人的恩賜
[00:03:10.640 --> 00:03:12.640]  所以有話說
[00:03:12.640 --> 00:03:15.280]  他升上高天的時候
[00:03:15.280 --> 00:03:17.040]  努力了呼嚕
[00:03:17.040 --> 00:03:20.000]  將各樣的恩賜賞給人
[00:03:20.000 --> 00:03:22.080]  既說的升上
[00:03:22.080 --> 00:03:25.600]  豈不是指他曾降到地下嗎
