
[00:00:00.000 --> 00:00:03.400]  我們領受訊息之前一起禱告吧
[00:00:03.400 --> 00:00:05.400]  親愛的恩主
[00:00:05.400 --> 00:00:07.400]  今天我們來到你的面前
[00:00:07.400 --> 00:00:09.400]  我們敬拜你
[00:00:09.400 --> 00:00:11.400]  我們親近你
[00:00:11.400 --> 00:00:13.400]  我們透過詩歌歌頌你
[00:00:13.400 --> 00:00:15.400]  我們都願望著
[00:00:15.400 --> 00:00:17.400]  你自己的聖靈臨在
[00:00:17.400 --> 00:00:19.400]  引導我們進入真理
[00:00:19.400 --> 00:00:21.400]  打開我們的屬靈耳朵
[00:00:21.400 --> 00:00:25.400]  睜開我們的屬靈眼睛
[00:00:25.400 --> 00:00:27.400]  看到你自己的說話
[00:00:27.400 --> 00:00:31.400]  成為我們生命的提醒和造就
[00:00:31.400 --> 00:00:33.400]  求主帶領
[00:00:33.400 --> 00:00:36.400]  求主祝福我們今天的敬拜
[00:00:36.400 --> 00:00:38.400]  我們的禱告交託
[00:00:38.400 --> 00:00:40.400]  是靠主耶穌基督得聖名求
[00:00:40.400 --> 00:00:42.400]  阿們
[00:00:42.400 --> 00:00:44.400]  在人生裏面
[00:00:44.400 --> 00:00:48.400]  我們很多的
[00:00:48.400 --> 00:00:51.400]  要準備很多的計劃
[00:00:51.400 --> 00:00:54.400]  明天、後天、大後天
[00:00:54.400 --> 00:00:56.400]  我們的餘生
[00:00:56.400 --> 00:00:58.400]  我們人生都會有些規劃
[00:00:58.400 --> 00:01:00.400]  政府都鼓勵我們
[00:01:00.400 --> 00:01:02.400]  做很好的計劃
[00:01:02.400 --> 00:01:05.400]  其中我們崇拜的有不少老人家
[00:01:05.400 --> 00:01:07.400]  近這兩三年
[00:01:07.400 --> 00:01:09.400]  政府都不斷宣傳
[00:01:09.400 --> 00:01:12.400]  我們怎樣有好的安全
[00:01:12.400 --> 00:01:14.400]  有什麼保障呢
[00:01:14.400 --> 00:01:16.400]  在晚年的時候
[00:01:16.400 --> 00:01:18.400]  對於香港越來越多長者
[00:01:18.400 --> 00:01:20.400]  越來越多人退休的時候
[00:01:20.400 --> 00:01:22.400]  有沒有做好退休的計劃
[00:01:22.400 --> 00:01:24.400]  你的安全
[00:01:24.400 --> 00:01:26.400]  你的保障在哪裡呢
[00:01:26.400 --> 00:01:30.400]  應該都透過電視、透過媒體
[00:01:30.400 --> 00:01:32.400]  都知道有聽到政府提及
[00:01:32.400 --> 00:01:34.400]  退休三步
