
[00:00:00.000 --> 00:00:02.000]  各位聽眾各位朋友 早安平安
[00:00:02.000 --> 00:00:04.000]  在場的大家可能不認識我
[00:00:04.000 --> 00:00:05.000]  因為我很少在五堂
[00:00:05.000 --> 00:00:07.000]  我叫Steven 盧德仁牧師
[00:00:07.000 --> 00:00:10.000]  歡迎大家參與今天的崇拜
[00:00:10.000 --> 00:00:14.000]  是我們教會一年一度的猜拳主日
[00:00:14.000 --> 00:00:17.000]  今年我們環繞著一個主題
[00:00:17.000 --> 00:00:19.000]  是講到泰國的福音需要
[00:00:19.000 --> 00:00:21.000]  主題叫做「太需要你」
[00:00:21.000 --> 00:00:24.000]  這個「你」當然是講到上帝的「你」
[00:00:24.000 --> 00:00:28.000]  正如過去幾個星期播放的宣傳短片所講
[00:00:28.000 --> 00:00:30.000]  大家說起泰國
[00:00:30.000 --> 00:00:32.000]  順便說一下大家在旅行時有否通過關卡
[00:00:32.000 --> 00:00:38.000]  去過的舉手吧
[00:00:38.000 --> 00:00:40.000]  也不少
[00:00:40.000 --> 00:00:43.000]  那我假設那些沒舉手的真的沒去過嗎
[00:00:43.000 --> 00:00:44.000]  還是我應該反過來問呢
[00:00:44.000 --> 00:00:47.000]  即是應該問沒有去過的才舉手
[00:00:47.000 --> 00:00:48.000]  然後每個都不舉手
[00:00:48.000 --> 00:00:50.000]  那我就當每個都去過了
[00:00:50.000 --> 00:00:52.000]  說起泰國呢
[00:00:52.000 --> 00:00:54.000]  可能大家都會覺得是一個旅遊勝地
[00:00:54.000 --> 00:00:56.000]  可能你會聯想當地的旅遊
[00:00:56.000 --> 00:00:58.000]  飲食、娛樂
[00:00:58.000 --> 00:01:01.000]  各式其式的東西
[00:01:01.000 --> 00:01:05.000]  或者你會哼一兩句泰文的歌
[00:01:05.000 --> 00:01:07.000]  「Sawadee Krap」
[00:01:07.000 --> 00:01:12.000]  究竟我們對泰國的福音需要
[00:01:12.000 --> 00:01:17.000]  是否同樣等同旅遊需要這麼豐富的理解呢
[00:01:17.000 --> 00:01:22.000]  究竟上帝如果用他的角度去看泰國
[00:01:22.000 --> 00:01:24.000]  是否用這樣的角度去看呢
[00:01:24.000 --> 00:01:31.000]  上帝又要我們怎樣參與在福音需要的使命裏呢
[00:01:31.000 --> 00:01:36.000]  泰國這個國家的名字
[00:01:36.000 --> 00:01:37.000]  Thailand
[00:01:37.000 --> 00:01:39.000]  其實字面的意思是自由之地
[00:01:39.000 --> 00:01:41.000]  人口有七千萬
[00:01:41.000 --> 00:01:47.000]  整個國家分為泰北、泰東北、東部、中部、南部五個區域
[00:01:47.000 --> 00:01:51.000]  各有獨特的文化歷史背景
[00:01:51.000 --> 00:01:53.000]  發展至上世紀
[00:01:53.000 --> 00:01:56.000]  泰國是很為自己的歷史驕傲
[00:01:56.000 --> 00:01:57.000]  因為在上世紀
[00:01:57.000 --> 00:02:01.000]  泰國是唯一沒有受殖民的東南亞國家
[00:02:01.000 --> 00:02:06.000]  也是東南亞最具凝聚力和多元化的社會之一
[00:02:06.000 --> 00:02:07.000]  物產豐盛
[00:02:07.000 --> 00:02:12.000]  而且不需要靠外國進口食物去供應
[00:02:12.000 --> 00:02:17.000]  而且有著他們認為崇高但又複雜的君主制
[00:02:17.000 --> 00:02:20.000]  叫泰國人引以為傲
[00:02:20.000 --> 00:02:23.000]  泰國人給人的感覺是隨和、有禮、熱情好客
[00:02:23.000 --> 00:02:25.000]  臉上常常帶著笑容
[00:02:25.000 --> 00:02:27.000]  而且因為這個緣故
[00:02:27.000 --> 00:02:30.000]  被稱為是一個微笑的國度
[00:02:30.000 --> 00:02:31.000]  不過我們問
[00:02:31.000 --> 00:02:35.000]  究竟泰國的人是否有真正的自由
[00:02:35.000 --> 00:02:39.000]  他們的微笑背後是否有真正的喜樂呢
[00:02:39.000 --> 00:02:45.000]  福音傳入泰國已經近二百年
[00:02:45.000 --> 00:02:47.000]  早在1815年
[00:02:47.000 --> 00:02:53.000]  守衞來華的宣教士馬利信牧師和他的同伴米連牧師
[00:02:53.000 --> 00:02:57.000]  開展了一個叫做恆河外方傳道計劃
[00:02:57.000 --> 00:03:00.000]  在南洋包括泰國
[00:03:00.000 --> 00:03:03.000]  開展華人的傳教事工
[00:03:03.000 --> 00:03:07.000]  而其中在這個計劃裡有一個叫郭士立的牧師
[00:03:07.000 --> 00:03:08.000]  有份參與的
[00:03:08.000 --> 00:03:12.000]  其實郭士立牧師的墳地是在今天香港的跑馬地墳場
[00:03:12.000 --> 00:03:17.000]  你可以去評調去回顧宣教的歷史
[00:03:17.000 --> 00:03:23.000]  郭士立相信是受到這個叫做恆河外方傳道計劃的影響
[00:03:23.000 --> 00:03:24.000]  分逃
[00:03:24.000 --> 00:03:29.000]  他在1828年進一步聯同另外一位宣教士
[00:03:29.000 --> 00:03:31.000]  叫做頌林牧師
[00:03:31.000 --> 00:03:34.000]  正式在曼谷開展科研工作
[00:03:34.000 --> 00:03:37.000]  不過他是以華人為對象
[00:03:37.000 --> 00:03:44.000]  但已經在當地開展將聖經翻譯成泰文
[00:03:44.000 --> 00:03:47.000]  到了1833年
[00:03:47.000 --> 00:03:50.000]  耶西安牧師和他的太太師母
[00:03:50.000 --> 00:03:51.000]  就去到曼谷
[00:03:51.000 --> 00:03:53.000]  專責泰國人的報道工作
[00:03:53.000 --> 00:03:54.000]  所以說
[00:03:54.000 --> 00:03:58.000]  其實正式在泰國開展向泰國人傳福音
[00:03:58.000 --> 00:03:59.000]  就是1833年
[00:03:59.000 --> 00:04:01.000]  到了第二年
[00:04:01.000 --> 00:04:06.000]  一位叫做連維仁牧師和他的師母太太
[00:04:06.000 --> 00:04:08.000]  啟程前來曼谷
[00:04:08.000 --> 00:04:09.000]  不過很不幸
[00:04:09.000 --> 00:04:11.000]  師母在1835年
[00:04:11.000 --> 00:04:14.000]  因為分娩產頭染病死了
[00:04:14.000 --> 00:04:17.000]  連維仁處於喪妻之痛
[00:04:17.000 --> 00:04:21.000]  但仍然沒有忘記要去曼谷宣教的使命
[00:04:21.000 --> 00:04:23.000]  他就將初生的女兒托孤
[00:04:23.000 --> 00:04:26.000]  去給公理會的一位傳教士
[00:04:26.000 --> 00:04:28.000]  叫做巴德里
[00:04:28.000 --> 00:04:31.000]  巴德里醫生夫婦撫養
[00:04:31.000 --> 00:04:36.000]  然後自己隻身繼續在曼谷宣教工作
[00:04:36.000 --> 00:04:37.000]  感恩的是
[00:04:37.000 --> 00:04:39.000]  他的宣教工作果效非常超張
[00:04:39.000 --> 00:04:41.000]  在同一年的十月
[00:04:41.000 --> 00:04:43.000]  已經幫助了三位華人
[00:04:43.000 --> 00:04:45.000]  帶去信耶穌
[00:04:45.000 --> 00:04:48.000]  然後還向他施行水禮
[00:04:48.000 --> 00:04:51.000]  逆年就在曼谷正式建立了
[00:04:51.000 --> 00:04:54.000]  曼谷浸信會心聯堂
[00:04:54.000 --> 00:04:59.000]  一般認為是世界上第一間最早的華人基督教會
[00:04:59.000 --> 00:05:01.000]  泰國的封公作就這樣開始了
[00:05:01.000 --> 00:05:04.000]  不過時至今日情況如何呢
[00:05:04.000 --> 00:05:06.000]  泰國基督徒人口
[00:05:06.000 --> 00:05:12.000]  到今天都只不過是全國人口的0.7%
[00:05:12.000 --> 00:05:15.000]  而且多於一半在泰北
[00:05:15.000 --> 00:05:17.000]  而當中這一班人又有一半
[00:05:17.000 --> 00:05:22.000]  聚居在清邁、清萊、夜封縱
[00:05:22.000 --> 00:05:23.000]  這三個府中
[00:05:23.000 --> 00:05:28.000]  但這三個地方其實是泰國最貧窮地方之一
[00:05:28.000 --> 00:05:30.000]  其他地方又如何呢
[00:05:30.000 --> 00:05:34.000]  其實泰東北中部極需要福音上的支援
[00:05:34.000 --> 00:05:37.000]  而南部和位於中部的曼谷
[00:05:37.000 --> 00:05:40.000]  其實有不少穆斯林在這裡聚居
[00:05:40.000 --> 00:05:41.000]  你看見整體而言
[00:05:41.000 --> 00:05:46.000]  其實整個泰國仍然是一個福音很荒涼的地方
[00:05:46.000 --> 00:05:49.000]  甚至有人說仍然是一個福音硬土
[00:05:49.000 --> 00:05:51.000]  我們問的問題
[00:05:51.000 --> 00:05:56.000]  如果從耶穌的角度去看泰國今天福音的需要
[00:05:56.000 --> 00:05:58.000]  祂會如何看呢
[00:05:58.000 --> 00:06:00.000]  我們希望透過今年的猜拳年會
[00:06:00.000 --> 00:06:05.000]  我們不單止認識泰國過去和現在的宣教工作
[00:06:05.000 --> 00:06:08.000]  更加我們在上帝面前去問我們自己
[00:06:08.000 --> 00:06:11.000]  應該如何回應上帝的心意
[00:06:11.000 --> 00:06:18.000]  現在我們盼望透過馬太福音第九章35到38節
[00:06:18.000 --> 00:06:24.000]  講題就是講到不單止是泰國人需要上帝太需要你
[00:06:24.000 --> 00:06:27.000]  而上帝也需要我們的回應
[00:06:27.000 --> 00:06:29.000]  祂需要你
[00:06:29.000 --> 00:06:30.000]  我們每一位
[00:06:30.000 --> 00:06:33.000]  看看聖經在這段經文裡
[00:06:33.000 --> 00:06:36.000]  如何教導提醒我們回應上主
[00:06:36.000 --> 00:06:38.000]  我們一起重讀這段聖經
[00:06:38.000 --> 00:06:43.000]  是和合本修訂版的馬太福音九章35到38節
[00:06:43.000 --> 00:06:44.000]  我們一起讀
[00:06:44.000 --> 00:06:54.000]  「耶穌走遍各城各鄉,在他們的會堂裡教導人,宣講天國的福音,又醫治各樣的病症。
[00:06:54.000 --> 00:07:03.000]  祂看見一大群人,就憐憫他們,因為他們困苦無助,如同羊沒有牧人一樣。
[00:07:03.000 --> 00:07:17.000]  於是祂對門徒說:要收的莊家多,作工的人少,所以你們當求莊家的主,差遣做工的人出去收他的莊家。」
[00:07:17.000 --> 00:07:21.000]  這段經文一開始我們首先留意一個地方
[00:07:21.000 --> 00:07:23.000]  就是原來整句的句子
[00:07:23.000 --> 00:07:27.000]  由九章35到38節在原文的句式
[00:07:27.000 --> 00:07:29.000]  其實是一個完整的句子
[00:07:29.000 --> 00:07:31.000]  我們看看下一版的部分
[00:07:31.000 --> 00:07:33.000]  完整的句子的結構是怎樣的
[00:07:33.000 --> 00:07:36.000]  當中35節是說到「走遍各城各鄉」
[00:07:36.000 --> 00:07:40.000]  這就是整句話的主要動詞
