
[00:00:00.000 --> 00:00:10.240]  新一年,標稱崇拜,其實在木區三都有一個新的年度主題
[00:00:10.240 --> 00:00:12.800]  可能你說,是嗎?有嗎?
[00:00:12.800 --> 00:00:16.520]  是呀,我不知道你記不記得,上年我們都有一個年度主題
[00:00:16.520 --> 00:00:17.720]  大家有沒有印象?
[00:00:17.720 --> 00:00:20.520]  可能大家不知道,其實我們上年有一個年度主題
[00:00:20.520 --> 00:00:25.480]  叫做展現神的國,成為吸引眼球的生命
[00:00:25.480 --> 00:00:29.080]  今年2025年,我們都有一個主題
[00:00:29.080 --> 00:00:33.920]  也是展現神的國,但走進世界每個角落
[00:00:33.920 --> 00:00:38.880]  糟了,我漏了一個「樂」字,是一個「國」字
[00:00:38.880 --> 00:00:43.040]  是有英文的,可不可以讀一下英文怎麼讀?
[00:00:43.040 --> 00:00:48.720]  對,就是這樣讀
[00:00:48.720 --> 00:00:54.720]  其實如果你是青少部成長,或者剛升上青少部
[00:00:54.720 --> 00:00:59.720]  你都知道,其實這個也是跟青少部一樣的主題
[00:00:59.720 --> 00:01:04.800]  很希望能夠繼續我們的生命,屬靈的生命
[00:01:04.800 --> 00:01:07.000]  繼續在耶穌基督的裡面
[00:01:07.000 --> 00:01:14.200]  以致我們才能夠為上帝走出去,發熱發光,去作見證
[00:01:14.200 --> 00:01:18.840]  而新一年標稱港島,都有一個港島的主題
[00:01:18.840 --> 00:01:23.640]  我們都很想說一些關於我們屬靈生命的特質
[00:01:23.640 --> 00:01:28.000]  究竟我們屬靈生命有什麼特質,很重要的要在我們生命裡面
[00:01:28.000 --> 00:01:33.760]  有這些特質我們才能夠為主走出去,為主發熱發光
[00:01:33.760 --> 00:01:39.880]  1月份和2月份,我們想說的其中一個生命特質就是轉化
[00:01:39.880 --> 00:01:43.080]  Transform,轉化
[00:01:43.080 --> 00:01:47.120]  其實我們信了主,我應該坐在這裡的大部分
[00:01:47.120 --> 00:01:49.560]  我們都信了主,是一個基督徒
[00:01:49.560 --> 00:01:56.640]  其實理應,或者應該,我們的生命應該都被上帝轉化了
[00:01:56.640 --> 00:02:05.040]  不過,很現實,有時我們又很容易回到舊我,或者老我的裡面
