
[00:00:00.000 --> 00:00:02.560]  用著這支鮮和
[00:00:02.560 --> 00:00:05.000]  大家好
[00:00:05.000 --> 00:00:08.200]  可否給掌聲今天的侍奉人員
[00:00:08.200 --> 00:00:11.400]  包括敬拜隊、詩詩隊和AV Team
[00:00:11.400 --> 00:00:14.360]  真的很感謝他們的勞苦
[00:00:14.360 --> 00:00:17.320]  讓我們有這麼好的崇拜和敬拜
[00:00:17.320 --> 00:00:20.480]  我不知道剛才在敬拜裡面你有什麼感受和體會
[00:00:20.480 --> 00:00:23.360]  我覺得逗留在神的同座裡
[00:00:23.360 --> 00:00:24.720]  我覺得很甘甜
[00:00:24.720 --> 00:00:27.480]  很安穩和很sweet
[00:00:27.480 --> 00:00:28.840]  我不知道你有沒有感受到
[00:00:28.840 --> 00:00:31.440]  你看看你旁邊的那個人,他甜不甜?
[00:00:31.440 --> 00:00:32.960]  不是說他的樣子
[00:00:32.960 --> 00:00:35.600]  是他剛才在敬拜裡面甜不甜?
[00:00:35.600 --> 00:00:36.840]  我覺得很甜
[00:00:36.840 --> 00:00:41.720]  在整個同座裡很珍惜能夠和大家一起敬拜的時間
[00:00:41.720 --> 00:00:44.840]  今天講到的題目是
[00:00:44.840 --> 00:00:49.480]  在世而不屬世的身份
[00:00:49.480 --> 00:00:52.400]  其實我們每個人都有不同的身份
[00:00:52.400 --> 00:00:55.600]  你知道自己有多少個身份嗎?
[00:00:55.600 --> 00:00:59.200]  你是你媽媽的兒子或女兒
[00:00:59.200 --> 00:01:02.000]  當然你也是你爸爸的兒子或女兒
[00:01:02.000 --> 00:01:05.120]  可能你是別人的姐姐、弟妹
[00:01:05.120 --> 00:01:11.000]  也可能你是別人的爸爸、老婆、老公、媽媽、爸爸
[00:01:11.000 --> 00:01:12.400]  我不是說你們
[00:01:12.400 --> 00:01:13.680]  我是說你們的導師
[00:01:13.680 --> 00:01:16.800]  你們不可能是爸爸、媽媽
[00:01:16.800 --> 00:01:18.400]  你們應該還沒有結婚吧
[00:01:18.400 --> 00:01:20.080]  雖然有一個年輕人這樣跟我說
[00:01:20.080 --> 00:01:23.200]  他說「我16歲了,我可以結婚了」
[00:01:23.200 --> 00:01:25.320]  不過我猜你們應該還沒有
[00:01:25.320 --> 00:01:28.560]  還有,我們學校有學生的身份
[00:01:28.560 --> 00:01:30.800]  可能你不只只有學生的身份
[00:01:30.800 --> 00:01:35.000]  可能你是班長、班代表
[00:01:35.000 --> 00:01:37.880]  我知道有些運動很厲害的
[00:01:37.880 --> 00:01:39.840]  可能你也是校隊
[00:01:39.840 --> 00:01:42.520]  我不知道我們當中有沒有港隊
[00:01:42.520 --> 00:01:45.400]  或者你可能已經在拍拖
[00:01:45.400 --> 00:01:48.120]  你是別人的男朋友或女朋友
[00:01:48.120 --> 00:01:52.840]  男朋友常常會被女朋友問這條問題
[00:01:52.840 --> 00:01:55.920]  「如果我和你媽媽掉進水裡,你會先救誰?」
[00:01:55.920 --> 00:01:58.200]  這個問題真的很難回答
[00:01:58.200 --> 00:02:00.520]  手掌、手背、手肉
[00:02:00.520 --> 00:02:02.320]  我不會要大家舉手
[00:02:02.320 --> 00:02:05.760]  問誰回答這個問題,不需要的
[00:02:05.760 --> 00:02:09.320]  對了,每個人可能都有不同的身份
[00:02:09.320 --> 00:02:11.040]  有時也很混淆
[00:02:11.040 --> 00:02:14.360]  怎樣每個身份都做得很好
[00:02:14.360 --> 00:02:16.000]  又或者作為信徒的我們
[00:02:16.000 --> 00:02:19.200]  我們有一個地上的身份和角色
[00:02:19.200 --> 00:02:21.880]  但我們同樣有一個屬天的身份
[00:02:21.880 --> 00:02:26.200]  怎樣可以做到再世而又不屬世
[00:02:26.200 --> 00:02:30.120]  怎樣可以做好屬天的身份
[00:02:30.120 --> 00:02:33.480]  當要做的時候,又會面對甚麼挑戰
[00:02:33.480 --> 00:02:36.840]  當有挑戰的時候,我們又怎樣去面對
[00:02:36.840 --> 00:02:39.560]  很想今天透過尼希米這個人物
[00:02:39.560 --> 00:02:40.760]  他的生命
[00:02:40.760 --> 00:02:45.960]  讓我們在當中學習和啟示
[00:02:45.960 --> 00:02:50.200]  《經文》在尼希米記的四章15到23節
[00:02:50.200 --> 00:02:52.200]  想邀請大家一起讀
[00:02:52.200 --> 00:02:54.000]  好,預備起
[00:02:54.000 --> 00:02:58.520]  「受的聽見,我們知道了他們的計謀」
[00:02:58.520 --> 00:03:01.160]  「神也破壞他們的計謀」
[00:03:01.160 --> 00:03:05.960]  「我們就都回到城牆那裡,各做各的工」
[00:03:05.960 --> 00:03:09.480]  「從那日起,我的僕人一半做工」
[00:03:09.480 --> 00:03:14.760]  「一半拿槍、拿盾牌、拿弓、穿海甲、官」
[00:03:14.760 --> 00:03:18.120]  「都站在猶大全家的後面」
[00:03:18.120 --> 00:03:22.600]  「他們建造城牆,供台的材料的工人」
[00:03:22.600 --> 00:03:27.240]  「供台的時候,一手做工,一手拿兵器」
[00:03:27.240 --> 00:03:30.920]  「建造的人都腰間配刀建造」
[00:03:30.920 --> 00:03:33.720]  「摧割的人在我身旁」
[00:03:33.720 --> 00:03:37.800]  「我對貴族、官長和其餘的百姓說」
[00:03:37.800 --> 00:03:41.080]  「這工程浩大,範圍遼闊」
[00:03:41.080 --> 00:03:44.920]  「我們在城牆上彼此相離恆遠」
[00:03:44.920 --> 00:03:47.720]  「他們一聽見國聲在那裡」
[00:03:47.720 --> 00:03:50.520]  「就聚集到我們那裡去」
[00:03:50.520 --> 00:03:53.800]  「我們的神必為我們增節」
[00:03:53.800 --> 00:03:56.360]  「於是我們做這工程」
[00:03:56.360 --> 00:03:58.200]  「一半的人拿槍」
[00:03:58.200 --> 00:04:01.720]  「從天亮直到星宿出現的時候」
[00:04:01.720 --> 00:04:04.120]  「那時我有對百姓說」
[00:04:04.120 --> 00:04:08.440]  「各人和他的僕人當在耶路撒冷過夜」
[00:04:08.440 --> 00:04:12.360]  「好為我們夜間守衛,白晝做工」
[00:04:12.360 --> 00:04:14.840]  「這樣我和我」
[00:04:14.840 --> 00:04:18.600]  「以及跟從我的衛兵都不脫衣服」
[00:04:18.600 --> 00:04:21.960]  「各人打水時也拿著自己的兵器」
[00:04:21.960 --> 00:04:24.440]  「和我們從低頭禱告」
[00:04:24.440 --> 00:04:27.960]  「點滅上帝,願祢和我們同在」
[00:04:27.960 --> 00:04:31.640]  「聖靈也願祢繼續在我們生命裡工作」
[00:04:31.640 --> 00:04:32.920]  「讓我們知道」
[00:04:32.920 --> 00:04:36.360]  「基督的人生是有一個不一樣的使命」
[00:04:36.360 --> 00:04:38.680]  「我們有一個屬天的身份」
[00:04:38.680 --> 00:04:41.240]  「願今日透過經文成為我們的提醒」
[00:04:41.240 --> 00:04:42.600]  「成為我們的學習」
[00:04:42.600 --> 00:04:44.120]  「我們這樣祈禱交托」
[00:04:44.120 --> 00:04:46.120]  「跟耶穌基督明祈求」
[00:04:46.120 --> 00:04:47.320]  「安活」
[00:04:47.320 --> 00:04:51.640]  先分享一些希米書的背景
[00:04:51.640 --> 00:04:54.520]  當時以色列國已經亡國
[00:04:54.520 --> 00:04:59.480]  並且在波斯王阿達洩西的統治下
[00:04:59.480 --> 00:05:01.560]  但神很有趣
[00:05:01.560 --> 00:05:03.640]  祂感動波斯王
[00:05:03.640 --> 00:05:08.200]  讓以色列人可以回歸耶路撒冷重建家園
[00:05:08.200 --> 00:05:11.720]  第一批回歸的人由所羅巴伯帶領
[00:05:11.720 --> 00:05:13.960]  接著就是以色列
[00:05:13.960 --> 00:05:16.040]  不過他們回到耶路撒冷時
[00:05:16.040 --> 00:05:18.120]  重建家園並不容易
[00:05:18.120 --> 00:05:21.080]  有很多敵人攻擊和攔阻
[00:05:21.080 --> 00:05:24.840]  令建城和家園的事停止
[00:05:24.840 --> 00:05:28.520]  大概十多年後,到了尼希米
