
[00:00:00.000 --> 00:00:05.280]  很感謝敬拜隊帶領我們去敬拜的時間
[00:00:05.280 --> 00:00:08.000]  剛才他邀請我們去安靜的時候
[00:00:08.000 --> 00:00:11.800]  我想起過去第四紙裏面
[00:00:11.800 --> 00:00:16.160]  其實我覺得都是見證神很多的工作
[00:00:16.160 --> 00:00:21.760]  想起2023年開始我們去計劃籌備到現在
[00:00:21.760 --> 00:00:26.360]  其實回想起來是上帝很多的神蹟在裏面
[00:00:26.360 --> 00:00:29.560]  我們真的要好像歌詞所說
[00:00:29.560 --> 00:00:34.680]  當我們來全心敬拜神蹟在不遠的前方
[00:00:34.680 --> 00:00:37.120]  盼望我們接下來新的一年
[00:00:37.120 --> 00:00:41.640]  我們都全心去敬拜仰望這位上帝
[00:00:41.640 --> 00:00:46.600]  我們深信神蹟會在前面讓我們去見到
[00:00:46.600 --> 00:00:49.320]  繼續經歷到上帝的恩典
[00:00:49.320 --> 00:00:55.160]  弟兄姊妹我們知道很快就進入農曆新年
[00:00:55.160 --> 00:00:58.360]  大家是不是準備過年了?
[00:00:58.360 --> 00:00:59.760]  有沒有?
[00:00:59.760 --> 00:01:03.200]  今年農曆新年是什麼年?大家知不知道?
[00:01:03.200 --> 00:01:06.960]  蛇呀!
[00:01:06.960 --> 00:01:11.960]  蛇年我不知道大家有什麼印象
[00:01:11.960 --> 00:01:16.360]  剛剛過去那年就是農年
[00:01:16.360 --> 00:01:18.960]  農年是不是農年?
[00:01:18.960 --> 00:01:22.120]  剛剛過去那年是12生肖裏面的農年
[00:01:22.120 --> 00:01:23.880]  美國是美國
[00:01:23.880 --> 00:01:25.360]  過去那個農年
[00:01:25.360 --> 00:01:28.760]  農就給人的感覺是怎樣?
[00:01:28.760 --> 00:01:30.760]  正面一點的好一點的
[00:01:30.760 --> 00:01:32.760]  但蛇又怎樣呢?
[00:01:32.760 --> 00:01:38.160]  蛇就難一點去比較正面一點
[00:01:38.160 --> 00:01:41.360]  大家現在見到這個比較靚一點
[00:01:41.360 --> 00:01:43.360]  卡通一點開心一點
[00:01:43.360 --> 00:01:45.360]  已經是好一點的
[00:01:45.360 --> 00:01:48.360]  但蛇一般給人的印象是怎樣?
[00:01:48.360 --> 00:01:50.360]  就比較負面一點
[00:01:50.360 --> 00:01:52.360]  我給大家想一想
[00:01:52.360 --> 00:01:54.960]  如果你接下來這個農曆新年
[00:01:54.960 --> 00:01:58.160]  你向你的親戚朋友祝賀的時候
[00:01:58.160 --> 00:02:00.160]  用蛇去說吉祥說話
[00:02:00.160 --> 00:02:02.160]  你有沒有想到呢?
[00:02:02.160 --> 00:02:04.160]  有沒有想到?
[00:02:04.160 --> 00:02:07.160]  靈巧象蛇是基督徒
[00:02:07.160 --> 00:02:09.160]  如果不是基督徒呢?
[00:02:09.160 --> 00:02:11.160]  爛過條蛇
[00:02:11.160 --> 00:02:13.160]  如果不是基督徒
[00:02:13.160 --> 00:02:16.160]  你會想到怎樣去祝福他呢?
[00:02:16.160 --> 00:02:18.160]  蛇平安
[00:02:18.160 --> 00:02:20.160]  其實有一點難想的
[00:02:20.160 --> 00:02:22.160]  你想一下
[00:02:22.160 --> 00:02:24.160]  如果你的親友不是信主的
[00:02:24.160 --> 00:02:28.160]  用蛇這個形象去說吉祥說話
[00:02:28.160 --> 00:02:30.160]  真的有一點難想
[00:02:30.160 --> 00:02:32.160]  可能要再搜尋一下
[00:02:32.160 --> 00:02:34.160]  應該說些什麼呢?
[00:02:34.160 --> 00:02:36.160]  我上網也搜尋過
[00:02:36.160 --> 00:02:38.160]  蛇運當頭
[00:02:38.160 --> 00:02:41.160]  靈蛇獻祟
[00:02:41.160 --> 00:02:44.160]  蛇運亨通
[00:02:44.160 --> 00:02:46.160]  都有這些
[00:02:46.160 --> 00:02:50.160]  用蛇去說吉祥說話
[00:02:50.160 --> 00:02:52.160]  原來蛇我們印象中
[00:02:52.160 --> 00:02:54.160]  我們覺得比較負面
[00:02:54.160 --> 00:02:58.160]  但中國人原來對蛇有另一種看法
[00:02:58.160 --> 00:03:01.160]  因為原來蛇在中國人心目中
[00:03:01.160 --> 00:03:03.160]  有一種意思
[00:03:03.160 --> 00:03:05.160]  就是代表靈活
[00:03:05.160 --> 00:03:07.160]  即是很靈活
[00:03:07.160 --> 00:03:10.160]  剛才Billy說靈巧象蛇
[00:03:10.160 --> 00:03:14.160]  其實中國人對蛇也有一點印象
[00:03:14.160 --> 00:03:16.160]  蛇代表靈活
[00:03:16.160 --> 00:03:18.160]  基督徒我們知道
[00:03:18.160 --> 00:03:21.160]  我們可以用靈巧象蛇去祝福
[00:03:21.160 --> 00:03:24.160]  但在聖經裏面
[00:03:24.160 --> 00:03:26.160]  蛇是怎樣的呢?
[00:03:26.160 --> 00:03:28.160]  相對來說
[00:03:28.160 --> 00:03:30.160]  好像比較負面
[00:03:30.160 --> 00:03:32.160]  大家記得
[00:03:32.160 --> 00:03:34.160]  創世紀裏面
[00:03:34.160 --> 00:03:36.160]  蛇是魔鬼撒旦
[00:03:36.160 --> 00:03:39.160]  那個人有亞當夏娃犯罪
[00:03:39.160 --> 00:03:41.160]  形象比較負面
[00:03:41.160 --> 00:03:43.160]  但上次
[00:03:43.160 --> 00:03:45.160]  閻麥牧師說到
[00:03:45.160 --> 00:03:47.160]  文素記裏面
[00:03:47.160 --> 00:03:53.160]  上帝用火蛇去咬死那班撥逆的以色列人
[00:03:53.160 --> 00:03:59.160]  於是摩西為百姓做了一條銅蛇
[00:03:59.160 --> 00:04:01.160]  當摩西舉起銅蛇的時候
[00:04:01.160 --> 00:04:03.160]  所有被咬的以色列人
[00:04:03.160 --> 00:04:05.160]  當他望向銅蛇的時候
[00:04:05.160 --> 00:04:08.160]  他就可以存活
[00:04:08.160 --> 00:04:12.160]  所以文素記裏面說到銅蛇
[00:04:12.160 --> 00:04:17.160]  形象相對比較正面
[00:04:17.160 --> 00:04:19.160]  農曆新年
[00:04:19.160 --> 00:04:23.160]  是大家去祝福的節日
[00:04:23.160 --> 00:04:26.160]  人們都很喜歡祝福
[00:04:26.160 --> 00:04:28.160]  不喜歡就坐
[00:04:28.160 --> 00:04:31.160]  我相信古今中外歷史裏
[00:04:31.160 --> 00:04:35.160]  都有這樣的印象
[00:04:35.160 --> 00:04:37.160]  但就坐本身
[00:04:37.160 --> 00:04:41.160]  其實都可以成為一個發財的工具
[00:04:41.160 --> 00:04:45.160]  大家比較熟悉的就是打小人
[00:04:45.160 --> 00:04:50.160]  我相信大家沒有做過打小人
[00:04:50.160 --> 00:04:52.160]  但一定聽過
[00:04:52.160 --> 00:04:56.160]  打小人是一個就坐的工作
[00:04:56.160 --> 00:05:00.160]  有人用這個工作去賺取他的金錢
[00:05:00.160 --> 00:05:04.160]  亦都是他的工作專業
[00:05:04.160 --> 00:05:09.160]  原來打小人可以追溯到中國古代的一些巫術
[00:05:09.160 --> 00:05:12.160]  和一些驅邪的儀式
[00:05:12.160 --> 00:05:16.160]  古代普遍社會上相信
[00:05:16.160 --> 00:05:19.160]  邪靈或一些不好的運勢
[00:05:19.160 --> 00:05:23.160]  可以直接影響他個人的生活
[00:05:23.160 --> 00:05:26.160]  所以他需要透過一些儀式
[00:05:26.160 --> 00:05:29.160]  去祈求自己的生命裏面
[00:05:29.160 --> 00:05:31.160]  能夠得到保護
[00:05:31.160 --> 00:05:35.160]  甚至有一些不好的運勢可以驅走
[00:05:35.160 --> 00:05:39.160]  而打小人正正是古代的一種巫術
[00:05:39.160 --> 00:05:43.160]  或者是一種儀式的延伸
[00:05:43.160 --> 00:05:47.160]  所以打小人在過程裏面
[00:05:47.160 --> 00:05:51.160]  打小人的人都會讀一些說話出來
[00:05:51.160 --> 00:05:54.160]  類似一些符咒的東西
[00:05:54.160 --> 00:06:00.160]  其實目的就是要就坐他心裏覺得不好的人
[00:06:00.160 --> 00:06:04.160]  這個就坐可以成為他的工作
[00:06:04.160 --> 00:06:07.160]  其實打小人就是其中一個例子
[00:06:07.160 --> 00:06:10.160]  今天當然不是說打小人
[00:06:10.160 --> 00:06:13.160]  今天我們說經文裏面
[00:06:13.160 --> 00:06:17.160]  是說到一個用咒坐發財的人物
[00:06:17.160 --> 00:06:22.160]  今天我們來到文素記第22章的經文
[00:06:22.160 --> 00:06:26.160]  其實這個經文的範圍是去到24章
[00:06:26.160 --> 00:06:28.160]  即是22、23、24
[00:06:28.160 --> 00:06:31.160]  我們見到是一個很特別的篇幅
[00:06:31.160 --> 00:06:35.160]  是一個很長的篇幅去記載一件在以色列人中間
[00:06:35.160 --> 00:06:38.160]  在抗野的漂流過程裏面
[00:06:38.160 --> 00:06:41.160]  比較特別的一件事件
[00:06:41.160 --> 00:06:45.160]  而中間亦都出現了一個很令人疑惑的人物
[00:06:45.160 --> 00:06:49.160]  這個人物就是巴蘭
[00:06:49.160 --> 00:06:52.160]  這個人物的舉動和他的經歷
[00:06:52.160 --> 00:06:55.160]  其實有什麼特別的地方
[00:06:55.160 --> 00:06:58.160]  或者今天這個人物的事情
