
[00:00:00.000 --> 00:00:05.800]  今天我們進入教會主題講道系列《馬學福音》
[00:00:05.800 --> 00:00:08.360]  今天我給大家的題目是
[00:00:08.360 --> 00:00:11.680]  那段猶豫之間的三個比喻
[00:00:11.680 --> 00:00:14.200]  那段猶豫之間是什麼呢?
[00:00:14.200 --> 00:00:15.200]  講得很複雜
[00:00:15.200 --> 00:00:16.720]  聽下去就會知道
[00:00:16.720 --> 00:00:18.720]  第一段經文大家都很熟悉
[00:00:18.720 --> 00:00:23.320]  我想和大家讀完馬學福音第二章
[00:00:23.320 --> 00:00:26.520]  十三節到第二十二節的經文
[00:00:26.520 --> 00:00:27.680]  不如這樣吧
[00:00:27.680 --> 00:00:30.160]  我一個Power Point
[00:00:30.160 --> 00:00:31.680]  十三到十五節
[00:00:31.680 --> 00:00:32.720]  第一版
[00:00:32.720 --> 00:00:34.600]  接著十六、十七節一版
[00:00:34.600 --> 00:00:38.080]  第一版我們請姐妹讀
[00:00:38.080 --> 00:00:40.080]  第二版請弟兄讀
[00:00:40.080 --> 00:00:41.720]  第三版姐妹讀
[00:00:41.720 --> 00:00:42.760]  第四版弟兄讀
[00:00:42.760 --> 00:00:47.000]  如是者讀完這一十節的經文
[00:00:47.000 --> 00:00:49.080]  我們請姐妹預備
[00:00:49.080 --> 00:00:49.880]  Ready 沒?
[00:00:49.880 --> 00:00:51.200]  看到這些字了嗎?
[00:00:51.200 --> 00:00:52.000]  好,預備
[00:00:52.000 --> 00:00:53.200]  一、二、三
[00:00:53.200 --> 00:00:56.040]  耶穌由出到海邊去
[00:00:56.040 --> 00:00:58.400]  眾人都就了他來
[00:00:58.400 --> 00:01:00.400]  他便教訓他們
[00:01:00.400 --> 00:01:02.560]  耶穌經過的時候
[00:01:02.560 --> 00:01:07.400]  看見瓦剌肥的兒子利尾坐在水關上
[00:01:07.400 --> 00:01:10.640]  就對他說:你跟從我
[00:01:10.640 --> 00:01:13.840]  他就起來跟從了耶穌
[00:01:13.840 --> 00:01:17.280]  耶穌在利尾家裡坐直的時候
[00:01:17.280 --> 00:01:19.800]  有好些瑞利和聚人
[00:01:19.800 --> 00:01:22.880]  與耶穌並門徒一同坐直
[00:01:22.880 --> 00:01:25.040]  因為這樣的人多
[00:01:25.040 --> 00:01:27.520]  他們也跟從耶穌
[00:01:27.520 --> 00:01:28.520]  第二段
[00:01:28.520 --> 00:01:31.520]  發利在人中的民時
[00:01:31.520 --> 00:01:33.640]  看見耶穌和聚人
[00:01:33.640 --> 00:01:35.840]  並瑞利一同吃飯
[00:01:35.840 --> 00:01:37.920]  就對他們徒說
[00:01:37.920 --> 00:01:41.680]  他和瑞利並聚人一同吃喝嗎?
[00:01:41.680 --> 00:01:43.160]  耶穌聽見
[00:01:43.160 --> 00:01:44.720]  就對他們說
[00:01:44.720 --> 00:01:47.520]  看見的人用不著醫生
[00:01:47.520 --> 00:01:50.000]  有病的人才用得著
[00:01:50.000 --> 00:01:52.520]  我來本不是召醫人
[00:01:52.520 --> 00:01:54.280]  乃是召罪人
[00:01:54.280 --> 00:01:55.560]  接著姐妹
[00:01:55.560 --> 00:02:00.240]  當下耶穌的門徒和發利在人禁食
[00:02:00.240 --> 00:02:02.360]  他們來問耶穌說
[00:02:02.360 --> 00:02:06.440]  日漢的門徒和發利在人的門徒禁食
[00:02:06.440 --> 00:02:08.680]  你的門徒都不禁食
[00:02:08.680 --> 00:02:10.640]  這是為什麼呢?
[00:02:10.640 --> 00:02:12.480]  耶穌對他們說
[00:02:12.480 --> 00:02:16.120]  新郎和陪伴之人同在的時候
[00:02:16.120 --> 00:02:18.880]  陪伴之人豈能禁食呢?
[00:02:18.880 --> 00:02:20.720]  新郎還在
[00:02:20.720 --> 00:02:22.440]  他們不能禁食
[00:02:22.440 --> 00:02:24.240]  但日子將到
[00:02:24.240 --> 00:02:26.360]  我們要懇求他們
[00:02:26.360 --> 00:02:29.000]  那一日他們就要禁食
[00:02:29.000 --> 00:02:30.240]  接著弟兄
[00:02:30.240 --> 00:02:34.320]  沒有人把身部縫在舊衣服上
[00:02:34.320 --> 00:02:36.760]  恐怕所補上的身部
