
[00:00:00.000 --> 00:00:04.400]  今日我的題目是生與死
[00:00:04.400 --> 00:00:06.900]  大家都知道香港人口老化
[00:00:06.900 --> 00:00:12.700]  經常聽到坊間很多機構舉辦講座
[00:00:12.700 --> 00:00:14.700]  叫生死教育的講座
[00:00:14.700 --> 00:00:17.500]  中國人亦有句說話
[00:00:17.500 --> 00:00:19.500]  未知生,然後怎樣?
[00:00:19.500 --> 00:00:21.700]  現至死
[00:00:21.700 --> 00:00:25.900]  意思是連活著的事情還未搞清楚的時候
[00:00:25.900 --> 00:00:29.100]  又怎會知道死後的世界是怎樣的呢?
[00:00:29.100 --> 00:00:33.600]  同樣,我認為這個說話也可以應用在我們基督徒
[00:00:33.600 --> 00:00:35.600]  在主裡面的生命
[00:00:35.600 --> 00:00:39.800]  我們經常說,順著耶穌,我們就有了屬靈的生命
[00:00:39.800 --> 00:00:43.800]  這個生命是指當人接受了耶穌基督的拯救之後
[00:00:43.800 --> 00:00:48.800]  與神和好,以至靈魂甦醒之後的生命
[00:00:48.800 --> 00:00:51.800]  所以這個生命與我們的肉身不一樣
[00:00:51.800 --> 00:00:54.300]  除了讓我們可以像耶穌一樣
[00:00:54.300 --> 00:01:00.000]  可以與神、宇宙的創造和掌管者直接連繫之外
[00:01:00.000 --> 00:01:02.000]  從祂那裡領受真理
[00:01:02.000 --> 00:01:07.000]  也可以延伸到永恆
[00:01:07.000 --> 00:01:09.000]  在基督再來審判的時候
[00:01:09.000 --> 00:01:12.000]  不至於滅亡的生命
[00:01:12.000 --> 00:01:15.000]  又就是我們常說的永生
[00:01:15.000 --> 00:01:21.000]  然而,對於憑著信而得到的屬靈生命
[00:01:21.000 --> 00:01:23.500]  同樣我們缺乏認識
[00:01:23.500 --> 00:01:26.500]  沒有搞清楚什麼才是信
[00:01:26.500 --> 00:01:29.500]  怎樣才算是信在主裡面
[00:01:29.500 --> 00:01:31.500]  我們也無法確定
[00:01:31.500 --> 00:01:33.500]  我們的肉身死亡的時候
