
[00:00:00.000 --> 00:00:02.720]  五安大英姐妹
[00:00:02.720 --> 00:00:10.800]  Hello,多謝敬拜隊帶領我們有一段時間可以回到神的面前一起敬拜
[00:00:10.800 --> 00:00:13.600]  分享一點剛才的感受
[00:00:13.600 --> 00:00:20.320]  我覺得就好像剛才主席帶我們登上耶和華山時
[00:00:20.320 --> 00:00:23.080]  可能我們覺得自己負上很多
[00:00:23.080 --> 00:00:28.800]  我覺得剛才那段路程好像上了神的山
[00:00:28.800 --> 00:00:32.600]  不過我覺得我上去的時候好像背著很多包袱
[00:00:32.600 --> 00:00:33.840]  好像很沉重
[00:00:33.840 --> 00:00:36.680]  說自己很多不配
[00:00:36.680 --> 00:00:41.120]  但我覺得剛才去神面前認罪、禱告、敬拜的時候
[00:00:41.120 --> 00:00:43.880]  我感覺的是我們真的得到自由
[00:00:43.880 --> 00:00:45.360]  生命不再一樣
[00:00:45.360 --> 00:00:47.000]  其實我們上到神的面前
[00:00:47.000 --> 00:00:48.360]  是神吸引我們
[00:00:48.360 --> 00:00:50.160]  我們不要看自己有多不配
[00:00:50.160 --> 00:00:51.600]  而是看上帝有多厲害
[00:00:51.600 --> 00:00:56.200]  希望你都能夠這樣經歷這個奇妙的上帝
[00:00:56.200 --> 00:00:58.120]  進入今天講道的時間
[00:00:58.120 --> 00:01:02.440]  我今天的講題叫做「神國Openwise」
[00:01:02.440 --> 00:01:04.000]  Openwise
[00:01:04.000 --> 00:01:06.000]  快要開飯了
[00:01:06.000 --> 00:01:07.320]  說什麼呢
[00:01:07.320 --> 00:01:09.560]  今年青少部有一個主題
[00:01:09.560 --> 00:01:10.680]  快要青少主日了
[00:01:10.680 --> 00:01:13.760]  我決定大家一起讀一次這個主題
[00:01:13.760 --> 00:01:14.680]  等一下
[00:01:14.680 --> 00:01:15.200]  為什麼呢?
[00:01:15.200 --> 00:01:17.080]  因為如果不是青少主日
[00:01:17.080 --> 00:01:18.200]  你到城人崇拜
