
[00:00:00.000 --> 00:00:04.000]  我一直覺得自己很榮幸
[00:00:04.000 --> 00:00:05.440]  為何這樣說呢
[00:00:05.440 --> 00:00:08.000]  因為詩歌裡說到
[00:00:08.000 --> 00:00:12.160]  其實三一神很榮耀、很偉大、很厲害
[00:00:12.160 --> 00:00:14.400]  但我這個卑微的人
[00:00:14.400 --> 00:00:17.600]  竟然能夠跟這麼厲害的神親近
[00:00:17.600 --> 00:00:18.960]  我覺得是很榮幸的事
[00:00:18.960 --> 00:00:21.360]  我不知道你覺得這件事是否很榮幸
[00:00:21.360 --> 00:00:23.360]  希望我們信仰人生
[00:00:23.360 --> 00:00:26.160]  一直體會這位神是這麼好的
[00:00:26.160 --> 00:00:30.160]  而且我們覺得很榮幸得到這份愛、這份恩典
[00:00:30.160 --> 00:00:34.960]  今天我的講題叫「你好MM7」
[00:00:34.960 --> 00:00:38.160]  我昨天也有這樣說
[00:00:38.160 --> 00:00:42.160]  我以為自己在用一個很潮的潮語「MM7」
[00:00:42.160 --> 00:00:44.160]  誰知他們說不懂
[00:00:44.160 --> 00:00:48.160]  你們是否也不懂
[00:00:48.160 --> 00:00:52.160]  為何呢?因為「MM7」是一個促成的輸入法
[00:00:52.160 --> 00:00:56.160]  你按兩個M,然後按7字,就會有一個字出現
[00:00:56.160 --> 00:00:58.160]  知道那個叫甚麼字嗎?
[00:00:58.160 --> 00:01:00.160]  正確的正字
[00:01:00.160 --> 00:01:02.160]  你們不知是否奇怪
[00:01:02.160 --> 00:01:04.160]  因為你們不用輸入法
[00:01:04.160 --> 00:01:08.160]  你們用甚麼?拼音或語音
[00:01:08.160 --> 00:01:12.160]  你說的,中文字就出現了
[00:01:12.160 --> 00:01:14.160]  其實阿森很好
[00:01:14.160 --> 00:01:16.160]  這個圖,你看清楚一點
[00:01:16.160 --> 00:01:18.160]  只看綠色的部分,你看到甚麼字?
[00:01:18.160 --> 00:01:22.160]  是個正字,看不看得到?
[00:01:22.160 --> 00:01:24.160]  如果看不到,可能要驗眼
[00:01:24.160 --> 00:01:26.160]  是個正字
[00:01:26.160 --> 00:01:30.160]  其實它的原因是甚麼?
[00:01:30.160 --> 00:01:32.160]  你先看看
[00:01:32.160 --> 00:01:34.160]  是個正字
[00:01:34.160 --> 00:01:38.160]  其實正確讀音不是讀個正字,而是讀個正字
[00:01:38.160 --> 00:01:44.160]  所以今天我的講題是「你好正」
[00:01:44.160 --> 00:01:48.160]  讀一次正確的講題給你旁邊的人聽
[00:01:48.160 --> 00:01:52.160]  「你好正」
[00:01:52.160 --> 00:01:58.160]  你想仍然說「你好正」也可以
[00:01:58.160 --> 00:02:02.160]  我不知道我有沒有跟大家分享過
[00:02:02.160 --> 00:02:06.160]  其實你覺得自己很正嗎?
[00:02:06.160 --> 00:02:08.160]  你覺得自己很正、很行、很棒嗎?
[00:02:08.160 --> 00:02:10.160]  還是你像我一樣?
[00:02:10.160 --> 00:02:12.160]  我好像也有分享過,我很怕照鏡
[00:02:12.160 --> 00:02:16.160]  有時乘地鐵或商場的倒影
[00:02:16.160 --> 00:02:18.160]  看到自己的樣子,我會很緊張
[00:02:18.160 --> 00:02:20.160]  因為每次看到自己的樣子
[00:02:20.160 --> 00:02:22.160]  我會覺得自己很醜
[00:02:22.160 --> 00:02:24.160]  眼睛很小,鼻子很扁
[00:02:24.160 --> 00:02:26.160]  現在年紀大了,又胖了
[00:02:26.160 --> 00:02:28.160]  臉好像腫了
[00:02:28.160 --> 00:02:32.160]  有白頭髮,皺紋
[00:02:32.160 --> 00:02:34.160]  好像每次看到自己
[00:02:34.160 --> 00:02:38.160]  都是看到自己不好的地方
[00:02:38.160 --> 00:02:40.160]  我不知道你會否也像我一樣
[00:02:40.160 --> 00:02:44.160]  或者覺得自己比別人差
[00:02:44.160 --> 00:02:46.160]  運動我又不擅長
[00:02:46.160 --> 00:02:48.160]  讀書我又不擅長
[00:02:48.160 --> 00:02:52.160]  音樂只有八級
[00:02:52.160 --> 00:02:54.160]  演奏級很厲害
[00:02:54.160 --> 00:02:56.160]  永遠都比不上別人
[00:02:56.160 --> 00:02:58.160]  經常覺得自己不夠好
[00:02:58.160 --> 00:03:00.160]  我不知道你會否也這樣想
[00:03:00.160 --> 00:03:04.160]  不過聖經這樣說
[00:03:04.160 --> 00:03:08.160]  信耶穌的人是一個新造的人
[00:03:08.160 --> 00:03:12.160]  地上的炎,地上的光
[00:03:12.160 --> 00:03:14.160]  應該是發光的
[00:03:14.160 --> 00:03:16.160]  青少部今年的主題
[00:03:16.160 --> 00:03:18.160]  記得是甚麼嗎?
[00:03:18.160 --> 00:03:20.160]  今年的年度主題
[00:03:20.160 --> 00:03:22.160]  不記得的,可以下個部分看看
[00:03:22.160 --> 00:03:24.160]  讀一次給我聽,預備起
[00:03:24.160 --> 00:03:30.160]  讀得很好
[00:03:30.160 --> 00:03:32.160]  昨天高中的讀得很差
[00:03:32.160 --> 00:03:34.160]  你們整齊很多
[00:03:34.160 --> 00:03:36.160]  非常好
[00:03:36.160 --> 00:03:38.160]  我們要出去
[00:03:38.160 --> 00:03:40.160]  為主發光
[00:03:40.160 --> 00:03:42.160]  但有時我會覺得自己
[00:03:42.160 --> 00:03:44.160]  哪裡像發光
[00:03:44.160 --> 00:03:50.160]  今天很想和大家分享一節經文
[00:03:50.160 --> 00:03:52.160]  不是一段,只是一節
[00:03:52.160 --> 00:03:54.160]  是彼得前書的二章九節
[00:03:54.160 --> 00:03:56.160]  很想透過這一節的經文
[00:03:56.160 --> 00:03:58.160]  天父上帝開我們眼界
[00:03:58.160 --> 00:04:00.160]  開我們熟齡眼睛
[00:04:00.160 --> 00:04:02.160]  讓我們看到
[00:04:02.160 --> 00:04:04.160]  其實我們有一個熟天的身份
[00:04:04.160 --> 00:04:06.160]  我們有一個很好的身份
[00:04:06.160 --> 00:04:08.160]  我們有一個很好的身份
[00:04:08.160 --> 00:04:10.160]  但有甚麼事情
[00:04:10.160 --> 00:04:12.160]  難阻我們不能活出這個身份
[00:04:12.160 --> 00:04:14.160]  我們一起讀這一節經文
[00:04:14.160 --> 00:04:16.160]  好嗎?
[00:04:16.160 --> 00:04:18.160]  預備起
[00:04:18.160 --> 00:04:20.160]  不過你們是被揀選的一族
[00:04:20.160 --> 00:04:22.160]  是君尊的祭司
[00:04:22.160 --> 00:04:24.160]  是神聖的國度
[00:04:24.160 --> 00:04:26.160]  是屬上帝的子民
[00:04:26.160 --> 00:04:30.160]  於是你們宣揚那照你們出黑暗
[00:04:30.160 --> 00:04:32.160]  入奇妙光明者的美德
[00:04:32.160 --> 00:04:34.160]  我們提低頭肚
[00:04:34.160 --> 00:04:37.160]  天父上帝我們很需要你的同在
[00:04:37.160 --> 00:04:40.160]  聖靈我們很需要你在我們生命裏工作
[00:04:40.160 --> 00:04:42.160]  聖靈你開我們熟齡眼睛
[00:04:42.160 --> 00:04:45.160]  讓我們看到我們這個身份是多麼寶貴
[00:04:45.160 --> 00:04:47.160]  也讓我們看到
[00:04:47.160 --> 00:04:51.160]  我們能夠有力的靠著你去活出這個身份
