
[00:00:00.000 --> 00:00:02.000]  今天的送擺就開始了
[00:00:02.000 --> 00:00:06.600]  開始的時候很想跟大家先說一個故事
[00:00:06.600 --> 00:00:08.600]  故事是怎樣呢
[00:00:08.600 --> 00:00:11.200]  有一家航空公司有一架飛機
[00:00:11.200 --> 00:00:14.200]  大家坐這架飛機
[00:00:14.200 --> 00:00:16.200]  飛機平安起飛
[00:00:16.200 --> 00:00:18.200]  起飛了嗎
[00:00:18.200 --> 00:00:21.200]  不好意思 辛苦了
[00:00:21.200 --> 00:00:23.200]  沒有吧
[00:00:23.200 --> 00:00:25.200]  飛機平安起飛
[00:00:25.200 --> 00:00:29.600]  一直飛 由一個城到第二個城
[00:00:29.600 --> 00:00:33.400]  降落的時候突然有奇怪的事情發生
[00:00:33.400 --> 00:00:35.400]  有盞燈在閃
[00:00:35.400 --> 00:00:39.800]  不是在這裡 在那邊就會有
[00:00:39.800 --> 00:00:42.200]  有盞燈在閃
[00:00:42.200 --> 00:00:48.200]  機師在說
[00:00:48.200 --> 00:00:50.800]  為什麼有盞燈 為什麼那盞燈那麼奇怪
[00:00:50.800 --> 00:00:52.200]  好像燒了一樣
[00:00:52.200 --> 00:00:55.000]  開始懷疑是不是燒了
[00:00:55.000 --> 00:01:00.200]  開始拍拍拍 弄一下它
[00:01:00.200 --> 00:01:01.200]  是不是有事
[00:01:01.200 --> 00:01:03.200]  跟副機師說
[00:01:03.200 --> 00:01:05.800]  那盞燈在燒燒的 好像怪怪的
[00:01:05.800 --> 00:01:08.200]  他又來拍拍拍
[00:01:08.200 --> 00:01:10.800]  空姐進來 嘩那麼吵 幹什麼
[00:01:10.800 --> 00:01:13.800]  是呀 那盞燈好像燒了 他又來拍拍拍
[00:01:13.800 --> 00:01:15.800]  大家在拍那盞燈
[00:01:15.800 --> 00:01:17.800]  弄一下 換燈泡
[00:01:17.800 --> 00:01:19.800]  看看線有沒有問題
[00:01:19.800 --> 00:01:22.800]  不知為什麼有人不小心撞到那個按鈕
[00:01:22.800 --> 00:01:25.400]  飛機就慢慢向下墜
