
[00:00:00.000 --> 00:00:02.000]  今天是一年一度的清少主日
[00:00:02.000 --> 00:00:06.080]  很想跟大家一起分享訊息
[00:00:06.080 --> 00:00:09.280]  我們今年清少部有一個年提
[00:00:09.280 --> 00:00:10.800]  我們的年提是叫做
[00:00:10.800 --> 00:00:13.360]  "A Life in Christ, Let's Go and Shine"
[00:00:13.360 --> 00:00:16.480]  很想我們一班同工想跟年輕人一起學習
[00:00:16.480 --> 00:00:20.320]  如何在基督裡面活出發光的生命
[00:00:20.320 --> 00:00:23.120]  特別是在猜拳和宣教上
[00:00:23.120 --> 00:00:25.920]  配合教會的年提一起學習這件事
[00:00:25.920 --> 00:00:30.400]  頂姐妹,我不知道你認不認同一句說話
[00:00:30.400 --> 00:00:37.120]  就是信仰的實踐和信仰生命的狀態
[00:00:37.120 --> 00:00:39.360]  是一個銀的兩面
[00:00:39.360 --> 00:00:43.360]  當中是要並行的,是Both End
[00:00:43.360 --> 00:00:46.320]  我們經常都會記得這件事
[00:00:46.320 --> 00:00:48.720]  我們每個星期回來教會的時候
[00:00:48.720 --> 00:00:51.120]  可能我們聽完道,回來崇拜
[00:00:51.120 --> 00:00:52.320]  我們離開教會的時候
[00:00:52.320 --> 00:00:53.360]  我們都會立志的是
[00:00:53.360 --> 00:00:55.360]  我們要為主去造炎造光
[00:00:55.360 --> 00:00:58.960]  不過當我們回到生活道的時候
[00:00:58.960 --> 00:01:01.520]  經過生活的摧殘
[00:01:01.520 --> 00:01:03.280]  生活的忙碌
[00:01:03.280 --> 00:01:06.240]  我們星期二、三、四、五
[00:01:06.240 --> 00:01:09.440]  好像會彷彿經歷這些摧殘的時候
[00:01:09.440 --> 00:01:11.520]  會變成一隻喪屍
[00:01:11.520 --> 00:01:13.200]  (喪屍的聲音)
[00:01:13.200 --> 00:01:15.520]  我會問的是,為什麼呢?
[00:01:15.520 --> 00:01:17.760]  究竟發生什麼事呢?
[00:01:17.760 --> 00:01:21.600]  我跟大家分享一個現在年輕人信仰的狀況
[00:01:21.600 --> 00:01:23.840]  讓大家了解一下現在的年輕人
[00:01:23.840 --> 00:01:27.040]  這個例子我去年在合堂崇拜
[00:01:27.040 --> 00:01:28.160]  跟一群年輕人分享
[00:01:28.160 --> 00:01:30.160]  我不知道大家有沒有聽過這個詞語
[00:01:30.160 --> 00:01:33.760]  叫做暑假匆匆衝症候群
[00:01:33.760 --> 00:01:37.360]  你可以上網搜尋
[00:01:37.360 --> 00:01:38.400]  不過你不會找到
[00:01:38.400 --> 00:01:40.400]  因為這個詞語是我自創的
[00:01:40.400 --> 00:01:42.640]  是什麼狀況呢?
[00:01:42.640 --> 00:01:45.520]  年輕人每一年都會經歷這樣的一個歷程
[00:01:45.520 --> 00:01:46.880]  暑假的時候
[00:01:46.880 --> 00:01:48.240]  他參與Camp
[00:01:48.240 --> 00:01:49.360]  參與短訓
[00:01:49.360 --> 00:01:50.720]  他有很多服侍
[00:01:50.720 --> 00:01:53.280]  經歷一個很火熱的暑假
[00:01:53.280 --> 00:01:54.560]  他暑假完之後
[00:01:54.560 --> 00:01:55.760]  他就會有一個東西
[00:01:55.760 --> 00:01:56.560]  他會立志的就是
[00:01:56.560 --> 00:01:59.680]  "主啊,我要拍胸脯為你做門徒"
[00:01:59.680 --> 00:02:01.760]  到了11月的時候
[00:02:01.760 --> 00:02:02.640]  開學了
[00:02:02.640 --> 00:02:05.040]  開始有很多測驗
[00:02:05.040 --> 00:02:06.320]  有很多考試
[00:02:06.320 --> 00:02:08.000]  經歷這些摧殘的時候
[00:02:08.000 --> 00:02:09.920]  好像有很多很大的壓力
[00:02:09.920 --> 00:02:13.760]  慢慢他的火就會慢慢消失了
[00:02:13.760 --> 00:02:15.600]  不過這個還沒完
[00:02:15.600 --> 00:02:17.120]  到了3月
[00:02:17.120 --> 00:02:19.200]  大家看一下你附近的年輕人
[00:02:19.200 --> 00:02:23.200]  可能他也在經歷很多下學期的挑戰
[00:02:23.200 --> 00:02:24.800]  公開考試的挑戰
[00:02:24.800 --> 00:02:26.240]  他回來的時候
[00:02:26.240 --> 00:02:28.640]  可能彷彿都像一隻喪屍一樣
[00:02:28.640 --> 00:02:31.040]  "啊,好累啊"
[00:02:31.040 --> 00:02:32.960]  就失去了很多不同的方向
[00:02:32.960 --> 00:02:34.400]  不知道自己到底應該怎樣
[00:02:34.400 --> 00:02:35.600]  不過感恩
