
[00:00:00.000 --> 00:00:03.120]  我相信大家有手機的話
[00:00:03.120 --> 00:00:08.320]  你都很難避開有幾個Apps的
[00:00:08.320 --> 00:00:11.200]  Facebook是其中一個
[00:00:11.200 --> 00:00:13.200]  同不同意嗎?
[00:00:13.200 --> 00:00:15.200]  很小聲
[00:00:15.200 --> 00:00:17.760]  我自己都有的
[00:00:17.760 --> 00:00:21.360]  原來你看看這張PowerPoint
[00:00:21.360 --> 00:00:26.640]  Facebook裏面叫做什麼?
[00:00:26.640 --> 00:00:32.640]  叫做……
[00:00:32.640 --> 00:00:34.880]  因為那個大老闆
[00:00:34.880 --> 00:00:38.640]  他想將Facebook再次的搞高檔一點
[00:00:38.640 --> 00:00:39.920]  廣闊一點
[00:00:39.920 --> 00:00:46.160]  想賺多點錢吸引更多人去到他的Apps裏面生活
[00:00:46.160 --> 00:00:49.840]  他改了一個名叫做Meta
[00:00:49.840 --> 00:00:53.680]  他投資了很多的錢
[00:00:53.680 --> 00:00:55.360]  但是在這幾年來
[00:00:55.360 --> 00:01:01.600]  他居然虧蝕了一百億左右的美金
[00:01:01.600 --> 00:01:07.200]  要裁減職員接近一萬人
[00:01:07.200 --> 00:01:13.920]  所以國內人除了叫Facebook是臉書
[00:01:13.920 --> 00:01:19.360]  他還有一個普通話叫做Facebooker
[00:01:19.360 --> 00:01:20.880]  如果你不懂英文
[00:01:20.880 --> 00:01:23.120]  你講Facebooker
[00:01:23.120 --> 00:01:25.040]  那些外國人都點頭
[00:01:25.040 --> 00:01:27.280]  你的發音很棒
[00:01:27.280 --> 00:01:30.080]  就是非死不可
[00:01:30.080 --> 00:01:31.600]  Facebooker
[00:01:31.600 --> 00:01:33.760]  如果你經常看Facebook
[00:01:33.760 --> 00:01:35.520]  那你知道
[00:01:35.520 --> 00:01:38.160]  你自己可以是Facebooker
[00:01:38.160 --> 00:01:40.000]  頸椎有事
[00:01:40.000 --> 00:01:42.320]  疏忽了身邊的親人
[00:01:42.320 --> 00:01:45.280]  重要的事情忘記了
[00:01:45.280 --> 00:01:47.200]  因為事實是很吸引
[00:01:47.200 --> 00:01:48.720]  眼目的程度
[00:01:48.720 --> 00:01:51.120]  帶我們去到今生的驕傲
[00:01:51.120 --> 00:01:54.800]  很容易在裡面找自己的小圈子
[00:01:54.800 --> 00:01:55.920]  頸椎妹
[00:01:55.920 --> 00:01:57.520]  我們信了主
[00:01:57.520 --> 00:02:01.440]  我們已經是一個蒙恩的新造的人
[00:02:01.440 --> 00:02:03.760]  舊事要過一切都變成新的
[00:02:03.760 --> 00:02:05.520]  大家很熟悉這個經文
[00:02:05.520 --> 00:02:08.240]  所以我們要將我們的舊我
[00:02:08.240 --> 00:02:12.080]  舊我徹底的死去
[00:02:12.080 --> 00:02:15.600]  舊我也都要看Facebook
[00:02:15.600 --> 00:02:16.560]  即是什麼?
[00:02:16.560 --> 00:02:19.440]  Facebooker
[00:02:19.440 --> 00:02:20.640]  同不同意嗎?
[00:02:20.640 --> 00:02:24.080]  那你就可以經歷實
[00:02:24.080 --> 00:02:27.120]  為什麼真的要Facebooker
[00:02:27.120 --> 00:02:30.000]  這麼認真來對付我們的舊我呢?
[00:02:30.000 --> 00:02:34.000]  值不值得呢?
[00:02:34.000 --> 00:02:36.960]  因為如果不是這樣
[00:02:36.960 --> 00:02:41.680]  我們很難在信了主之後脫胎換骨
[00:02:41.680 --> 00:02:48.560]  我們很難有能力去用我們的信心
[00:02:48.560 --> 00:02:53.360]  過一個合神心意的基督徒的人生
[00:02:53.360 --> 00:02:55.440]  舊我一定要死去
[00:02:55.440 --> 00:02:56.800]  你看Facebook
[00:02:56.800 --> 00:02:58.480]  請你多說一聲
[00:02:58.480 --> 00:03:01.200]  我的舊我是Facebook
[00:03:01.200 --> 00:03:03.040]  Facebooker
[00:03:03.040 --> 00:03:06.400]  那你人生就不一樣了
[00:03:06.400 --> 00:03:08.320]  是值得的
[00:03:08.320 --> 00:03:14.400]  今天我想和大家看看主耶穌和我們的關係
[00:03:14.400 --> 00:03:15.920]  有幾節經文
[00:03:15.920 --> 00:03:17.840]  是一樣福音十章的
[00:03:17.840 --> 00:03:18.720]  七到十節
[00:03:18.720 --> 00:03:19.600]  十一到十八
[00:03:19.600 --> 00:03:21.200]  和二十五到三十
