
[00:00:00.000 --> 00:00:03.500]   Good morning, sisters.
[00:00:03.500 --> 00:00:06.500]   I think we should give a round of applause to our teachers.
[00:00:06.500 --> 00:00:13.500]   This is a very good demonstration.
[00:00:13.500 --> 00:00:15.000]   Is this demonstration the same?
[00:00:15.000 --> 00:00:19.000]   I think the most touching thing is the new teaching method.
[00:00:19.000 --> 00:00:21.700]   The teachers have always been…
[00:00:21.700 --> 00:00:23.500]   I have seen it myself,
[00:00:23.500 --> 00:00:28.900]   especially last week, I went to Dongguan.
[00:00:28.900 --> 00:00:32.000]   A few churches there invited me to speak
[00:00:32.000 --> 00:00:36.300]   about the development, management and education of the church.
[00:00:36.300 --> 00:00:43.000]   What I told them was that without success, there would be no success.
[00:00:43.000 --> 00:00:50.400]   But they wanted to know if we could introduce the method to them step by step.
[00:00:50.400 --> 00:00:52.800]   They even invited our private class.
[00:00:52.800 --> 00:00:55.000]   This was a few months ago.
[00:00:55.000 --> 00:00:57.500]   Is it possible to communicate with them?
[00:00:57.500 --> 00:01:02.600]   They saw that the worship of the Church of God
[00:01:02.600 --> 00:01:10.300]   was continuously created by many new songs, new verses and new verses.
[00:01:10.300 --> 00:01:15.300]   Secondly, they really appreciated the new songs and new verses
[00:01:15.300 --> 00:01:17.000]   brought by the Church of God.
[00:01:17.000 --> 00:01:20.800]   They were able to prepare the hearts of the people.
[00:01:20.800 --> 00:01:23.000]   But they didn't see some of the things.
[00:01:23.000 --> 00:01:27.800]   But they knew that our brothers and sisters went there to help them
[00:01:27.800 --> 00:01:29.700]   to teach them how to wear the robe,
[00:01:29.700 --> 00:01:30.800]   to teach them how to wear the robe,
[00:01:30.800 --> 00:01:32.200]   to teach them how to love their spouse.
[00:01:32.200 --> 00:01:35.200]   Not all of them went.
[00:01:35.200 --> 00:01:37.800]   Only our brothers and sisters went.
[00:01:37.800 --> 00:01:43.100]   Because of this, they were curious to ask,
[00:01:43.100 --> 00:01:45.500]   "How did you do it?"
[00:01:45.500 --> 00:01:47.200]   Listen, my brothers and sisters.
[00:01:47.200 --> 00:01:50.300]   I think everyone knows how to recite the Great Message.
[00:01:50.300 --> 00:01:52.200]   Do you know how to recite it?
[00:01:52.200 --> 00:01:54.600]   But whether you know how to interpret the question
[00:01:54.600 --> 00:01:56.300]   depends on each person.
[00:01:56.300 --> 00:01:57.900]   I think everyone knows
[00:01:57.900 --> 00:02:01.000]   that the most important commandment of the Great Message
[00:02:01.000 --> 00:02:05.100]   is only one commandment.
[00:02:05.100 --> 00:02:08.300]   That is, "Let the people go as they come."
[00:02:08.300 --> 00:02:10.500]   How do we do that?
[00:02:10.500 --> 00:02:13.000]   There are three different ways.
[00:02:13.000 --> 00:02:14.800]   "Go" means not to wait for people to come.
[00:02:14.800 --> 00:02:16.600]   "Going" means to go.
[00:02:16.600 --> 00:02:19.200]   You have to go to every different place.
[00:02:19.200 --> 00:02:22.500]   You have to go to the place where people are staying.
[00:02:22.500 --> 00:02:24.200]   You have to find the people
[00:02:24.200 --> 00:02:26.500]   and bring the Great Message to them.
[00:02:26.500 --> 00:02:29.300]   But don't give it to them so easily.
[00:02:29.300 --> 00:02:32.300]   Once you believe, you have to help them wash the dishes.
[00:02:32.300 --> 00:02:34.500]   You have to warm up their foundation.
[00:02:34.500 --> 00:02:36.700]   If the foundation is not warmed up,
[00:02:36.700 --> 00:02:39.200]   they will become a woman.
[00:02:39.200 --> 00:02:40.800]   The same is true for Christians.
[00:02:40.800 --> 00:02:42.500]   Why do I believe?
[00:02:42.500 --> 00:02:46.000]   Unless they have become disciples,
[00:02:46.000 --> 00:02:48.300]   we will baptize them.
[00:02:48.300 --> 00:02:49.700]   We will baptize them.
[00:02:49.700 --> 00:02:51.700]   They will be integrated into the life of the Church
[00:02:51.700 --> 00:02:56.000]   and become a part of the body.
[00:02:56.000 --> 00:02:57.600]   But in the body,
[00:02:57.600 --> 00:03:00.700]   every body has a function.
[00:03:00.700 --> 00:03:02.700]   Do you agree, Brother Deng?
[00:03:02.700 --> 00:03:04.800]   If there is anything useless in your body,
[00:03:04.800 --> 00:03:07.000]   you can cut it off.
[00:03:07.000 --> 00:03:08.400]   No.
[00:03:08.400 --> 00:03:10.400]   There is nothing useless.
[00:03:10.400 --> 00:03:13.000]   "Doctor, I think the ears are ugly.
[00:03:13.000 --> 00:03:14.300]   Can you cut them off?"
[00:03:14.300 --> 00:03:15.800]   "The nose is ugly. It's so high.
[00:03:15.800 --> 00:03:18.200]   Can you cut it off?"
[00:03:18.200 --> 00:03:20.800]   "My hands are better than my legs.
[00:03:20.800 --> 00:03:22.200]   My legs are useless.
[00:03:22.200 --> 00:03:23.900]   Can you cut them off?"
[00:03:23.900 --> 00:03:27.100]   "What are the nails for?"
[00:03:27.100 --> 00:03:32.200]   "Why don't you make them all out and make them look better?"
[00:03:32.200 --> 00:03:33.800]   I tell you,
[00:03:33.800 --> 00:03:36.300]   it is impossible to cut them off.
[00:03:36.300 --> 00:03:38.600]   Everything has its function.
[00:03:38.600 --> 00:03:39.900]   In today's Church,
[00:03:39.900 --> 00:03:43.500]   we hope that everyone in the Church
[00:03:43.500 --> 00:03:45.300]   can see that everyone who comes to the Church
[00:03:45.300 --> 00:03:48.700]   has a function.
[00:03:48.700 --> 00:03:51.200]   Nothing is useless.
[00:03:51.200 --> 00:03:54.000]   Everything is very important.
[00:03:54.000 --> 00:03:56.300]   I have told people many times
[00:03:56.300 --> 00:04:00.000]   what attracts a newcomer to the Church
[00:04:00.000 --> 00:04:01.700]   and keeps coming.
[00:04:01.700 --> 00:04:03.200]   The first impression.
[00:04:03.200 --> 00:04:04.300]   When they come,
[00:04:04.300 --> 00:04:06.300]   they look at our Sister Deng.
[00:04:06.300 --> 00:04:08.700]   Are they very enthusiastic?
[00:04:08.700 --> 00:04:10.600]   When they come,
[00:04:10.600 --> 00:04:14.100]   they are very active in meeting and greeting them.
[00:04:14.100 --> 00:04:17.200]   They never say,
[00:04:17.200 --> 00:04:19.400]   "Where is your toilet?"
[00:04:19.400 --> 00:04:20.400]   Then they respond,
[00:04:20.400 --> 00:04:21.900]   "Go and find it."
[00:04:21.900 --> 00:04:22.900]   I tell you,
[00:04:22.900 --> 00:04:25.400]   if you have this attitude,
[00:04:25.400 --> 00:04:28.000]   they will not come again.
[00:04:28.000 --> 00:04:28.800]   Unless you say,
[00:04:28.800 --> 00:04:30.400]   "I will take you there."
[00:04:30.400 --> 00:04:32.100]   You take them there and bring them back.
[00:04:32.100 --> 00:04:33.200]   I tell you,
[00:04:33.200 --> 00:04:34.700]   this impression
[00:04:34.700 --> 00:04:37.200]   makes them very impressed.
[00:04:37.200 --> 00:04:39.000]   They will feel that
[00:04:39.000 --> 00:04:40.700]   they will definitely come back.
[00:04:40.700 --> 00:04:44.100]   It is not that they decide after hearing the pastor's words.
[00:04:44.100 --> 00:04:47.300]   It is from the first day of the meeting.
[00:04:47.300 --> 00:04:49.800]   If you are a person of grace,
[00:04:49.800 --> 00:04:51.400]   a body,
[00:04:51.400 --> 00:04:53.600]   you should do your best
[00:04:53.600 --> 00:04:56.800]   to greet them,
[00:04:56.800 --> 00:04:58.200]   to treat them,
[00:04:58.200 --> 00:04:59.400]   to care for them,
[00:04:59.400 --> 00:05:00.700]   to love them.
[00:05:00.700 --> 00:05:03.100]   Any brother or sister,
[00:05:03.100 --> 00:05:04.800]   when they have this need,
[00:05:04.800 --> 00:05:05.700]   we will immediately,
[00:05:05.700 --> 00:05:07.300]   for their needs,
[00:05:07.300 --> 00:05:08.900]   find a suitable person
[00:05:08.900 --> 00:05:10.300]   at the right time
[00:05:10.300 --> 00:05:11.800]   to do the right thing
[00:05:11.800 --> 00:05:12.900]   to help them.
[00:05:12.900 --> 00:05:15.100]   This is what we should do.
[00:05:15.100 --> 00:05:16.100]   In the past two weeks,
[00:05:16.100 --> 00:05:19.000]   the number of people who have asked for help has been increasing.
[00:05:19.000 --> 00:05:22.400]   A year ago,
[00:05:22.400 --> 00:05:24.500]   the director of the Chinese Academy of Medicine,
[00:05:24.500 --> 00:05:25.500]   Dr. Liang Jialun,
[00:05:25.500 --> 00:05:26.800]   had already contacted me.
[00:05:26.800 --> 00:05:30.600]   He said that he had opened a new Chinese Academy in Rome.
[00:05:30.600 --> 00:05:33.100]   In this new Chinese Academy,
[00:05:33.100 --> 00:05:34.600]   he wanted to teach the Bible.
[00:05:34.600 --> 00:05:37.000]   Many people could help him.
[00:05:37.000 --> 00:05:39.600]   Many people could help him teach the Bible.
[00:05:39.600 --> 00:05:43.400]   But when it comes to the development of the Church,
[00:05:43.400 --> 00:05:45.200]   the establishment of the Church,
[00:05:45.200 --> 00:05:47.000]   he thought about it.
[00:05:47.000 --> 00:05:49.800]   No one could help him.
[00:05:49.800 --> 00:05:51.000]   So two years ago,
[00:05:51.000 --> 00:05:51.900]   he told me,
[00:05:51.900 --> 00:05:53.200]   "Dr. Song,
