
[00:00:00.000 --> 00:00:04.800]  多謝敬拜隊帶領我們向神獻上的敬拜
[00:00:04.800 --> 00:00:08.360]  預備我們用一個重讚、感恩、
[00:00:08.360 --> 00:00:12.240]  學武神和對照在主十戒的心
[00:00:12.240 --> 00:00:15.000]  進入聆聽神的話語
[00:00:15.000 --> 00:00:18.000]  不知道大家最近有沒有看
[00:00:18.000 --> 00:00:21.000]  「托根」第二集呢?
[00:00:21.000 --> 00:00:22.800]  有沒有?
[00:00:22.800 --> 00:00:24.400]  有啊,很多人點頭
[00:00:24.400 --> 00:00:27.200]  我聽到是好評如注
[00:00:27.200 --> 00:00:32.200]  特別是我的同工阿迪強力推介之後
[00:00:32.200 --> 00:00:34.400]  阿迪說他看了兩次
[00:00:34.400 --> 00:00:36.800]  所以我就去了看
[00:00:36.800 --> 00:00:44.000]  這套戲裡面確實有很多值得細微的位置和元素
[00:00:44.000 --> 00:00:49.400]  其中一個元素就是戰友之間的彼此守望
[00:00:49.400 --> 00:00:53.800]  Tom Cruise 飾演的獨行俠Marverick
[00:00:53.800 --> 00:00:54.800]  他是一個教官
[00:00:54.800 --> 00:01:02.800]  在訓練裡面他已經很強調要去
[00:01:02.800 --> 00:01:06.000]  戰機和戰機之間彼此的照顧
[00:01:06.000 --> 00:01:09.600]  和看著大家彼此的安全
[00:01:09.600 --> 00:01:13.600]  Marverick他已經是超勁、超級厲害
[00:01:13.600 --> 00:01:17.400]  但在他帶隊執行攻擊任務的時候
[00:01:17.400 --> 00:01:21.800]  都有兩次差點被敵人的戰機殺死
[00:01:21.800 --> 00:01:25.000]  是全靠他的隊友在千軍一髮的時候
[00:01:25.000 --> 00:01:28.600]  擊落了敵人的戰機救了他
[00:01:28.600 --> 00:01:31.000]  其實他跌入了這個險境
[00:01:31.000 --> 00:01:37.400]  也是因為他要幫其中一位戰友的戰機去擋導彈而發生
[00:01:37.400 --> 00:01:43.600]  不好意思,還沒看的弟兄姊妹就劇透了
[00:01:43.600 --> 00:01:47.000]  所以可以看到作為一個同伴
[00:01:47.000 --> 00:01:52.000]  彼此守望、互相支援、互相保護的重要性
[00:01:52.000 --> 00:01:57.600]  也看到隊員之間的同伴生命的著緊
[00:01:57.600 --> 00:02:00.200]  我們今天講到的題目是
[00:02:00.200 --> 00:02:05.200]  「認罪與同行的團契生活」
[00:02:05.200 --> 00:02:11.600]  我們可以透過這個題目
[00:02:11.600 --> 00:02:15.400]  我們會透過《雅各書》五章十六至二十節
[00:02:15.400 --> 00:02:19.000]  大家作為屬神的子民和屬靈的群體
[00:02:19.000 --> 00:02:21.000]  面對屬靈爭戰的時候
[00:02:21.000 --> 00:02:25.600]  我們又要怎樣做、怎樣打、怎樣同行呢?
[00:02:25.600 --> 00:02:29.600]  我們先一起來讀《雅各書》五章十六至十八節
[00:02:29.600 --> 00:02:31.000]  我們一二三
[00:02:31.000 --> 00:02:37.000]  「所以你們要彼此認罪,互相代求,使你們得醫治
[00:02:37.000 --> 00:02:41.000]  二人祈禱所發的力量是大有功效的
[00:02:41.000 --> 00:02:44.400]  伊利亞與我們是同樣性情的人
[00:02:44.400 --> 00:02:47.400]  他懇切地祈求不下雨
[00:02:47.400 --> 00:02:51.000]  就三年六個月沒有下雨
[00:02:51.000 --> 00:02:54.400]  他又禱告天就降下雨來
[00:02:54.400 --> 00:02:56.600]  地就有了出產」
[00:02:56.600 --> 00:02:59.600]  在五章十六節一開始的「所以」
[00:02:59.600 --> 00:03:03.800]  顯示這幾節的經文是跟前面的經文有些關聯
[00:03:03.800 --> 00:03:06.800]  首先在五章十四至十五節裏面
[00:03:06.800 --> 00:03:11.000]  其實是講到身體的醫治和罪的醫治
[00:03:11.000 --> 00:03:12.000]  即是靈性的醫治
[00:03:12.000 --> 00:03:14.000]  有身體的醫治、有靈性的醫治
[00:03:14.000 --> 00:03:19.000]  十六節繼續是講靈性問題的處理
[00:03:19.000 --> 00:03:26.000]  同時間亦延續了禱告有醫治的功效這個課題
[00:03:26.000 --> 00:03:31.600]  「你們要彼此認罪,互相代求,使你們得醫治」
[00:03:31.600 --> 00:03:34.400]  「你們」是指甚麼人呢?
[00:03:34.400 --> 00:03:37.000]  在《雅各書》一章一節這樣說
[00:03:37.000 --> 00:03:39.800]  「神和主耶穌基督的僕人雅各
[00:03:39.800 --> 00:03:44.600]  問候散居在各處的十二個支派的人」
[00:03:44.600 --> 00:03:49.200]  所以「你們」是指主內的弟兄姊妹
[00:03:49.200 --> 00:03:54.400]  今天這五節經文裏面有三個命令語氣的動詞
