
[00:00:00.000 --> 00:00:07.280]  今日我想和大家一起通過《少林傳》第八章一到八節去思想
[00:00:07.280 --> 00:00:10.320]  就是一個新世代的宣教
[00:00:10.320 --> 00:00:12.800]  去到邊傳到邊
[00:00:12.800 --> 00:00:17.480]  我們一起來讀《少林傳》第八章一到八節
[00:00:17.480 --> 00:00:18.920]  我們一起讀吧
[00:00:18.920 --> 00:00:23.480]  從這一天起耶路撒冷的教會大遭逼迫
[00:00:23.480 --> 00:00:25.320]  除了仕途以外
[00:00:25.320 --> 00:00:29.880]  門徒都分散在猶大和撒瑪尼亞各處
[00:00:29.880 --> 00:00:33.440]  有虔誠的人把屍體迷藏了
[00:00:33.440 --> 00:00:35.680]  為他隨哭大哭
[00:00:35.680 --> 00:00:38.240]  訴羅卻殘害教會
[00:00:38.240 --> 00:00:40.000]  盡各人的家
[00:00:40.000 --> 00:00:43.200]  拉著男女下在監裡
[00:00:43.200 --> 00:00:47.960]  作些分散的人往各處去傳道
[00:00:47.960 --> 00:00:51.600]  「肥力下撒瑪尼亞城去」
[00:00:51.600 --> 00:00:53.240]  宣講基督
[00:00:53.240 --> 00:00:54.920]  眾人聽見了
[00:00:54.920 --> 00:00:58.360]  又看見肥力所行的神蹟
[00:00:58.360 --> 00:01:01.880]  就同心合意地聽從他的話
[00:01:01.880 --> 00:01:05.360]  因為有許多人被污鬼附著
[00:01:05.360 --> 00:01:07.760]  那些鬼大聲呼叫
[00:01:07.760 --> 00:01:10.080]  從他們身上出來
[00:01:10.080 --> 00:01:12.440]  還有許多癱瘓的
[00:01:12.440 --> 00:01:15.280]  沉沉的都得醫治
[00:01:15.280 --> 00:01:19.360]  在那城裡就大有歡喜
[00:01:19.360 --> 00:01:25.280]  旅遊已經成為現代人的一部分
[00:01:25.280 --> 00:01:29.280]  特別是香港人對旅遊更加熱愛
[00:01:29.280 --> 00:01:33.160]  據出入境管理局統計
[00:01:33.160 --> 00:01:38.640]  2014年香港人的外遊次數
[00:01:38.640 --> 00:01:44.040]  超過一億人次
[00:01:44.040 --> 00:01:47.800]  其中有8100萬是北上
[00:01:47.800 --> 00:01:49.640]  除了這8100萬
[00:01:49.640 --> 00:01:53.920]  去外旅行的都有超過2000萬
[00:01:53.920 --> 00:01:57.000]  平均每一個香港人
