
[00:00:00.000 --> 00:00:04.000]  今天敬拜真的很感動
[00:00:04.000 --> 00:00:07.000]  一開始的時候已經很感動
[00:00:07.000 --> 00:00:11.000]  當中主席說了一句
[00:00:11.000 --> 00:00:15.000]  有很多東西阻隔我們體會神的愛
[00:00:15.000 --> 00:00:18.000]  神是主動來到我們生命當中的神
[00:00:18.000 --> 00:00:22.000]  主動將救恩將愛帶到我們生命裡面
[00:00:22.000 --> 00:00:24.000]  但很多時候我們生命裡面
[00:00:24.000 --> 00:00:30.000]  他可能是自己的過去或是我們生命裡面的一些東西
[00:00:30.000 --> 00:00:32.000]  我們阻隔了不願意去接受
[00:00:32.000 --> 00:00:36.000]  或者不願意去擁抱神賜給我們的那份愛
[00:00:36.000 --> 00:00:38.000]  當中其實每一次的崇拜
[00:00:38.000 --> 00:00:40.000]  其實就是告訴我們
[00:00:40.000 --> 00:00:43.000]  我們要將那些阻隔交託給神
[00:00:43.000 --> 00:00:46.000]  讓神將我們帶回他的愛裡面
[00:00:46.000 --> 00:00:48.000]  讓他激勵讓他擁抱
[00:00:48.000 --> 00:00:51.000]  我們每一個崇拜當中
[00:00:51.000 --> 00:00:54.000]  每一次我們紀念主耶穌基督的愛的時候
[00:00:54.000 --> 00:00:56.000]  我們可以再被激勵
[00:00:56.000 --> 00:00:59.000]  知道其實我們生命裡面不是自己一個人去走
[00:00:59.000 --> 00:01:01.000]  神一直都同在
[00:01:01.000 --> 00:01:03.000]  時刻都在
[00:01:03.000 --> 00:01:05.000]  我們有些祈禱好嗎
[00:01:05.000 --> 00:01:07.000]  開始時間
[00:01:07.000 --> 00:01:09.000]  天父我們感謝你
[00:01:09.000 --> 00:01:11.000]  賜給我們你的話語
[00:01:11.000 --> 00:01:13.000]  也賜給我們可以有敬拜你的機會
[00:01:13.000 --> 00:01:15.000]  敬拜裡面我們體會到
[00:01:15.000 --> 00:01:17.000]  你就是榮耀
[00:01:17.000 --> 00:01:19.000]  你在我們生命裡面
[00:01:19.000 --> 00:01:21.000]  我們要高舉的榮耀
[00:01:21.000 --> 00:01:24.000]  因為唯有你才是佩德
[00:01:24.000 --> 00:01:26.000]  你的請求
[00:01:26.000 --> 00:01:28.000]  叫這個世界得著盼望
[00:01:28.000 --> 00:01:30.000]  求你就將這個盼望
[00:01:30.000 --> 00:01:32.000]  讓我們心裡面時刻都牢記
[00:01:32.000 --> 00:01:34.000]  以至我們生命裡面
