
[00:00:00.000 --> 00:00:02.000]  經過了幾年的疫情
[00:00:02.000 --> 00:00:07.000]  也加上近年的移民潮和退休潮
[00:00:07.000 --> 00:00:11.000]  不少教會的人數都減少了
[00:00:11.000 --> 00:00:15.000]  有十幾二十個百分比
[00:00:15.000 --> 00:00:18.000]  教會的收入也減少了
[00:00:18.000 --> 00:00:23.000]  而教會的領袖和教務人數也有減少
[00:00:23.000 --> 00:00:27.000]  不少教會缺乏了教會的資源
[00:00:27.000 --> 00:00:33.000]  不少教會缺乏了牧者和領袖的帶領
[00:00:33.000 --> 00:00:39.000]  因此教會的事工受到頗大的影響
[00:00:39.000 --> 00:00:45.000]  也因為社會的經濟還沒有完全復甦
[00:00:45.000 --> 00:00:49.000]  所以弟兄姊妹當看到這些情況的時候
[00:00:49.000 --> 00:00:54.000]  心裡難免會有些沉悶或灰心
[00:00:54.000 --> 00:00:59.000]  面對這些不利的情況的時候
[00:00:59.000 --> 00:01:04.000]  我們可以怎樣為教會和自己禱告呢?
[00:01:04.000 --> 00:01:08.000]  今早我們會透過保羅的禱告
[00:01:08.000 --> 00:01:11.000]  我們一起學習在一些不利
[00:01:11.000 --> 00:01:14.000]  我們活出信仰的環境的時候
[00:01:14.000 --> 00:01:17.000]  我們怎樣為教會和自己禱告
[00:01:17.000 --> 00:01:21.000]  我們今天要讀的經文
[00:01:21.000 --> 00:01:27.000]  是二弗所書一章十五到二十三節
[00:01:27.000 --> 00:01:35.000]  我們會先讀弟兄先讀第一版
[00:01:35.000 --> 00:01:37.000]  第二版請姊妹讀
[00:01:37.000 --> 00:01:40.000]  弟兄讀和姊妹讀的時候
[00:01:40.000 --> 00:01:41.000]  我們都會一起讀
[00:01:41.000 --> 00:01:45.000]  我們先請弟兄一起讀
[00:01:45.000 --> 00:01:51.000]  因此我既然聽見你們對主耶穌有信心
[00:01:51.000 --> 00:01:54.000]  對眾聖徒有愛心
[00:01:54.000 --> 00:01:57.000]  就不住地為你們感謝神
[00:01:57.000 --> 00:02:02.000]  禱告的時候常常提到你們
[00:02:02.000 --> 00:02:04.000]  請姊妹
[00:02:04.000 --> 00:02:09.000]  求我們主耶穌基督的神榮耀的父
[00:02:09.000 --> 00:02:14.000]  把那賜人智慧和給予的靈賜給你們
[00:02:14.000 --> 00:02:17.000]  使你們真正認識他
[00:02:17.000 --> 00:02:20.000]  照亮你們心中的眼睛
[00:02:20.000 --> 00:02:26.000]  他呼召你們來得的指望是什麼
[00:02:26.000 --> 00:02:32.000]  他在聖徒中所得的榮耀的基因
[00:02:32.000 --> 00:02:37.000]  好,接著請弟兄一起讀
[00:02:37.000 --> 00:02:45.000]  並知道他向我們這些信的人所獻的能力是何等浩大
[00:02:45.000 --> 00:02:50.000]  這是照他的大能大力運行的
[00:02:50.000 --> 00:02:52.000]  好,接著請姊妹
[00:02:52.000 --> 00:02:56.000]  這大能曾運行在基督身上
[00:02:56.000 --> 00:02:59.000]  使他從死人中復活
[00:02:59.000 --> 00:03:03.000]  又使他在天上坐在自己的右邊
[00:03:03.000 --> 00:03:12.000]  遠超越一切執政的掌權的有權能的統治的和一切有名號的
[00:03:12.000 --> 00:03:19.000]  不單是今世的年來世的也都超越了
[00:03:19.000 --> 00:03:21.000]  好,接著請弟兄
[00:03:21.000 --> 00:03:25.000]  神使萬有服在他的腳下
[00:03:25.000 --> 00:03:29.000]  又使他為了教會作萬有之手
[00:03:29.000 --> 00:03:36.000]  教會使他的身體是那充滿萬有者所充滿的
[00:03:36.000 --> 00:03:46.000]  第十五節和第十六節
[00:03:46.000 --> 00:03:51.000]  因此我既然聽見你們對主耶穌有信心
[00:03:51.000 --> 00:03:54.000]  對眾聖徒有愛心
[00:03:54.000 --> 00:03:57.000]  就不住地為你們感謝神
[00:03:57.000 --> 00:04:00.000]  保羅寫這一封書信
[00:04:00.000 --> 00:04:07.000]  其實是一封我們稱之為「巡迴傳閱」的書信
[00:04:07.000 --> 00:04:10.000]  他不單止寫給以弗所教會
[00:04:10.000 --> 00:04:15.000]  也都寫給小亞細亞省的宗教會
[00:04:15.000 --> 00:04:17.000]  小亞細亞省其實是甚麼地方呢
[00:04:17.000 --> 00:04:19.000]  即是現在的以色列
[00:04:19.000 --> 00:04:23.000]  近西邊那邊
[00:04:23.000 --> 00:04:27.000]  當我這裡是地圖
[00:04:27.000 --> 00:04:32.000]  近東邊的西邊
[00:04:32.000 --> 00:04:39.000]  就是土耳其的地方
[00:04:39.000 --> 00:04:46.000]  以弗所教會是小亞細亞省的首府
[00:04:46.000 --> 00:04:49.000]  而保羅亦都曾經在以弗所的教會裡
[00:04:49.000 --> 00:04:53.000]  服侍了三年的時間
[00:04:53.000 --> 00:04:55.000]  保羅寫這封信的時間
[00:04:55.000 --> 00:05:01.000]  是他第一次在羅馬的監獄裡坐牢
[00:05:01.000 --> 00:05:03.000]  而在這個時間
[00:05:03.000 --> 00:05:06.000]  他亦都已經離開了以弗所教會
[00:05:06.000 --> 00:05:08.000]  有好幾年的時間
[00:05:08.000 --> 00:05:11.000]  大約有五到七年的時間
[00:05:11.000 --> 00:05:13.000]  在這個時候他就聽到
[00:05:13.000 --> 00:05:20.000]  來自小亞細亞教會宗教會傳來的消息
[00:05:20.000 --> 00:05:25.000]  他聽到他們在主耶穌基督裡面的信心
[00:05:25.000 --> 00:05:30.000]  和對眾聖徒的愛心
[00:05:30.000 --> 00:05:34.000]  在主耶穌的信心的意思是甚麼呢
[00:05:34.000 --> 00:05:38.000]  就是表示到宗教會的信徒
[00:05:38.000 --> 00:05:43.000]  在信仰方面仍然繼續信靠耶穌
[00:05:43.000 --> 00:05:44.000]  如果我們知道
[00:05:44.000 --> 00:05:48.000]  其實在當時的世界裡
[00:05:48.000 --> 00:05:54.000]  特別是在小亞細亞的地方
[00:05:54.000 --> 00:05:56.000]  主要都是被羅馬人統治
[00:05:56.000 --> 00:05:58.000]  大部分都是外邦人
[00:05:58.000 --> 00:06:02.000]  他們受著羅馬和希臘思想所影響
[00:06:02.000 --> 00:06:08.000]  他們的宗教義教的敵對勢力都是很強的
[00:06:08.000 --> 00:06:12.000]  因此宗教會面對這些社會
[00:06:12.000 --> 00:06:16.000]  在政治和宗教上的敵對勢力的時間
[00:06:16.000 --> 00:06:20.000]  能夠保持信心其實是不簡單的事情
[00:06:20.000 --> 00:06:25.000]  保羅不單止為了他們的信心去感謝神
[00:06:25.000 --> 00:06:30.000]  他也提到他聽到眾聖徒亦都有愛心
[00:06:30.000 --> 00:06:34.000]  這個愛心不單止是口頭上的愛心
[00:06:34.000 --> 00:06:37.000]  是表示有關懷行動的信心
[00:06:37.000 --> 00:06:42.000]  有愛心的行動其實是信心的表達
[00:06:42.000 --> 00:06:46.000]  因此宗教會的愛心
[00:06:46.000 --> 00:06:53.000]  正正反映出他們有真實的信心
