
[00:00:00.000 --> 00:00:05.600]  我們今天的講題是漢建更多
[00:00:05.600 --> 00:00:11.000]  是講有關傳道書一章一至十一節
[00:00:11.000 --> 00:00:15.000]  在開始之前我帶領大家一起祈禱
[00:00:15.000 --> 00:00:20.400]  神啊!恩著祢的榮耀
[00:00:20.400 --> 00:00:25.000]  我們聚集在祢的殿當中
[00:00:26.000 --> 00:00:30.000]  用我們的心靈和誠實敬拜祢
[00:00:30.000 --> 00:00:34.000]  我們願意每一個的思想
[00:00:34.000 --> 00:00:36.000]  我們的念頭
[00:00:36.000 --> 00:00:39.000]  我們的行動來尊崇祢
[00:00:39.000 --> 00:00:46.000]  所以今天我把改變我的權歸給祢
[00:00:46.000 --> 00:00:50.000]  用我整個的生命去尊崇祢
[00:00:50.000 --> 00:00:52.000]  去榮耀祢
[00:00:52.000 --> 00:00:54.000]  祢是聖潔的
[00:00:54.000 --> 00:00:57.000]  值得我一切的讚美和愛慕
[00:00:57.000 --> 00:00:59.000]  我的生命是屬於祢
[00:00:59.000 --> 00:01:01.000]  奉耶穌的名禱告
[00:01:01.000 --> 00:01:03.000]  阿門
[00:01:03.000 --> 00:01:12.000]  我們一起讀一次今天講道的經文
[00:01:12.000 --> 00:01:17.000]  記載在傳道書一章一至十一節
[00:01:17.000 --> 00:01:21.000]  我們一起慢慢讀出這十一節的經文
[00:01:22.000 --> 00:01:29.000]  在耶路撒冷作王大位的兒子傳道者的言語
[00:01:29.000 --> 00:01:31.000]  傳道者說
[00:01:31.000 --> 00:01:33.000]  去控的去控
[00:01:33.000 --> 00:01:35.000]  去控的去控
[00:01:35.000 --> 00:01:38.000]  凡事都是去控
[00:01:38.000 --> 00:01:40.000]  人一切的牢獄
[00:01:40.000 --> 00:01:44.000]  就是他在日光之下的牢獄
[00:01:44.000 --> 00:01:47.000]  有什麼益處呢?
[00:01:47.000 --> 00:01:50.000]  一代過去
[00:01:50.000 --> 00:01:52.000]  一代又來
[00:01:52.000 --> 00:01:55.000]  地卻永遠長存
[00:01:55.000 --> 00:01:57.000]  日頭出來
[00:01:57.000 --> 00:01:59.000]  日頭落下
[00:01:59.000 --> 00:02:01.000]  急歸所出之地
[00:02:01.000 --> 00:02:03.000]  風往南拐
[00:02:03.000 --> 00:02:05.000]  又向北轉
[00:02:05.000 --> 00:02:07.000]  不住地旋轉
[00:02:07.000 --> 00:02:11.000]  而且返回轉行原道
[00:02:11.000 --> 00:02:14.000]  江河都往海裡流
[00:02:14.000 --> 00:02:16.000]  海卻不滿
[00:02:16.000 --> 00:02:18.000]  江河從何處流
[00:02:18.000 --> 00:02:21.000]  仍歸還何處
[00:02:21.000 --> 00:02:24.000]  萬事令人厭煩
[00:02:24.000 --> 00:02:26.000]  人不能說盡
[00:02:26.000 --> 00:02:28.000]  眼看看不飽
[00:02:28.000 --> 00:02:31.000]  耳聽聽不足
[00:02:31.000 --> 00:02:38.000]  已有的事後必再有
[00:02:38.000 --> 00:02:42.000]  已行的事後必再行
[00:02:42.000 --> 00:02:45.000]  日光之下並無新事
