
[00:00:00.000 --> 00:00:02.300]  第一次來到「副中」港島
[00:00:02.300 --> 00:00:04.300]  我叫Stella 傳道
[00:00:04.300 --> 00:00:06.300]  大家比較少見我
[00:00:06.300 --> 00:00:11.000]  因為我這個時間通常在華語部崇拜那裡港島
[00:00:11.000 --> 00:00:12.500]  我今天第一次來
[00:00:12.500 --> 00:00:14.500]  大家要坦白告訴我
[00:00:14.500 --> 00:00:17.500]  先問你們一個挑戰性的問題
[00:00:17.500 --> 00:00:21.000]  這裡有沒有人是Deadline Fighter來的
[00:00:21.000 --> 00:00:22.000]  有舉手
[00:00:22.000 --> 00:00:25.000]  就是說已經立刻舉手了
[00:00:25.000 --> 00:00:31.000]  有些事情要拖到問一問水才可以滴起心肝去交
[00:00:31.000 --> 00:00:33.000]  也有些是吧
[00:00:33.000 --> 00:00:35.000]  那你有沒有試過
[00:00:35.000 --> 00:00:39.000]  那些什麼水電煤費啊 稅啊 拖來又拖啊
[00:00:39.000 --> 00:00:41.000]  搞到要罰款啊
[00:00:41.000 --> 00:00:44.000]  忘記交 沒交 也試過是吧
[00:00:44.000 --> 00:00:49.000]  所以其實拖延是有代價的
[00:00:49.000 --> 00:00:56.000]  而且很多時候會錯失了一些很寶貴的機會
[00:00:56.000 --> 00:01:00.000]  我說的那些機會當然不是綠合彩的機會
[00:01:00.000 --> 00:01:03.000]  那些機會我們通常會想
[00:01:03.000 --> 00:01:06.000]  可能是升職加薪的機會
[00:01:06.000 --> 00:01:07.000]  是不是啊
[00:01:07.000 --> 00:01:09.000]  結識男女朋友的機會
[00:01:09.000 --> 00:01:12.000]  升學的機會等等
[00:01:12.000 --> 00:01:14.000]  那這些機會都重要
[00:01:14.000 --> 00:01:19.000]  但是有些機會比這些更加重要
[00:01:19.000 --> 00:01:21.000]  是什麼機會呢
[00:01:21.000 --> 00:01:24.000]  就是神給我們的機會
[00:01:24.000 --> 00:01:25.000]  我們有沒有
[00:01:25.000 --> 00:01:28.000]  比如神給我們的機會可以得永生啊
[00:01:28.000 --> 00:01:30.000]  得救啊
[00:01:30.000 --> 00:01:34.000]  神給我們機會去和人和好
[00:01:34.000 --> 00:01:38.000]  神給我們機會去侍奉他
[00:01:38.000 --> 00:01:39.000]  去宣教
[00:01:39.000 --> 00:01:41.000]  去教導他
[00:01:41.000 --> 00:01:43.000]  去侍奉他
[00:01:43.000 --> 00:01:44.000]  去宣教
[00:01:44.000 --> 00:01:46.000]  去傳福音
[00:01:46.000 --> 00:01:48.000]  我們有沒有錯失這些機會
[00:01:48.000 --> 00:01:52.000]  或者拖延而不回應神呢
[00:01:52.000 --> 00:01:54.000]  或許你會覺得
[00:01:54.000 --> 00:01:59.000]  平時我們有些事情拖延拖延也無所謂
[00:01:59.000 --> 00:02:01.000]  但是要留意
[00:02:01.000 --> 00:02:05.000]  如果神給我們指示或警告的話
[00:02:05.000 --> 00:02:07.000]  真的不可以輕視
[00:02:07.000 --> 00:02:09.000]  不可以拖延
