
[00:00:00.000 --> 00:00:02.840]  我準備這個PowerPoint的時候
[00:00:02.840 --> 00:00:04.840]  看到後面的一幅畫
[00:00:04.840 --> 00:00:06.840]  一個扔下的包袱
[00:00:06.840 --> 00:00:14.160]  上兩個星期
[00:00:14.160 --> 00:00:17.240]  從新聞報道得悉
[00:00:17.240 --> 00:00:21.280]  美國密歇根州有一宗滅門的重火案
[00:00:21.280 --> 00:00:25.160]  丈夫槍殺了一家七口後至盡
[00:00:25.160 --> 00:00:29.280]  這個是很悲傷的新聞
[00:00:29.280 --> 00:00:32.120]  男主人生前在美國心臟協會
[00:00:32.120 --> 00:00:35.800]  擔任銷售和市場部的副總裁
[00:00:35.800 --> 00:00:38.800]  剛剛今年七月離職
[00:00:38.800 --> 00:00:41.080]  而女主人是一名教師
[00:00:41.080 --> 00:00:44.360]  在當地的很多間學校任教
[00:00:44.360 --> 00:00:46.360]  按著新聞的資料
[00:00:46.360 --> 00:00:47.960]  悲劇發生之前
[00:00:47.960 --> 00:00:50.840]  夫妻兩人婚姻出現問題
[00:00:50.840 --> 00:00:54.440]  無論在經濟和照顧子女方面
[00:00:54.440 --> 00:00:56.440]  都帶著沉重的壓力
[00:00:56.440 --> 00:00:59.920]  最後發生了這個悲劇
[00:00:59.920 --> 00:01:01.920]  當我看到這段新聞的時候
[00:01:01.920 --> 00:01:03.320]  我不禁問
[00:01:03.320 --> 00:01:09.360]  什麼原因使得這種悲劇發生
[00:01:09.360 --> 00:01:12.680]  今天我們要講到一個非常之真實
[00:01:12.680 --> 00:01:16.080]  也經常被我們忽視的問題
[00:01:16.080 --> 00:01:18.080]  憂慮
[00:01:18.080 --> 00:01:23.360]  在進入經文之前我們同心討論
[00:01:23.360 --> 00:01:26.560]  親愛的天父 多謝你今天召集
[00:01:26.560 --> 00:01:28.800]  一班弟兄姊妹朋友
[00:01:28.800 --> 00:01:31.480]  你的兒女在當中
[00:01:31.480 --> 00:01:34.040]  你知道我們每一個人內心裡面
[00:01:34.040 --> 00:01:37.200]  有各種的重擔 各種的憂慮
[00:01:37.200 --> 00:01:39.360]  求你打開我們的耳朵
[00:01:39.360 --> 00:01:41.240]  軟化我們的心
[00:01:41.240 --> 00:01:44.480]  由我們今天從你的話語登門幫助
