
[00:00:00.000 --> 00:00:03.000]  早晨各位會眾 弟兄姊妹
[00:00:03.000 --> 00:00:05.000]  我們一起有個禱告吧
[00:00:05.000 --> 00:00:08.000]  天父上帝多謝你的愛
[00:00:08.000 --> 00:00:10.000]  招聚我們在你的殿裏面
[00:00:10.000 --> 00:00:13.000]  我們同心的去親近去敬拜你
[00:00:13.000 --> 00:00:15.000]  感謝一班敬拜隊
[00:00:15.000 --> 00:00:17.000]  他們很美好的預備
[00:00:17.000 --> 00:00:19.000]  願我們的禱告
[00:00:19.000 --> 00:00:20.000]  我們的詩歌
[00:00:20.000 --> 00:00:22.000]  我們的信息
[00:00:22.000 --> 00:00:24.000]  都能夠去榮耀你
[00:00:24.000 --> 00:00:27.000]  願你的榮光充滿我們整個的會堂
[00:00:27.000 --> 00:00:29.000]  得著我們眾人的心
[00:00:29.000 --> 00:00:30.000]  多謝你
[00:00:30.000 --> 00:00:32.000]  我們禱告奉主耶穌基督的名求
[00:00:32.000 --> 00:00:33.000]  阿們
[00:00:33.000 --> 00:00:36.000]  今天我們的題目是
[00:00:36.000 --> 00:00:39.000]  耶穌我們偉大的大祭司
[00:00:39.000 --> 00:00:40.000]  以下三節經文
[00:00:40.000 --> 00:00:43.000]  其實大家我相信都耳熟能詳
[00:00:43.000 --> 00:00:48.000]  每一個人都有軟弱
[00:00:48.000 --> 00:00:52.000]  無論身體 智力 情緒和淑齡
[00:00:52.000 --> 00:00:53.000]  各方面都有軟弱
[00:00:53.000 --> 00:00:55.000]  你認不認同
[00:00:56.000 --> 00:00:59.000]  標榜人生第三十五天描述到
[00:00:59.000 --> 00:01:02.000]  著名的宣教士戴德新這樣說
[00:01:02.000 --> 00:01:05.000]  神的偉人都是軟弱的人
[00:01:05.000 --> 00:01:07.000]  摩西的弱點是什麼
[00:01:07.000 --> 00:01:09.000]  脾氣暴躁
[00:01:09.000 --> 00:01:11.000]  在聖路之下殺死埃及人
[00:01:11.000 --> 00:01:16.000]  用像激達他本來應該開口命令的岩石
[00:01:16.000 --> 00:01:19.000]  阿伯羅罕的軟弱是什麼
[00:01:19.000 --> 00:01:21.000]  蛇龜
[00:01:21.000 --> 00:01:23.000]  不止一次為求自保
[00:01:23.000 --> 00:01:28.000]  騙人說他的妻子是自己的妹妹
[00:01:28.000 --> 00:01:32.000]  彼得的個性衝動意志薄弱
[00:01:32.000 --> 00:01:39.000]  約翰急躁火爆被稱為女子
[00:01:39.000 --> 00:01:42.000]  大衛在女色之下更是不堪一擊
[00:01:42.000 --> 00:01:47.000]  丁師妹你的軟弱又是什麼
[00:01:47.000 --> 00:01:49.000]  你會怎樣面對你的軟弱
[00:01:49.000 --> 00:01:54.000]  承認面對否認隱瞞辯護還是找藉口
[00:01:54.000 --> 00:02:00.000]  而在你最軟弱覺得無助的時候
[00:02:00.000 --> 00:02:02.000]  你有沒有慨嘆過
[00:02:02.000 --> 00:02:06.000]  為什麼這個世界沒有人能夠明白幫到自己
[00:02:06.000 --> 00:02:08.000]  有沒有
[00:02:08.000 --> 00:02:12.000]  希伯來書告訴讀者
[00:02:12.000 --> 00:02:17.000]  我們有一位在任何事情任何時刻任何狀況下
[00:02:17.000 --> 00:02:21.000]  都能夠理解我們的處境和感受的大祭司
[00:02:21.000 --> 00:02:24.000]  可以帶領我們到神那裡
[00:02:24.000 --> 00:02:26.000]  就是哪一位
[00:02:26.000 --> 00:02:28.000]  耶穌基督
[00:02:28.000 --> 00:02:34.000]  舊約時代神為以色列設立三種職務
[00:02:34.000 --> 00:02:37.000]  先知、君王、祭司
[00:02:37.000 --> 00:02:40.000]  先知代表神向百姓說話
[00:02:40.000 --> 00:02:43.000]  君王代表神去管治百姓
[00:02:43.000 --> 00:02:48.000]  只有祭司是神設立為神和人之間的中堡
[00:02:48.000 --> 00:02:51.000]  領人到神的面前
[00:02:51.000 --> 00:02:54.000]  祭司在神的面前為人獻祭
[00:02:54.000 --> 00:02:55.000]  代禱贖罪
[00:02:55.000 --> 00:02:59.000]  你世代的祭司都是做這些工作
[00:02:59.000 --> 00:03:03.000]  到了希伯來書成書的時期
[00:03:03.000 --> 00:03:06.000]  當時羅馬政府開始迫迫基督徒
[00:03:06.000 --> 00:03:10.000]  很多猶太信徒開始在信仰上搖動
[00:03:10.000 --> 00:03:14.000]  想重新返回猶太教的懷抱
[00:03:14.000 --> 00:03:19.000]  但作者勸告猶太信徒不要走回頭路
[00:03:19.000 --> 00:03:24.000]  不要因為被迫就輕易放棄跟隨主的心
[00:03:24.000 --> 00:03:30.000]  因為唯獨基督才是神人之間唯一的終極的中堡
[00:03:30.000 --> 00:03:33.000]  除去以外別無拯救
[00:03:33.000 --> 00:03:36.000]  各位弟兄姊妹
[00:03:36.000 --> 00:03:38.000]  拋妄自在今早的訊息
[00:03:38.000 --> 00:03:40.000]  使我們更深認識主耶穌
[00:03:40.000 --> 00:03:42.000]  我們偉大的大祭司
[00:03:42.000 --> 00:03:44.000]  如何勝過其他祭司
[00:03:44.000 --> 00:03:48.000]  如何成為我們信徒
[00:03:48.000 --> 00:03:54.000]  我們在軟弱中的幫助
[00:03:54.000 --> 00:03:56.000]  我們一起讀四章十四節
[00:03:56.000 --> 00:03:57.000]  大家點一下
[00:03:57.000 --> 00:03:59.000]  耶穌是我們偉大的大祭司
[00:03:59.000 --> 00:04:01.000]  我們應當持定所宣認的道
[00:04:01.000 --> 00:04:03.000]  我們一起讀
[00:04:03.000 --> 00:04:09.000]  既然我們有一位偉大進入高天的大祭司
[00:04:09.000 --> 00:04:12.000]  就是耶穌上帝的兒子
[00:04:12.000 --> 00:04:16.000]  我們應當持定所宣認的道
[00:04:16.000 --> 00:04:21.000]  作者用三個詞來論述我們的大祭司
[00:04:21.000 --> 00:04:26.000]  第一,偉大,偉大的大祭司
[00:04:26.000 --> 00:04:28.000]  偉大的意思是超越的
[00:04:28.000 --> 00:04:31.000]  也就是勝過其他一切的祭司
[00:04:31.000 --> 00:04:34.000]  偉大不僅是指耶穌的屬性
[00:04:34.000 --> 00:04:36.000]  而是指祂的工作
[00:04:36.000 --> 00:04:38.000]  因為耶穌能夠
[00:04:38.000 --> 00:04:39.000]  而且已經成就了
[00:04:39.000 --> 00:04:42.000]  舊約大祭司所不能成就的事
[00:04:42.000 --> 00:04:47.000]  舊約大祭司只能年復一年
