
[00:00:00.000 --> 00:00:05.640]  其實今天和明天是教會的第四子堂主日
[00:00:05.640 --> 00:00:09.400]  大家有沒有聽過第四子堂呢?
[00:00:09.400 --> 00:00:12.240]  有沒有聽過?有,有些有
[00:00:12.240 --> 00:00:14.240]  但很多都沒有
[00:00:14.240 --> 00:00:16.040]  今天很感恩
[00:00:16.040 --> 00:00:22.440]  今天可以和大家分享教會接下來的一個直堂計劃
[00:00:22.440 --> 00:00:26.640]  其實這個計劃已經進行了一年
[00:00:26.640 --> 00:00:29.640]  但可能大家未必知道很多
[00:00:29.640 --> 00:00:33.400]  所以今天可以和大家分享多一點
[00:00:33.400 --> 00:00:35.800]  特別是透過聖經的說話
[00:00:35.800 --> 00:00:37.800]  我們彼此提醒和鼓勵
[00:00:37.800 --> 00:00:42.520]  在說到之前,麻煩AV幫我們播一條片
[00:00:42.520 --> 00:00:44.520]  麻煩你
[00:00:44.520 --> 00:00:53.320]  兩姐妹很開心在這裡分享一堂多子
[00:00:53.320 --> 00:00:55.640]  我們這個政策的深化
[00:00:55.640 --> 00:00:57.400]  隨著北部區域的開發
[00:00:57.400 --> 00:01:00.080]  我們估計將會有更多年青的家庭
[00:01:00.080 --> 00:01:01.680]  會去到這個區域居住
[00:01:01.680 --> 00:01:04.080]  同時隨著人口中位數的上漁
[00:01:04.080 --> 00:01:06.800]  很多長輩可能都需要留在自己的社區裡
[00:01:06.800 --> 00:01:08.800]  尋求一個屬靈的群體
[00:01:08.800 --> 00:01:10.800]  今年我們很感恩
[00:01:10.800 --> 00:01:13.760]  由建立牧師、二名牧師和他們的隊工
[00:01:13.760 --> 00:01:15.200]  已經籌組起來
[00:01:15.200 --> 00:01:18.880]  在北區尋找上帝給他們的禍卓和機遇
[00:01:18.880 --> 00:01:20.880]  很期望你都能夠一起參與
[00:01:20.880 --> 00:01:24.120]  特別我們期望在未來的日子
[00:01:24.120 --> 00:01:25.400]  我們幾間的子堂
[00:01:25.400 --> 00:01:27.400]  連同新的子堂和母堂一起
[00:01:27.400 --> 00:01:28.400]  無論在宣教上
[00:01:28.400 --> 00:01:30.400]  無論在我們的神學上
[00:01:30.400 --> 00:01:32.400]  彼此結緣成為更有力的群體
[00:01:32.400 --> 00:01:35.400]  回應上帝在恩福家所攀下的照明
[00:01:35.400 --> 00:01:37.400]  願意你都能夠一起參與
[00:01:37.400 --> 00:01:39.400]  支持第四子的一開始
[00:01:39.400 --> 00:01:46.400]  過去幾年香港社會的氣氛急劇地轉變
[00:01:46.400 --> 00:01:49.400]  移民的浪潮持續出現
[00:01:49.400 --> 00:01:51.400]  經濟發展下行
[00:01:51.400 --> 00:01:54.400]  所以難免我們都會面對異常的挑戰
[00:01:54.400 --> 00:01:57.400]  但是教會和社會很不同的地方
[00:01:57.400 --> 00:01:59.400]  就是信仰的群體
[00:01:59.400 --> 00:02:01.400]  我們相信神的同在
[00:02:01.400 --> 00:02:04.400]  所以社會面對的挑戰越大
[00:02:04.400 --> 00:02:07.400]  教會的使命和責任就更加大
[00:02:07.400 --> 00:02:10.400]  在第四子堂的發展策略上
[00:02:10.400 --> 00:02:14.400]  由最初的啟德新發展區到東涌
[00:02:14.400 --> 00:02:16.400]  最後落實在新界的北區
[00:02:16.400 --> 00:02:19.400]  讓我深深體會神的意念
[00:02:19.400 --> 00:02:20.400]  高過人的意念
[00:02:20.400 --> 00:02:22.400]  回顧五年前第三間子堂
[00:02:22.400 --> 00:02:24.400]  都是在夾縫中成長
[00:02:24.400 --> 00:02:27.400]  但是神的恩典處處
[00:02:27.400 --> 00:02:28.400]  所以我很盼望
[00:02:28.400 --> 00:02:31.400]  我們一起來建立第四間子堂
[00:02:31.400 --> 00:02:35.400]  同心為神的國度來拓展
