
[00:00:00.000 --> 00:00:02.000]  早安 弟兄姊妹
[00:00:02.000 --> 00:00:06.600]  在講道之前 我們一起同心去禱告
[00:00:06.600 --> 00:00:09.200]  慈悲的天父
[00:00:09.200 --> 00:00:13.200]  感謝祢讓我們可以回來教會一起去敬拜祢
[00:00:13.200 --> 00:00:16.000]  求主祢打開我們的心
[00:00:16.000 --> 00:00:18.000]  聆聽神理的話語
[00:00:18.000 --> 00:00:21.400]  被神理的話語觸動提醒
[00:00:21.400 --> 00:00:24.800]  讓我們面對人生不同狀況的時候
[00:00:24.800 --> 00:00:28.200]  仍然能夠敬畏神和倚靠神
[00:00:28.200 --> 00:00:31.200]  奉主耶穌基督之名祈求 阿門
[00:00:31.200 --> 00:00:35.400]  記得有一年的生日
[00:00:35.400 --> 00:00:39.800]  我和老公一起去山頂的蠟像館
[00:00:39.800 --> 00:00:42.000]  現在還有免費的
[00:00:42.000 --> 00:00:44.600]  那天遊客比較多
[00:00:44.600 --> 00:00:47.000]  上去後已經打了蛇餅
[00:00:47.000 --> 00:00:49.800]  我等了一個小時
[00:00:49.800 --> 00:00:52.200]  差不多到達的時候
[00:00:52.200 --> 00:00:55.000]  有兩個人走過來了
[00:00:55.000 --> 00:00:58.000]  我以為他們是問路
[00:00:58.000 --> 00:01:00.200]  你猜他們問我們什麼?
[00:01:00.200 --> 00:01:07.000]  他們問我們可不可以幫我們買票
[00:01:07.000 --> 00:01:10.400]  我心想我和老公對望
[00:01:10.400 --> 00:01:13.200]  我們兩個像和牛黨的人嗎?
[00:01:13.200 --> 00:01:16.400]  我們用手勢示意
[00:01:16.400 --> 00:01:19.400]  買票?我們不買票的
[00:01:19.400 --> 00:01:21.000]  排隊吧
[00:01:21.000 --> 00:01:23.600]  他們馬上變臉
[00:01:23.600 --> 00:01:26.600]  然後很兇的發脾氣
[00:01:26.600 --> 00:01:28.600]  罵我們有沒有搞錯
[00:01:28.600 --> 00:01:30.600]  這樣也不幫人
[00:01:30.600 --> 00:01:32.600]  臨走的時候還挖苦我們
[00:01:32.600 --> 00:01:34.600]  認住你們兩個
[00:01:34.600 --> 00:01:37.200]  想問問如果給你了
[00:01:37.200 --> 00:01:38.600]  你會有什麼反應呢?
[00:01:38.600 --> 00:01:40.600]  我有三個選擇給大家
[00:01:40.600 --> 00:01:42.600]  A. 不說話
[00:01:42.600 --> 00:01:44.600]  B. 罵他
[00:01:44.600 --> 00:01:47.600]  C. 幫他買票
[00:01:47.600 --> 00:01:49.600]  誰選A的請舉手
[00:01:49.600 --> 00:01:51.600]  不說話
[00:01:51.600 --> 00:01:53.600]  全部都不說話
[00:01:53.600 --> 00:01:56.600]  誰選B的罵他
[00:01:56.600 --> 00:01:59.600]  不夠膽
[00:01:59.600 --> 00:02:01.600]  我以為會多些人罵
[00:02:01.600 --> 00:02:03.600]  C. 幫他買票
[00:02:03.600 --> 00:02:06.600]  這班人應該很樂於助人
[00:02:06.600 --> 00:02:10.600]  我和大部分人一樣
[00:02:10.600 --> 00:02:12.600]  我選了A
[00:02:12.600 --> 00:02:14.600]  不說話 色是靈人
[00:02:14.600 --> 00:02:16.600]  但我心裡選B的
[00:02:16.600 --> 00:02:18.600]  想罵他
[00:02:18.600 --> 00:02:20.600]  明明自己做錯
[00:02:20.600 --> 00:02:22.600]  也可以罵人家
[00:02:23.600 --> 00:02:24.600]  在我們生活裡
[00:02:24.600 --> 00:02:26.600]  不多不少都會遭遇過
[00:02:26.600 --> 00:02:28.600]  敵意 行義
[00:02:28.600 --> 00:02:31.600]  或者不友善的對待
[00:02:31.600 --> 00:02:34.600]  簡單到只是不幫他買票
[00:02:34.600 --> 00:02:36.600]  有時候在職場上
[00:02:36.600 --> 00:02:39.600]  有同事對你無理的挑剔
[00:02:39.600 --> 00:02:41.600]  或者朋友之間因為誤解
[00:02:41.600 --> 00:02:43.600]  而不友善
[00:02:43.600 --> 00:02:45.600]  甚至家裡因為矛盾
[00:02:45.600 --> 00:02:47.600]  而反目成仇
[00:02:47.600 --> 00:02:49.600]  可能也有試過
[00:02:49.600 --> 00:02:51.600]  有時候我們會問
[00:02:51.600 --> 00:02:54.600]  到底我做錯了什麼
[00:02:54.600 --> 00:02:56.600]  為什麼要這樣對我
[00:02:56.600 --> 00:03:01.600]  是的 世上沒有真正無緣無故的恨
[00:03:01.600 --> 00:03:04.600]  恨意往往都有根源
[00:03:04.600 --> 00:03:09.600]  背後可能就是隱藏著人性的軟弱
[00:03:09.600 --> 00:03:13.600]  內裡的一些嫉妒 憤怒 或者恐懼
[00:03:13.600 --> 00:03:15.600]  作為基督徒
[00:03:15.600 --> 00:03:18.600]  我們又如何以神的視覺
[00:03:18.600 --> 00:03:25.600]  去回應 或者去面對人生裡的一些仇恨和挑戰呢
[00:03:25.600 --> 00:03:28.600]  在《撒慕爾記》裡面記載了一個人
[00:03:28.600 --> 00:03:31.600]  他面對別人不合理對待
[00:03:31.600 --> 00:03:33.600]  他做了一個選擇
[00:03:33.600 --> 00:03:36.600]  反映出他很敬畏神 和信靠神
[00:03:36.600 --> 00:03:39.600]  而且也很有屬靈的智慧
[00:03:39.600 --> 00:03:41.600]  他是誰呢
[00:03:41.600 --> 00:03:43.600]  就是大衛了
[00:03:43.600 --> 00:03:45.600]  今天我跟大家宣講的經文
[00:03:45.600 --> 00:03:49.600]  是《撒慕爾記》上的二十四章
[00:03:49.600 --> 00:03:51.600]  在《撒慕爾記》裡面
[00:03:51.600 --> 00:03:53.600]  有一個人很憎恨大衛
[00:03:53.600 --> 00:03:55.600]  那個人是誰呢
[00:03:55.600 --> 00:03:57.600]  大家都知道了
[00:03:57.600 --> 00:04:00.600]  究竟 蘇羅為什麼這麼憎恨大衛呢
[00:04:00.600 --> 00:04:03.600]  絕對不是無緣無故的恨
