
[00:00:00.000 --> 00:00:02.920]  我對你們來說是比較陌生
[00:00:02.920 --> 00:00:04.320]  我叫Terry
[00:00:04.320 --> 00:00:06.520]  在教會這裡這麼多年
[00:00:06.520 --> 00:00:10.080]  我主要是在主日的午堂崇拜
[00:00:10.080 --> 00:00:12.720]  和星期六的早堂崇拜服事
[00:00:12.720 --> 00:00:16.840]  很高興現在調過來星期六晚堂崇拜
[00:00:16.840 --> 00:00:18.840]  可以跟大家一起去服事實
[00:00:18.840 --> 00:00:23.440]  有一天有一個人在一個沒有街燈
[00:00:23.440 --> 00:00:26.480]  黑漆漆的路上行走
[00:00:26.480 --> 00:00:30.560]  他一直走在那裡含含沉沉的懷怨自己
[00:00:30.560 --> 00:00:35.200]  為什麼出門口的時候沒有帶照明的工具
[00:00:35.200 --> 00:00:39.000]  走著走著忽然間他看到前面有些燈光
[00:00:39.000 --> 00:00:42.160]  於是他就加快腳步走過去
[00:00:42.160 --> 00:00:44.200]  當他走近燈光的時候
[00:00:44.200 --> 00:00:49.440]  他才發現原來拿著燈的是一個雙目失明的人
[00:00:49.440 --> 00:00:50.920]  那個人覺得很奇怪
[00:00:50.920 --> 00:00:53.480]  他就去問那個雙目失明的人
[00:00:53.480 --> 00:00:55.240]  他說:兄台你不要介意
[00:00:55.240 --> 00:00:57.360]  有一件事想請教你
[00:00:57.360 --> 00:00:58.920]  你看不到東西的
[00:00:58.920 --> 00:01:01.800]  為什麼你會點著燈走路
[00:01:01.800 --> 00:01:04.840]  你不怕浪費了燈油嗎?
[00:01:04.840 --> 00:01:06.800]  那個雙目失明的朋友就回答
[00:01:06.800 --> 00:01:09.120]  他說天很黑
[00:01:09.120 --> 00:01:12.360]  因為天太黑別人是看不到他
[00:01:12.360 --> 00:01:15.200]  他很怕他被人撞到
[00:01:15.200 --> 00:01:18.320]  如果他拿著燈走
[00:01:18.320 --> 00:01:21.960]  那個燈光雖然不能夠幫他看到東西
[00:01:21.960 --> 00:01:24.400]  但可以讓別人看到他
[00:01:24.400 --> 00:01:27.600]  這樣他就不會被人撞倒了
[00:01:27.600 --> 00:01:29.680]  這個雙目失明的朋友很聰明
[00:01:29.680 --> 00:01:32.800]  他用燈光去照亮了別人
[00:01:32.800 --> 00:01:35.240]  為別人帶來了方便的同時
[00:01:35.240 --> 00:01:37.400]  他也保護了自己
[00:01:37.400 --> 00:01:40.960]  不知道各位有沒有幫助別人的同時
[00:01:40.960 --> 00:01:43.800]  也幫助了自己的經歷呢?
[00:01:43.800 --> 00:01:46.520]  我們一起同心同告
[00:01:48.920 --> 00:01:52.120]  天父我們祈求父上帶領我們每一個人
[00:01:52.120 --> 00:01:53.600]  安靜來到祢的面前
[00:01:53.600 --> 00:01:56.560]  去聆聽祢的話語
[00:01:56.560 --> 00:02:00.640]  父上我求祢親自對講的聽的說話
[00:02:00.640 --> 00:02:02.440]  也預備我們每一個人的心
[00:02:02.440 --> 00:02:04.200]  聽得清楚明白
