
[00:00:00.000 --> 00:00:05.440]  今天跟大家分享經文來自二佛所書
[00:00:05.440 --> 00:00:08.640]  經文只是短短的三節
[00:00:08.640 --> 00:00:10.640]  我想讀出來給大家聽
[00:00:10.640 --> 00:00:15.440]  在二佛所書三章第十節
[00:00:15.440 --> 00:00:17.040]  我們一起讀好不好?一起來讀
[00:00:17.040 --> 00:00:18.040]  1、2、3
[00:00:18.040 --> 00:00:25.200]  「為要在現今席著教會使天上執政的掌權的
[00:00:25.200 --> 00:00:28.080]  知道神百般的智慧
[00:00:28.080 --> 00:00:36.240]  這是照著神在我們主基督耶穌裡所完成的永恆的計劃
[00:00:36.240 --> 00:00:42.320]  我們因信耶穌,就在祂裡面放膽無懼
[00:00:42.320 --> 00:00:46.160]  滿有自信地進到神面前
[00:00:46.160 --> 00:00:53.840]  所以我求你們,不要因我為你們所受的患難喪膽
[00:00:53.840 --> 00:00:57.200]  這原是你們的榮榮」
[00:00:58.160 --> 00:01:01.840]  剛剛在復活節我們結束了《馬克福音》
[00:01:01.840 --> 00:01:04.320]  一個破繭的蛻變的系列
[00:01:04.320 --> 00:01:06.800]  所以來到最後一講
[00:01:06.800 --> 00:01:09.280]  那時候在復活節就說
[00:01:09.280 --> 00:01:13.280]  當時的婦女害怕回應
[00:01:13.280 --> 00:01:15.760]  宣講耶穌基督的信息
[00:01:15.760 --> 00:01:17.600]  去挑戰我們
[00:01:17.600 --> 00:01:19.600]  我們有沒有害怕講這個信息呢?
[00:01:19.600 --> 00:01:23.040]  剛才在詩歌的帶領的時候我們聽得到
[00:01:23.040 --> 00:01:29.120]  耶穌基督的復活不是在遠遠的將來我們等候的一件事
[00:01:29.120 --> 00:01:30.720]  主今天仍然活著
[00:01:30.720 --> 00:01:33.200]  但祂今天的活著是如何顯現呢?
[00:01:33.200 --> 00:01:35.360]  今年四月是新的事公年度
[00:01:35.360 --> 00:01:38.640]  我們開始了一個新的主題叫做「因典同行」
[00:01:38.640 --> 00:01:41.520]  因為在《二法所書》一至三章是講因典
[00:01:41.520 --> 00:01:44.960]  四至六章是講同行
[00:01:44.960 --> 00:01:47.520]  我們講到這個題目的時候
[00:01:47.520 --> 00:01:50.640]  因為我們去思想過去的這麼多年
[00:01:50.640 --> 00:01:53.680]  在幾個講題裡面
[00:01:53.680 --> 00:01:56.160]  包括在《以西傑書》
[00:01:56.160 --> 00:02:03.440]  我們在講當日即使沒有一個屬靈的系統
[00:02:03.440 --> 00:02:05.280]  但仍然有屬靈的群體
[00:02:05.280 --> 00:02:07.040]  在《馬福音》我們看到
[00:02:07.040 --> 00:02:09.040]  主耶穌用祂的說話
[00:02:09.040 --> 00:02:11.680]  將一個屬靈的群體再次建立
[00:02:11.680 --> 00:02:13.200]  今天我們在《二法所書》就看到
[00:02:13.200 --> 00:02:17.040]  這個屬靈的群體會如何與人世間同行
[00:02:17.040 --> 00:02:19.840]  人世間不斷經歷著時代的轉折
[00:02:19.840 --> 00:02:21.600]  其中一個轉折就是二十年前
[00:02:21.600 --> 00:02:23.120]  我們搬進了「因福中心」
[00:02:23.120 --> 00:02:24.640]  這是我們「因福經歷」的轉折
[00:02:24.640 --> 00:02:26.880]  記不記得我們是在幾個月搬進來的?
[00:02:26.880 --> 00:02:28.640]  是在四月搬進來的
[00:02:28.640 --> 00:02:31.520]  我們在五月開始第一堂崇拜
[00:02:31.520 --> 00:02:33.360]  這就是我們二十年前的經歷
[00:02:33.360 --> 00:02:34.960]  是我們一代「因福人」的經歷
[00:02:34.960 --> 00:02:37.440]  經歷了神無盡的恩典和豐富
[00:02:37.440 --> 00:02:40.880]  很多的眼淚、歡笑、艱難
[00:02:40.880 --> 00:02:43.600]  但也有很多的喜悅在這裡
[00:02:43.600 --> 00:02:44.960]  這是我們二十年來的經歷
[00:02:44.960 --> 00:02:48.320]  不過二十年之前還有另外十七年的「因福」經歷
[00:02:48.320 --> 00:02:51.120]  有時與那十七年的信徒聊天時
[00:02:51.120 --> 00:02:53.440]  他們又懷念另一件事
[00:02:53.440 --> 00:02:55.520]  他們懷念方方年代
[00:02:55.520 --> 00:02:57.040]  有多少個是方方年代?
[00:02:57.040 --> 00:02:58.400]  我看到有一個,兩個
[00:02:58.400 --> 00:02:59.680]  也不少
[00:02:59.680 --> 00:03:02.320]  也不少方方年代
[00:03:02.320 --> 00:03:04.400]  很多懷念秋創年代
[00:03:04.400 --> 00:03:06.160]  首先有數目仙居
[00:03:06.160 --> 00:03:10.480]  秋創大家也有一點
[00:03:10.480 --> 00:03:12.720]  很多都是「因福」年代
[00:03:12.720 --> 00:03:14.080]  有多少個羅氏?
[00:03:14.080 --> 00:03:14.800]  不如多說一點
[00:03:14.800 --> 00:03:15.520]  應該多一點
