
[00:00:00.000 --> 00:00:05.000]  感謝施班達令我們以敬拜開始今天的崇拜
[00:00:05.000 --> 00:00:09.500]  四首詩歌代表了我們基督徒人生的旅程
[00:00:09.500 --> 00:00:12.500]  有人說過我們其實就是歸家之路
[00:00:12.500 --> 00:00:14.000]  我們都是浪子
[00:00:14.000 --> 00:00:16.000]  所以第一首詩歌帶給我們
[00:00:16.000 --> 00:00:17.500]  原來我們要回家
[00:00:17.500 --> 00:00:19.500]  第二首詩歌提醒我們
[00:00:19.500 --> 00:00:21.500]  在主裡面我們要甦醒
[00:00:21.500 --> 00:00:23.000]  當我們甦醒之後
[00:00:23.000 --> 00:00:27.000]  我們可以經歷耶穌基督深深的愛那份恩情
[00:00:27.000 --> 00:00:29.500]  然後到最後我們好像耶穌一樣
[00:00:29.500 --> 00:00:32.500]  我們能夠信服父神的旨意
[00:00:32.500 --> 00:00:35.000]  四首詩歌帶給我們今天的講道題目
[00:00:35.000 --> 00:00:37.000]  為父的心意
[00:00:37.000 --> 00:00:39.000]  相信不單止是做父親
[00:00:39.000 --> 00:00:41.500]  也當中我們有母親
[00:00:41.500 --> 00:00:44.500]  我們會繼續中堂崇拜創世紀講道系列
[00:00:44.500 --> 00:00:48.500]  今天我們會進到創世紀的37和38章
[00:00:48.500 --> 00:00:49.500]  還記得前一個禮拜
[00:00:49.500 --> 00:00:51.500]  小香傳道為我們分享亞國
[00:00:51.500 --> 00:00:54.000]  在伯地利獻上一個家庭的祭壇
[00:00:54.000 --> 00:00:57.500]  一同的離棄偶像生命更生
[00:00:57.500 --> 00:00:59.500]  但亞國一家隨後所經歷的
[00:00:59.500 --> 00:01:01.500]  沒有像童話故事那樣
[00:01:01.500 --> 00:01:03.500]  從此幸福快樂
[00:01:03.500 --> 00:01:04.500]  一生美滿
[00:01:04.500 --> 00:01:06.500]  家人彼此相愛直到永遠
[00:01:06.500 --> 00:01:11.500]  就好像亞國在伯地利為神立儲為寄
[00:01:11.500 --> 00:01:13.500]  感恩獻祭之後
[00:01:13.500 --> 00:01:18.500]  其實亞國的妻子拉潔再次生子
[00:01:18.500 --> 00:01:19.500]  繼約瑟之後
[00:01:19.500 --> 00:01:22.500]  再次為亞國帶來變眼紋
[00:01:22.500 --> 00:01:23.500]  很開心的時候
[00:01:23.500 --> 00:01:25.500]  很可惜就是當亞國迎來
[00:01:25.500 --> 00:01:27.500]  他第十二個兒子的時候
[00:01:27.500 --> 00:01:30.500]  卻是他愛妻拉潔離世之日
[00:01:30.500 --> 00:01:31.500]  一個生命的來臨
[00:01:31.500 --> 00:01:33.500]  卻是一個生命的離開
[00:01:33.500 --> 00:01:35.500]  創世紀35章的結束
[00:01:35.500 --> 00:01:38.500]  是記載亞國另外一個的至親離世
[00:01:38.500 --> 00:01:40.500]  就是他的父親爾薩
[00:01:40.500 --> 00:01:43.500]  安享天年180歲了
[00:01:43.500 --> 00:01:45.500]  息奴歸主
[00:01:45.500 --> 00:01:48.500]  而亞國最後也能夠和他已經復和的兄弟
[00:01:48.500 --> 00:01:51.500]  爾素一同安葬老父
[00:01:51.500 --> 00:01:53.500]  隨後在創世紀36章
[00:01:53.500 --> 00:01:55.500]  描述到爾素和他的後代
