
[00:00:00.000 --> 00:00:06.280]  很難得又再次能夠在崇拜跟大家分享神的話
[00:00:06.280 --> 00:00:09.200]  記得上次在祖堂崇拜講到如無意外
[00:00:09.200 --> 00:00:13.280]  應該我還是跟大家繼續講路德記
[00:00:13.280 --> 00:00:16.280]  幾個月一次,幾個月一次
[00:00:16.280 --> 00:00:18.560]  終於都講完四章聖經的訊息了
[00:00:18.560 --> 00:00:22.520]  當時我很盼望透過一個充滿人情味
[00:00:22.520 --> 00:00:28.120]  苦盡甘來,扭轉歷史的一個大時代小故事
[00:00:28.120 --> 00:00:33.560]  陪伴大家共度疫情的艱難,從中彼此鼓勵
[00:00:33.560 --> 00:00:36.920]  一轉眼,疫情就復常了
[00:00:36.920 --> 00:00:39.360]  雖然現在還好,很多人在感染
[00:00:39.360 --> 00:00:44.240]  人生的際遇,經歷很多的變遷
[00:00:44.240 --> 00:00:46.240]  不如我們所料
[00:00:46.240 --> 00:00:50.520]  但我們更加要彼此鼓勵、提醒
[00:00:50.520 --> 00:00:53.520]  愛惜光陰,愛惜每一個機會
[00:00:53.520 --> 00:00:55.920]  珍惜它,為主作供
[00:00:55.920 --> 00:00:58.440]  講道珍惜機會,為主作供
[00:00:58.440 --> 00:01:00.960]  我有一次跟頂梓妹去查考
[00:01:00.960 --> 00:01:02.680]  今天講道的經文
[00:01:02.680 --> 00:01:05.680]  馬太福音28章16到20節
[00:01:05.680 --> 00:01:08.720]  問大家,老實說
[00:01:08.720 --> 00:01:14.720]  講道大使命,大家在做什麼去履行大使命呢?
[00:01:14.720 --> 00:01:18.720]  大家怎麼回答呢?不如大家回答一下
[00:01:18.720 --> 00:01:24.480]  當時大部分人都回答
[00:01:24.480 --> 00:01:28.480]  出三福隊、傳福音、大人信主
[00:01:28.480 --> 00:01:31.480]  有人都會多說一點
[00:01:31.480 --> 00:01:33.480]  其實羅牧師,栽培也包的
[00:01:33.480 --> 00:01:36.480]  我記得你做過栽培士工
[00:01:36.480 --> 00:01:42.480]  但是對於外展社會關懷
[00:01:42.480 --> 00:01:48.480]  宣教、差傳連一個也沒有提及
