
[00:00:00.000 --> 00:00:02.600]  明天已經踏入十二月
[00:00:02.600 --> 00:00:04.040]  時光飛逝
[00:00:04.040 --> 00:00:06.240]  新的一年很快就到
[00:00:06.240 --> 00:00:09.040]  而今天同樣是
[00:00:09.040 --> 00:00:11.240]  張臨期的第一個主日
[00:00:11.240 --> 00:00:14.240]  這個節期提醒我們
[00:00:14.240 --> 00:00:16.960]  我們要回顧主耶穌降臨
[00:00:16.960 --> 00:00:18.960]  這個莫大的恩典
[00:00:18.960 --> 00:00:21.640]  是一個充滿盼望的日子
[00:00:21.640 --> 00:00:24.240]  只不過
[00:00:24.240 --> 00:00:27.080]  這個星期我們面臨
[00:00:27.080 --> 00:00:29.640]  突如其來的災難
[00:00:30.280 --> 00:00:32.280]  令我們措手不及
[00:00:32.280 --> 00:00:34.280]  很難去消化
[00:00:34.280 --> 00:00:38.480]  我們心裏有很多困惑和迷失
[00:00:38.480 --> 00:00:41.480]  充滿著哀傷、不安
[00:00:41.480 --> 00:00:45.880]  很多情緒
[00:00:45.880 --> 00:00:48.680]  不過就在這個時間
[00:00:48.680 --> 00:00:50.280]  這個艱難的時候
[00:00:50.280 --> 00:00:51.880]  我們更需要
[00:00:51.880 --> 00:00:53.480]  我們去信仰裏面
[00:00:53.480 --> 00:00:54.880]  去找我們的力量
[00:00:54.880 --> 00:00:56.880]  我們的方向和盼望
[00:00:59.080 --> 00:01:00.480]  一年將至
[00:01:00.480 --> 00:01:03.960]  是時候去檢討一下
[00:01:03.960 --> 00:01:05.680]  我們的屬靈生命了
[00:01:05.680 --> 00:01:07.480]  回顧今年
[00:01:07.480 --> 00:01:10.280]  究竟你是原地踏步
[00:01:10.280 --> 00:01:12.080]  還是更進一步呢?
[00:01:12.080 --> 00:01:15.880]  這一刻值得你去回顧的
[00:01:15.880 --> 00:01:19.480]  是那些令你寸步難行的障礙
[00:01:19.480 --> 00:01:21.480]  還是推動你
[00:01:21.480 --> 00:01:23.680]  勇往直前的關鍵呢?
[00:01:23.680 --> 00:01:26.080]  昔日
[00:01:27.080 --> 00:01:29.080]  摩西照著神的吩咐
[00:01:29.080 --> 00:01:31.280]  帶領以色列人離開埃及
[00:01:31.280 --> 00:01:34.280]  走向神所賜的英雄地
[00:01:34.280 --> 00:01:37.880]  但是過了三十八年
[00:01:37.880 --> 00:01:41.080]  他們依然站在英雄地的門口
[00:01:41.080 --> 00:01:43.280]  未能進去
[00:01:43.280 --> 00:01:45.280]  這一刻
[00:01:45.280 --> 00:01:50.280]  上帝卻要摩西帶領新一代的以色列人
[00:01:50.280 --> 00:01:53.280]  再次去回顧抗夜的歷史
[00:01:53.280 --> 00:01:56.280]  回顧過去
[00:01:56.680 --> 00:01:57.680]  對他們來說
[00:01:57.680 --> 00:01:59.280]  究竟有什麼意義呢?
[00:01:59.280 --> 00:02:02.680]  究竟他們是從零開始
[00:02:02.680 --> 00:02:05.080]  還是從零出發呢?
[00:02:05.080 --> 00:02:08.480]  今天的早上
[00:02:08.480 --> 00:02:11.280]  讓我們透過《生命記》的第二章
[00:02:11.280 --> 00:02:13.480]  一至二十五節的經文
[00:02:13.480 --> 00:02:16.480]  從回顧到展望兩個部分
[00:02:16.480 --> 00:02:18.280]  去看清楚一點
[00:02:18.280 --> 00:02:20.880]  從零開始的真相
[00:02:20.880 --> 00:02:24.480]  學習從零開始出發的關鍵
[00:02:24.680 --> 00:02:26.880]  幫助我們以新的眼光
[00:02:26.880 --> 00:02:29.080]  迎向2026年
[00:02:29.080 --> 00:02:31.280]  踏入北區的伏兹
[00:02:31.280 --> 00:02:33.680]  這一刻
[00:02:33.680 --> 00:02:36.080]  邀請大家一同去讀
[00:02:36.080 --> 00:02:39.480]  《生命記》的第二章一至二十五節
[00:02:39.480 --> 00:02:44.680]  我會先讀作者敘述的經文
[00:02:44.680 --> 00:02:49.280]  邀請姐妹去讀
[00:02:49.280 --> 00:02:50.680]  耶和華的《吩咐》
[00:02:51.080 --> 00:02:55.280]  弟兄負責讀歷史註解的經文
[00:02:55.280 --> 00:02:59.680]  大家可以留意PowerPoint的指示
[00:02:59.680 --> 00:03:04.280]  《生命記》的二章一節
