
[00:00:00.000 --> 00:00:04.760]  就是一個題目叫「接受淘汰先會知道什麼叫傳承」
[00:00:04.760 --> 00:00:06.680]  就看約書亞記的二十四章
[00:00:06.680 --> 00:00:09.840]  就是約書亞基本上臨死前說了一段說話
[00:00:09.840 --> 00:00:10.720]  做了一些事情
[00:00:10.720 --> 00:00:13.320]  表達了他對後人的傳承
[00:00:13.320 --> 00:00:16.160]  其實約書亞做的事情和耶穌是有點類似的
[00:00:16.160 --> 00:00:19.560]  所以我們也說回約翰福音的十二章二十四節
[00:00:19.560 --> 00:00:22.680]  說一下耶穌的傳承和約書亞的傳承
[00:00:22.680 --> 00:00:24.240]  有什麼類似之處
[00:00:24.240 --> 00:00:26.360]  好,我們一聽低頭禱告
[00:00:26.360 --> 00:00:28.200]  「慈悲人,我父神求主你保守」
[00:00:28.200 --> 00:00:31.480]  讓我們當中一同學習怎樣真是去傳承
[00:00:31.480 --> 00:00:33.280]  也都怎樣去承接傳承
[00:00:33.280 --> 00:00:36.200]  相信無論是處於什麼境況
[00:00:36.200 --> 00:00:39.240]  我們的生命去到什麼的時候
[00:00:39.240 --> 00:00:41.280]  傳承對我們每個人都有關的
[00:00:41.280 --> 00:00:44.480]  求主幫助,以上祈禱交上,奉耶穌幾多名字以求
[00:00:44.480 --> 00:00:45.560]  阿們
[00:00:45.560 --> 00:00:46.840]  在一個新日本的聖經
[00:00:46.840 --> 00:00:48.400]  約書亞記的二十四章
[00:00:48.400 --> 00:00:50.800]  在事件就重述神的恩惠
[00:00:50.800 --> 00:00:52.720]  經文就這麼說,第一節
[00:00:52.720 --> 00:00:56.320]  「約書亞在事件召集以色列各派,各支派
[00:00:56.320 --> 00:01:00.560]  由把以色列的長老、首領、審判官和官長都召了來
[00:01:00.560 --> 00:01:02.680]  他們就站在神面前」
[00:01:02.680 --> 00:01:05.400]  很特別的,因為事件是他們
[00:01:05.400 --> 00:01:08.840]  攻打迦南地之後一個很重要的地方
[00:01:08.840 --> 00:01:10.680]  亦都是他們先祖裏面
[00:01:10.680 --> 00:01:12.840]  神應許他們進入迦南地
[00:01:12.840 --> 00:01:15.920]  但事件真真正正是一個屬於他們
[00:01:15.920 --> 00:01:19.520]  進入迦南地第一個地方,很值得紀念
[00:01:19.520 --> 00:01:22.800]  所以事件是一個代表了神的恩典
[00:01:22.800 --> 00:01:25.480]  臨到迦南地,讓他們進來
[00:01:25.480 --> 00:01:29.000]  如果沒有事件提醒我們
[00:01:29.000 --> 00:01:31.320]  神的恩典就未必在這裏
[00:01:31.320 --> 00:01:32.800]  所以其實它是特別的
[00:01:32.800 --> 00:01:35.280]  它這裏召集了很多首領
[00:01:35.280 --> 00:01:37.480]  它不是傳承給一個人
[00:01:37.480 --> 00:01:39.840]  它是傳承給以色列的很多領袖
[00:01:39.840 --> 00:01:42.520]  長老、首領、審判官、官長
[00:01:42.520 --> 00:01:44.040]  即是平時打仗
[00:01:44.040 --> 00:01:48.000]  平時管理以色列民族的各方領袖來到當中
[00:01:48.000 --> 00:01:49.960]  它不是來到約書亞的面前
[00:01:49.960 --> 00:01:50.920]  它去到哪個面前?
[00:01:50.920 --> 00:01:52.760]  去到神的面前
[00:01:52.760 --> 00:01:56.560]  所以約書亞說的話,他不是代表自己說的
[00:01:56.560 --> 00:02:02.040]  他每一句其實都是代表神跟會眾的領袖說的
[00:02:02.040 --> 00:02:02.640]  他就這樣說
[00:02:02.640 --> 00:02:03.120]  第二節
[00:02:03.120 --> 00:02:04.440]  約書亞對眾民說
[00:02:04.440 --> 00:02:06.640]  耶和華以色列之神這樣說
[00:02:06.640 --> 00:02:11.480]  古時你們的列祖就是阿伯拉罕和拿學的父親塔拉
[00:02:11.480 --> 00:02:12.920]  住在大河那邊
[00:02:12.920 --> 00:02:14.600]  他們是奉別的神
[00:02:14.600 --> 00:02:17.160]  他在說阿伯拉罕的先祖
[00:02:17.160 --> 00:02:19.320]  其實他未認識真正的神
[00:02:19.320 --> 00:02:21.240]  他在河的另一邊
[00:02:21.240 --> 00:02:22.560]  即是約旦河的另一邊
[00:02:22.560 --> 00:02:23.800]  未過到迦南地的時候
[00:02:23.800 --> 00:02:25.400]  其實他在拜偶像
[00:02:25.400 --> 00:02:31.440]  我把你們的祖先阿伯拉罕從大河那邊帶到來
[00:02:31.440 --> 00:02:33.120]  領他走遍迦南地
[00:02:33.120 --> 00:02:34.600]  使他的後裔增多
[00:02:34.600 --> 00:02:36.520]  把耳朵刺吸他
[00:02:36.520 --> 00:02:38.360]  這裡是說「我」
[00:02:38.360 --> 00:02:40.280]  約書亞很巧妙地
[00:02:40.280 --> 00:02:41.040]  他不是說
[00:02:41.040 --> 00:02:44.000]  我現在告訴你神是怎樣對你
[00:02:44.000 --> 00:02:45.960]  他是直接代表神
[00:02:45.960 --> 00:02:47.200]  他就是說「我」
[00:02:47.200 --> 00:02:48.720]  「我」那個不是指約書亞
[00:02:48.720 --> 00:02:49.640]  是指神
[00:02:49.640 --> 00:02:52.960]  即是說神直接和這群人是有關係的
[00:02:52.960 --> 00:02:55.040]  是直接提醒這群人
[00:02:55.040 --> 00:02:56.520]  你的祖先是怎樣的
[00:02:56.520 --> 00:02:58.280]  你祖先如果不是有神
[00:02:58.280 --> 00:02:59.200]  即不是有「我」
[00:02:59.200 --> 00:03:00.520]  即不是有「我」這位神
[00:03:00.520 --> 00:03:02.800]  去帶領你的阿伯拉罕過這裡
[00:03:02.800 --> 00:03:05.200]  你根本就不會有後代
[00:03:05.200 --> 00:03:06.120]  不會有耳朵
[00:03:06.120 --> 00:03:08.360]  也不會知道真正的神是怎樣
[00:03:08.360 --> 00:03:09.640]  你還在拜偶像
[00:03:09.640 --> 00:03:10.440]  第四節
[00:03:10.440 --> 00:03:12.720]  有把雅各和耳掃刺吸耳朵
[00:03:12.720 --> 00:03:15.000]  把西耳山刺吸耳朵作產業
[00:03:15.000 --> 00:03:15.840]  耶
[00:03:15.840 --> 00:03:18.440]  雅各和他的子孫卻下到埃及去
[00:03:18.440 --> 00:03:19.880]  他經歷了一些波折
[00:03:19.880 --> 00:03:21.520]  最後就分散了
[00:03:21.520 --> 00:03:22.800]  好像回不來一樣
[00:03:22.800 --> 00:03:25.560]  所以就發現耳掃去了西耳山
[00:03:25.560 --> 00:03:28.040]  雅各的子孫就去到埃及
