
[00:00:00.000 --> 00:00:04.000]  我們很感謝勁爆樂隊的服務
[00:00:04.000 --> 00:00:05.000]  我們給點掌聲
[00:00:05.000 --> 00:00:07.000]  我們所有在今天裡面
[00:00:07.000 --> 00:00:10.000]  一早安排了給我們能夠服務的弟兄姊妹
[00:00:10.000 --> 00:00:12.000]  首先多謝Video Room的服務弟兄
[00:00:12.000 --> 00:00:15.000]  剛才進來之前給了我幾束白蘭花
[00:00:15.000 --> 00:00:16.000]  真的很開心
[00:00:16.000 --> 00:00:18.000]  剛才那一隊原來是
[00:00:18.000 --> 00:00:21.000]  全部都是我們的worship team的leaders
[00:00:21.000 --> 00:00:25.000]  他們組成了今天特別為第四子獻唱
[00:00:25.000 --> 00:00:26.000]  真的很感恩
[00:00:26.000 --> 00:00:27.000]  多謝他們的付出
[00:00:27.000 --> 00:00:32.000]  也是樂星心情的禱告
[00:00:32.000 --> 00:00:33.000]  凝聚
[00:00:33.000 --> 00:00:35.000]  但是令我們覺得很珍貴
[00:00:35.000 --> 00:00:37.000]  今天我們的經文是說
[00:00:37.000 --> 00:00:40.000]  由負資產變成負資產
[00:00:40.000 --> 00:00:41.000]  所以大家留心聽
[00:00:41.000 --> 00:00:43.000]  但這只不過是一個引子
[00:00:43.000 --> 00:00:45.000]  介紹我們今天第四子堂
[00:00:45.000 --> 00:00:49.000]  一個超越堂子的子堂的引子
[00:00:49.000 --> 00:00:52.000]  所以開箱之前我們有一條短片
[00:00:52.000 --> 00:00:54.000]  給大家去欣賞
[00:00:54.000 --> 00:01:02.000]  (開箱中)
[00:01:02.000 --> 00:01:03.000]  弟兄姊妹很開心在這裡
[00:01:03.000 --> 00:01:07.000]  分享一堂多子的政策心法
[00:01:07.000 --> 00:01:09.000]  隨著北部區域的開發
[00:01:09.000 --> 00:01:11.000]  我們估計將會有更多年青的家庭
[00:01:11.000 --> 00:01:13.000]  會去到那個區域居住
[00:01:13.000 --> 00:01:15.000]  同時隨著人口中位數的上移
[00:01:15.000 --> 00:01:18.000]  很多長輩可能都需要留在自己的社區裡
[00:01:18.000 --> 00:01:20.000]  尋求一個屬靈的群體
[00:01:20.000 --> 00:01:22.000]  在今年我們很感恩
[00:01:22.000 --> 00:01:24.000]  由建立牧師、二名牧師
[00:01:24.000 --> 00:01:26.000]  和他們的隊工已經籌組起來
[00:01:26.000 --> 00:01:30.000]  在北區尋找上帝給他們的禍祥和機遇
