
[00:00:00.000 --> 00:00:01.520]  剛才土鼓也說了
[00:00:01.520 --> 00:00:06.000]  今天會是五堂小道行傳講道的最後一講
[00:00:06.000 --> 00:00:09.520]  我們一起看小道行傳最後一個段落
[00:00:09.520 --> 00:00:11.520]  正式進入經文之前
[00:00:11.520 --> 00:00:13.520]  很想問大家一個問題
[00:00:13.520 --> 00:00:16.520]  我相信大家會阻不少的年月
[00:00:16.520 --> 00:00:18.020]  在你人生裏面
[00:00:18.020 --> 00:00:22.020]  你覺不覺得人生有很多事都是始料不及的
[00:00:22.020 --> 00:00:24.020]  如果你覺得有很多事都是始料不及
[00:00:24.020 --> 00:00:25.520]  我請你舉舉手好不好
[00:00:25.520 --> 00:00:27.520]  在座很多都是
[00:00:27.520 --> 00:00:31.520]  我們見到那個powerpoint嗎
[00:00:31.520 --> 00:00:33.520]  可不可以show出那個powerpoint
[00:00:33.520 --> 00:00:40.520]  大家見到圖裏面有一個沙漠
[00:00:40.520 --> 00:00:43.520]  沙漠裏面見到什麼
[00:00:43.520 --> 00:00:44.520]  見到水
[00:00:44.520 --> 00:00:48.520]  人生有時當你以為很多困難很多險阻
[00:00:48.520 --> 00:00:51.520]  可能柳暗花明又一村
[00:00:51.520 --> 00:00:54.520]  又想考大家一個文學的問題
[00:00:54.520 --> 00:00:58.520]  始料不及這個成語大家知不知道出自哪裏
[00:00:58.520 --> 00:01:01.520]  我想應該都沒有什麼人知道
[00:01:01.520 --> 00:01:03.520]  在座有一個應該會知道的
[00:01:03.520 --> 00:01:04.520]  是Sam傳道
[00:01:04.520 --> 00:01:07.520]  因為他是我們當中最厲害的文人
[00:01:07.520 --> 00:01:10.520]  在他面前拋拋書包
[00:01:10.520 --> 00:01:16.520]  其實始料不及這個成語出自清代一個學者許鳳欣的
[00:01:16.520 --> 00:01:21.520]  應該是十卷的文言小說叫做《李成》
[00:01:21.520 --> 00:01:22.520]  《李成》是什麼意思呢
[00:01:22.520 --> 00:01:24.520]  即是鄉里記載的意思
[00:01:24.520 --> 00:01:26.520]  即是聖是盛載的意思
[00:01:26.520 --> 00:01:27.520]  裏面的第三卷
[00:01:27.520 --> 00:01:29.520]  其中一個人物說了一句話
[00:01:29.520 --> 00:01:33.520]  他說大道斯德我故始料不及也
[00:01:33.520 --> 00:01:38.520]  情節就是當故事裏面的主人翁去找那個賊
[00:01:38.520 --> 00:01:40.520]  很多方法都找不到
[00:01:40.520 --> 00:01:44.520]  當然他在太平盛世沒有想過會見到賊
[00:01:44.520 --> 00:01:47.520]  我們回教會應該都沒有想過會見到壞人
[00:01:47.520 --> 00:01:50.520]  但有時都會有很多人會激你的心
[00:01:50.520 --> 00:01:53.520]  但故事的主人翁去到最後
[00:01:53.520 --> 00:01:56.520]  他竟然無意中找到那個賊
[00:01:56.520 --> 00:01:59.520]  是他完全想不到的方法
[00:01:59.520 --> 00:02:05.520]  始料不及其實就是有很多千算萬算都超出我們的預期
