
[00:00:00.000 --> 00:00:05.000]  正要知名人士和富豪
[00:00:05.000 --> 00:00:07.500]  很多時候不單止是他們自己出名的
[00:00:07.500 --> 00:00:10.000]  他們所住的屋或者官邸
[00:00:10.000 --> 00:00:12.500]  我們叫做都同樣和他們一樣那麼文明的
[00:00:12.500 --> 00:00:14.500]  說起美國總統的時候
[00:00:14.500 --> 00:00:16.500]  你就知道他住在哪裡
[00:00:16.500 --> 00:00:18.000]  白宮
[00:00:18.000 --> 00:00:19.500]  英國首相
[00:00:19.500 --> 00:00:22.500]  唐寧街10號
[00:00:22.500 --> 00:00:24.000]  我想這間屋最近都很忙
[00:00:24.000 --> 00:00:25.000]  搬出搬入
[00:00:25.000 --> 00:00:27.000]  說回近一點的香港
[00:00:27.000 --> 00:00:28.000]  我小時候
[00:00:28.000 --> 00:00:30.000]  有時候會和家人去深水灣游泳
[00:00:30.000 --> 00:00:33.000]  我們經過深水灣道79號的時候
[00:00:33.000 --> 00:00:34.000]  我們就會去說
[00:00:34.000 --> 00:00:35.000]  這個是什麼地方
[00:00:35.000 --> 00:00:36.000]  知不知道是誰住的
[00:00:36.000 --> 00:00:38.000]  猜一下
[00:00:38.000 --> 00:00:39.000]  沒有人知道吧
[00:00:39.000 --> 00:00:41.000]  那就多按一下吧
[00:00:41.000 --> 00:00:43.000]  就是李嘉誠的大宅
[00:00:43.000 --> 00:00:46.000]  我們就會說李嘉誠一家住在裡面
[00:00:46.000 --> 00:00:48.000]  大家等了三年
[00:00:48.000 --> 00:00:51.000]  剛剛終於放寬入境檢疫條例
[00:00:51.000 --> 00:00:53.000]  不知道大家有沒有在想去哪裡旅行呢
[00:00:53.000 --> 00:00:55.000]  去旅行我們很多時候
[00:00:55.000 --> 00:00:57.000]  都會去參觀一些名人的故居
[00:00:57.000 --> 00:00:59.000]  如果接下來有機會
[00:00:59.000 --> 00:01:01.000]  去歐洲旅行的時候
[00:01:01.000 --> 00:01:03.000]  你可以考慮一下去維也納
[00:01:03.000 --> 00:01:05.000]  因為那裡有音樂大師貝多芬的家
[00:01:05.000 --> 00:01:07.000]  大家都知道
[00:01:07.000 --> 00:01:08.000]  可能你不知道
[00:01:08.000 --> 00:01:10.000]  貝多芬很喜歡搬家
[00:01:10.000 --> 00:01:12.000]  所以在維也納的時候
[00:01:12.000 --> 00:01:13.000]  就算在市區裡面
[00:01:13.000 --> 00:01:15.000]  都有兩間他以前住過的房子
[00:01:15.000 --> 00:01:17.000]  現在成為了博物館
[00:01:17.000 --> 00:01:19.000]  在網上看到一個很特別的故事
[00:01:19.000 --> 00:01:21.000]  就是你看看頭文片
[00:01:21.000 --> 00:01:23.000]  維也納西北部一個村莊裡面
[00:01:23.000 --> 00:01:26.000]  貝多芬只在這間房子裡住了兩個月
[00:01:26.000 --> 00:01:29.000]  但是屋主保留了這間房子的面貌
[00:01:29.000 --> 00:01:30.000]  一直沒有改變過
[00:01:30.000 --> 00:01:32.000]  在近200年來已經過去了
[00:01:32.000 --> 00:01:34.000]  只是住了兩個月的門口
[00:01:34.000 --> 00:01:37.000]  在外面的門口外面就有個牌子寫著
[00:01:37.000 --> 00:01:39.000]  貝多芬在這裡住過
[00:01:39.000 --> 00:01:43.000]  如果暫時沒有計劃去旅行
[00:01:43.000 --> 00:01:44.000]  去外地
