
[00:00:00.000 --> 00:00:03.000]  今天我們聚集在這個禮堂裡面
[00:00:03.000 --> 00:00:05.000]  我們願意透過神的話
[00:00:05.000 --> 00:00:07.000]  我們一起去思想
[00:00:07.000 --> 00:00:10.000]  今天我們每一個作為基督的門徒
[00:00:10.000 --> 00:00:13.000]  我們的生命究竟是怎樣
[00:00:13.000 --> 00:00:15.000]  讓我們一起有一個禱告
[00:00:15.000 --> 00:00:16.000]  同心祈禱
[00:00:16.000 --> 00:00:18.000]  天父讓祢的話
[00:00:18.000 --> 00:00:19.000]  引領我們的心
[00:00:19.000 --> 00:00:21.000]  進入祢的真理
[00:00:21.000 --> 00:00:23.000]  以致我們明白
[00:00:23.000 --> 00:00:26.000]  今天我們作為跟隨祢的人
[00:00:26.000 --> 00:00:28.000]  我們的生命
[00:00:28.000 --> 00:00:32.000]  怎樣繼續在這條路上緊緊跟隨祢
[00:00:32.000 --> 00:00:35.000]  縱然好像剛才師哥所說
[00:00:35.000 --> 00:00:38.000]  我們在生命裡面有軟弱
[00:00:38.000 --> 00:00:40.000]  我們有跌倒
[00:00:40.000 --> 00:00:44.000]  但是主祢永遠沒有撇下我們
[00:00:44.000 --> 00:00:47.000]  祢繼續透過祢的說話
[00:00:47.000 --> 00:00:49.000]  透過祢的教會
[00:00:49.000 --> 00:00:53.000]  引導我們歸回祢要我們走的路上
[00:00:53.000 --> 00:00:55.000]  願祢帶領我們以下的時間
[00:00:55.000 --> 00:00:58.000]  恭敬將以下的時間交給祢
[00:00:58.000 --> 00:01:00.000]  我們同心合意獻上禱告
[00:01:00.000 --> 00:01:02.000]  奉靠耶穌基督得勝明智祈求
[00:01:02.000 --> 00:01:04.000]  阿們
[00:01:04.000 --> 00:01:07.000]  應該我是要跟大家說早晨的
[00:01:07.000 --> 00:01:09.000]  但我其實習慣是說晚安的
[00:01:09.000 --> 00:01:13.000]  因為其實我是星期六晚堂侍奉的同工
[00:01:13.000 --> 00:01:15.000]  今天很感恩
[00:01:15.000 --> 00:01:17.000]  在今天中堂裡面
[00:01:17.000 --> 00:01:22.000]  去跟大家分享訊息
[00:01:23.000 --> 00:01:26.000]  今天是教會統一主題
[00:01:26.000 --> 00:01:28.000]  馬可福音系列的講道
[00:01:28.000 --> 00:01:30.000]  破繭的蛻變
[00:01:30.000 --> 00:01:34.000]  其實已經是去到馬可福音中間的一個部分
[00:01:34.000 --> 00:01:36.000]  在這個馬可福音裡面
[00:01:36.000 --> 00:01:40.000]  我不知道大家聽了這麼多關於馬可福音的訊息
[00:01:40.000 --> 00:01:44.000]  對你的生命裡面有什麼提醒
[00:01:44.000 --> 00:01:46.000]  其實在馬可福音裡面
[00:01:46.000 --> 00:01:49.000]  我相信是一個很重要的訊息
[00:01:49.000 --> 00:01:51.000]  是跟我們說的
[00:01:51.000 --> 00:01:55.000]  因為其實耶穌基督是用了很多時間和心機
[00:01:55.000 --> 00:01:58.000]  去跟他一群緊緊跟隨的門徒
[00:01:58.000 --> 00:02:01.000]  說了很多語重心長的話
[00:02:01.000 --> 00:02:05.000]  今天去到馬可福音中間的部分
[00:02:05.000 --> 00:02:07.000]  我想大家有一點認知
[00:02:07.000 --> 00:02:10.000]  對整個經文的段落
[00:02:10.000 --> 00:02:16.000]  有些聖經學者是這樣去看馬可福音的結構
[00:02:16.000 --> 00:02:18.000]  馬可福音第八章到第十章
[00:02:18.000 --> 00:02:20.000]  其實已經是馬可福音中間的部分
[00:02:20.000 --> 00:02:22.000]  而在這個中間的部分
[00:02:22.000 --> 00:02:24.000]  我們發現一個很特別的地方
[00:02:24.000 --> 00:02:26.000]  我們看到馬可的敘述裡面
[00:02:26.000 --> 00:02:29.000]  好像刻意在說一個訊息
[00:02:29.000 --> 00:02:31.000]  這個訊息是在說什麼呢
[00:02:31.000 --> 00:02:33.000]  我們看到這個表上面
[00:02:33.000 --> 00:02:37.000]  第八章的二十二到二十六節
[00:02:37.000 --> 00:02:42.000]  和第十章的四十六到五十二節
[00:02:42.000 --> 00:02:45.000]  這兩段的經文好像一個括號
[00:02:45.000 --> 00:02:47.000]  括著中間的經文
[00:02:47.000 --> 00:02:49.000]  這兩個括號其實在說什麼呢
[00:02:49.000 --> 00:02:51.000]  這兩段經文其實都是在說
[00:02:51.000 --> 00:02:55.000]  耶穌醫治盲人的故事
[00:02:55.000 --> 00:02:56.000]  是一個片段
[00:02:56.000 --> 00:02:58.000]  而中間就夾雜了很多
[00:02:58.000 --> 00:03:02.000]  耶穌和門徒之間的互動和對話
[00:03:02.000 --> 00:03:04.000]  當然裡面有很多的教導
