
[00:00:00.000 --> 00:00:03.760]  今天我們會繼續看《約翰福音》的系列
[00:00:03.760 --> 00:00:06.000]  不知道大家記不記得上次我們說到哪裏呢
[00:00:06.000 --> 00:00:10.000]  今天我們會說約翰福音的九章
[00:00:10.000 --> 00:00:11.600]  一至十二節
[00:00:11.600 --> 00:00:15.400]  在不久之前耶穌在主彭寺向人宣稱
[00:00:15.400 --> 00:00:17.000]  「我是世上的光」
[00:00:17.000 --> 00:00:18.800]  來到第九章的時候
[00:00:18.800 --> 00:00:21.200]  耶穌用了一個核子開眼的神蹟
[00:00:21.200 --> 00:00:26.400]  去說明清楚自己就是一個讓人看得見光的各位上帝
[00:00:26.400 --> 00:00:28.600]  讓我們先讀讀經文好不好
[00:00:29.600 --> 00:00:31.000]  我們一起讀經文
[00:00:31.000 --> 00:00:32.200]  一二三開始
[00:00:59.600 --> 00:01:00.800]  親著白天
[00:01:00.800 --> 00:01:02.200]  我們必須
[00:01:02.200 --> 00:01:08.200]  一來到就沒有人能作了
[00:01:08.200 --> 00:01:12.800]  我們一起祈禱
[00:01:12.800 --> 00:01:15.200]  主啊祢是那個世界的光
[00:01:15.200 --> 00:01:18.400]  我們求祢繼續去照亮我們每個人的生命
[00:01:18.400 --> 00:01:19.800]  就好像剛剛主席所說
[00:01:19.800 --> 00:01:20.800]  去開我們的耳朵
[00:01:20.800 --> 00:01:22.000]  開我們的眼睛
[00:01:22.000 --> 00:01:24.600]  以致今天我們可以得到祢的教導的時候
[00:01:24.600 --> 00:01:25.800]  我們可以明白
[00:01:25.800 --> 00:01:27.200]  我們可以活現出來
[00:01:27.200 --> 00:01:29.800]  感謝祢就是那位聽禱告的上帝
[00:01:29.800 --> 00:01:31.400]  我們將以下時間交給祢
[00:01:31.400 --> 00:01:34.200]  都求祢繼續用祢大能的手
[00:01:34.200 --> 00:01:37.000]  繼續去和祢感動人的靈
[00:01:37.000 --> 00:01:38.600]  繼續去感動我們每一個
[00:01:38.600 --> 00:01:40.000]  不論在台上還是台下
[00:01:40.000 --> 00:01:41.600]  帶領著我們每一個時間
[00:01:41.600 --> 00:01:42.400]  奉主名求
[00:01:42.400 --> 00:01:43.200]  阿門
[00:01:43.200 --> 00:01:43.800]  好
[00:01:43.800 --> 00:01:46.600]  今天所提及的經文
[00:01:46.600 --> 00:01:50.800]  就是說耶穌要醫治一個天生看不到的人
[00:01:50.800 --> 00:01:53.000]  耶穌在第八章最後的時候
[00:01:53.000 --> 00:01:55.000]  剛剛離開聖殿
[00:01:55.000 --> 00:01:56.600]  往前走的時候
[00:01:56.600 --> 00:02:00.000]  就遇到一個生來黑眼的人
[00:02:00.000 --> 00:02:04.800]  但是這裡不是在說他和黑眼的人相遇的事
[00:02:04.800 --> 00:02:07.000]  他在和門徒說話
[00:02:07.000 --> 00:02:08.200]  門徒看到黑眼的人
[00:02:08.200 --> 00:02:09.600]  他第一句就問
[00:02:09.600 --> 00:02:11.000]  老師
[00:02:11.000 --> 00:02:13.400]  他天生黑眼或者失明
[00:02:13.400 --> 00:02:16.400]  他是歸咎於誰的罪呢
[00:02:16.400 --> 00:02:21.000]  是他自己還是他父母呢
[00:02:21.000 --> 00:02:22.600]  其實這個問題很奇怪
[00:02:22.600 --> 00:02:25.000]  怎麼會有人天生犯罪
[00:02:25.000 --> 00:02:27.600]  所以其實他心中已經有答案
[00:02:27.600 --> 00:02:29.200]  但是他就是想問一問
[00:02:29.200 --> 00:02:30.200]  耶穌拉比
[00:02:30.200 --> 00:02:33.600]  究竟他的罪應該歸咎於誰呢
[00:02:33.600 --> 00:02:35.000]  對不起
[00:02:35.000 --> 00:02:37.200]  他的黑眼應該歸咎於誰的罪呢
[00:02:37.200 --> 00:02:39.200]  原來門徒這樣問
[00:02:39.200 --> 00:02:41.800]  是反映當時一個很普遍的觀念
[00:02:41.800 --> 00:02:47.000]  就是犯罪必定帶來詛咒或者懲罰的觀念
[00:02:47.000 --> 00:02:51.000]  認為一切的苦難都是有原因的
[00:02:51.000 --> 00:02:53.400]  在某程度上都是有一定的信仰基礎
[00:02:53.400 --> 00:02:55.000]  現在和大家看看
[00:02:55.000 --> 00:02:56.200]  原來舊約也有說
[00:02:56.200 --> 00:03:00.600]  他說萬不以有罪的為無罪
[00:03:00.600 --> 00:03:02.200]  必懲罰人的罪
[00:03:02.200 --> 00:03:05.000]  從父到子直到三四代
[00:03:05.000 --> 00:03:08.600]  舊約是在說上帝是一個公平的上帝
[00:03:08.600 --> 00:03:10.600]  所以雖然他有第一句
[00:03:10.600 --> 00:03:11.800]  耶和華不輕易法老
[00:03:11.800 --> 00:03:15.200]  但是有罪的神是會懲罰他
[00:03:15.200 --> 00:03:18.600]  這個是他們舊約很牢固的觀念
[00:03:18.600 --> 00:03:21.800]  也是很符合我們日常的經驗
[00:03:21.800 --> 00:03:23.200]  大家有沒有試過吃錯東西
[00:03:23.200 --> 00:03:24.400]  然後肚子痛
[00:03:24.400 --> 00:03:25.400]  有吧
[00:03:25.400 --> 00:03:28.400]  有沒有試過遇上一些人是滿口謊言
[00:03:28.400 --> 00:03:31.800]  結果他總是被人疏遠孤立
[00:03:31.800 --> 00:03:32.800]  有吧
[00:03:32.800 --> 00:03:35.200]  或者你可能試過超速
[00:03:35.200 --> 00:03:37.200]  然後被人扣分
[00:03:37.200 --> 00:03:38.400]  有沒有試過
[00:03:38.400 --> 00:03:40.400]  可能大家還沒買車
[00:03:40.400 --> 00:03:42.000]  可能試過
[00:03:42.000 --> 00:03:44.400]  或者試過可能上班的時候
[00:03:44.400 --> 00:03:47.000]  公然睡覺然後收警告信
[00:03:47.000 --> 00:03:48.800]  大家有沒有聽過這些故事
[00:03:48.800 --> 00:03:52.600]  其實很多事情都是好像很有原因的
[00:03:52.600 --> 00:03:56.400]  有些人的苦難是背後有些原因
[00:03:56.400 --> 00:03:58.400]  甚至連耶穌也說
