
[00:00:00.000 --> 00:00:02.680]  借敬拜隊帶我們敬拜
[00:00:02.680 --> 00:00:04.680]  我覺得今天的敬拜
[00:00:04.680 --> 00:00:07.200]  突然之間,我不知道你剛才敬拜的時候
[00:00:07.200 --> 00:00:08.200]  你想到什麼?
[00:00:08.200 --> 00:00:10.600]  有什麼是你的洪水呢?
[00:00:10.600 --> 00:00:13.800]  我不知道是不是你的大專那班
[00:00:13.800 --> 00:00:16.400]  現在應該水深火熱,在說Deadline
[00:00:16.400 --> 00:00:20.200]  高中那班,我不知道你是不是考試
[00:00:20.200 --> 00:00:21.600]  或者考完試
[00:00:21.600 --> 00:00:23.600]  特別DSE那班還有
[00:00:23.600 --> 00:00:25.600]  不說日子了
[00:00:25.600 --> 00:00:28.400]  我猜我們生活中有很多
[00:00:28.400 --> 00:00:30.400]  有很多不同的洪水
[00:00:30.400 --> 00:00:32.400]  但是很感恩
[00:00:32.400 --> 00:00:35.400]  透過敬拜都提醒我們
[00:00:35.400 --> 00:00:38.400]  我們可以怎樣去投靠
[00:00:38.400 --> 00:00:39.400]  我們去依靠
[00:00:39.400 --> 00:00:41.400]  我們一起去學習
[00:00:41.400 --> 00:00:43.400]  一起去鼓勵
[00:00:43.400 --> 00:00:45.400]  今天不是我講道
[00:00:45.400 --> 00:00:48.400]  但是有一個同姓和我同姓的弟兄
[00:00:48.400 --> 00:00:50.400]  分享訊息
[00:00:50.400 --> 00:00:54.400]  其實這兩天是突破青少年主日
[00:00:54.400 --> 00:00:56.400]  可能你想起突破的時候
[00:00:56.400 --> 00:00:57.400]  一定會想起疫情
[00:00:57.400 --> 00:00:59.400]  你每一年都參加疫旅
[00:00:59.400 --> 00:01:02.400]  由初中到大專都還在參加疫旅
[00:01:02.400 --> 00:01:05.400]  今天很想邀請馮文傑弟兄
[00:01:05.400 --> 00:01:09.400]  他突破青年發展部的同工
[00:01:09.400 --> 00:01:12.400]  很想邀請他來分享訊息
[00:01:12.400 --> 00:01:16.400]  他是第一次來恩福
[00:01:16.400 --> 00:01:19.400]  所以大家給他掌聲歡迎他
[00:01:19.400 --> 00:01:20.400]  鼓勵一下他
[00:01:20.400 --> 00:01:22.400]  把時間交給馮文傑弟兄
[00:01:22.400 --> 00:01:24.400]  謝謝凌峰
[00:01:24.400 --> 00:01:26.400]  原來你們姓馮的
[00:01:26.400 --> 00:01:28.400]  真是太好了
[00:01:28.400 --> 00:01:31.400]  很緊張
[00:01:31.400 --> 00:01:33.400]  第一次來到
[00:01:33.400 --> 00:01:35.400]  很開心和大家一齊來到
[00:01:35.400 --> 00:01:36.400]  可以有敬拜的時刻
[00:01:36.400 --> 00:01:38.400]  特別剛才領師哥哥的分享
[00:01:38.400 --> 00:01:41.400]  他的領土是哥哥
[00:01:41.400 --> 00:01:42.400]  沒錯
