
[00:00:00.000 --> 00:00:12.000]  大衛的故事非常吸引我,當中有血有肉,涵蓋了一般人不同層面的經歷。
[00:00:12.000 --> 00:00:19.000]  他經歷過被家人輕視,又享受過朋友之間的生死之交。
[00:00:19.000 --> 00:00:28.000]  在工作上遇到忌才的老闆,但亦遇過救命恩人,出賣他的同齊,
[00:00:28.000 --> 00:00:31.000]  亦有為他賣命的下屬。
[00:00:31.000 --> 00:00:39.000]  他面對過國家的動盪危機,亦體會過社會的穩定和強盛。
[00:00:39.000 --> 00:00:47.000]  家中他與太太有過很好的時刻,但他亦曾經跌入婚外情。
[00:00:47.000 --> 00:00:54.000]  他與子女之間出現了張力,甚至去到彼此的撕裂。
[00:00:54.000 --> 00:01:01.000]  在他一生中,他體驗到親情友情,當中的冷酷敵對。
[00:01:01.000 --> 00:01:07.000]  他感受過尊榮和屈辱,亦經歷過成功和失敗。
[00:01:07.000 --> 00:01:13.000]  大衛這些經歷豈不是在我們一般人身上都會發生嗎?
[00:01:13.000 --> 00:01:20.000]  不過大衛不單是一個有血有肉的普通人,他同時是一個屬神的人。
[00:01:20.000 --> 00:01:27.000]  他選擇了做一個逐世聖徒,既是要屬地,不過亦是要屬天。
[00:01:27.000 --> 00:01:35.000]  他的一生不是要追求建立他個人的道德能力或成就,
[00:01:35.000 --> 00:01:41.000]  他一生只有一個目標,就是我們今天所唱的詩歌所說,
[00:01:41.000 --> 00:01:46.000]  他很努力的就是建立與神有一個很親密的關係。
[00:01:46.000 --> 00:01:52.000]  他在生活不同的層面和處境中都會接觸到神。
[00:01:52.000 --> 00:02:00.000]  慢慢,慢慢,這位在神中不斷同行的人,就能成為一個合神心意的人。
[00:02:00.000 --> 00:02:06.000]  你想不想知道大衛如何做到?以至你都可以做到。
[00:02:06.000 --> 00:02:13.000]  今天是與神相遇系列的第六講,我們會由大衛所寫的詩篇中,
[00:02:13.000 --> 00:02:17.000]  了解他如何與神建立這份親密的關係,
[00:02:17.000 --> 00:02:22.000]  他如何在日常生活中經歷到神。
[00:02:22.000 --> 00:02:27.000]  有時候我們都會聽到未信的朋友會問,
[00:02:27.000 --> 00:02:30.000]  「你的神在哪裡?你讓我見到祂,我就相信了。」
[00:02:30.000 --> 00:02:32.000]  有沒有聽過?
[00:02:32.000 --> 00:02:36.000]  或者當你,即我們信徒遇到很困難的一刻,
[00:02:36.000 --> 00:02:39.000]  可能你都會問,「神啊,你究竟在哪裡?」
[00:02:39.000 --> 00:02:42.000]  有沒有問過?都有。
[00:02:42.000 --> 00:02:49.000]  究竟神在哪裡?對大衛來說,他時刻都會見到神。
[00:02:49.000 --> 00:02:54.000]  當他看到天空上的月亮、星星,他就見到神。
[00:02:54.000 --> 00:02:57.000]  一位全能的神,他說,
[00:02:57.000 --> 00:03:02.000]  「我觀看你指頭所造的天,並你所陳設的月亮星獸。」
[00:03:02.000 --> 00:03:07.000]  他就忍不住要讚嘆這位創造主的美。
