
[00:00:00.000 --> 00:00:13.520]  有一晚我帶團契,有一個組員順路開車載我回家,向荃灣方向
[00:00:13.520 --> 00:00:19.720]  大家知道過了美孚之後路很寬,是一個高速公路
[00:00:19.720 --> 00:00:25.800]  我們有正常的車速行,行行看見旁邊有一個法拉利經過
[00:00:25.800 --> 00:00:32.320]  它應該沒有超速,但也比我們快,所以在我們面前慢慢超過我們
[00:00:32.320 --> 00:00:35.600]  見到一輛,覺得不錯,挺漂亮的法拉利
[00:00:35.600 --> 00:00:39.000]  沒多久,又有第二輛,兩輛
[00:00:39.000 --> 00:00:41.040]  沒多久,又有第三輛
[00:00:41.040 --> 00:00:44.400]  我轉身看,後面還有十多輛
[00:00:44.400 --> 00:00:50.600]  司機弟兄也說,他都沒見過,開車很多年
[00:00:50.600 --> 00:00:55.480]  我開玩笑,他們應該是開組的
[00:00:55.480 --> 00:01:02.240]  法拉利小組,弟兄從未見過,我也是第一次見
[00:01:02.240 --> 00:01:05.040]  在聖經裏面,也有些從未見過的事
[00:01:05.040 --> 00:01:09.600]  令我們眼前一亮,令我們更加興奮
[00:01:09.600 --> 00:01:16.240]  有些事比法拉利更加吸引我們的眼球
[00:01:16.240 --> 00:01:19.200]  我們今天就來看看,在《馬可福音》第二章裏面
[00:01:19.200 --> 00:01:25.280]  有些從未見過的事,讓我們先一起祈禱
[00:01:25.280 --> 00:01:30.800]  「稱為天父,我們來到祢的面前,要聆聽祢的說話
[00:01:30.800 --> 00:01:35.200]  求真理的聖靈,帶領我們進入祢的真理當中
[00:01:35.200 --> 00:01:39.680]  多謝聽我們祈禱,奉祢愛之,耶穌基督聖名祈求」
[00:01:39.680 --> 00:01:40.960]  阿們
[00:01:40.960 --> 00:01:43.960]  我們一起讀讀今天的經文
[00:01:43.960 --> 00:01:46.920]  《馬可福音》二章,一至十二節
[00:01:46.920 --> 00:01:52.440]  第四節尾,有些難讀的,尾三個字是讀「序」
[00:01:52.440 --> 00:01:54.440]  「序」下去
[00:01:54.440 --> 00:01:58.640]  我請弟兄讀單字,姐妹讀雙節
[00:01:58.640 --> 00:02:00.040]  預備起
[00:02:00.040 --> 00:02:04.720]  過了些日子,耶穌又進了加伯隆
[00:02:04.720 --> 00:02:07.440]  人聽說他在屋裏
[00:02:07.440 --> 00:02:09.840]  (如是,就有可能是聚集)
[00:02:09.840 --> 00:02:12.920]  (甚至,如是,就有可能是聚集)
[00:02:12.920 --> 00:02:15.600]  (耶穌在聚集,不可否認)
[00:02:15.600 --> 00:02:19.560]  有人帶著一個毯子來見耶穌
[00:02:19.560 --> 00:02:22.520]  (是由四個人抬來的)
[00:02:22.520 --> 00:02:26.440]  (因為人多,不可能和耶穌一致)
[00:02:26.440 --> 00:02:28.560]  (就把他送到大牢)
[00:02:28.560 --> 00:02:31.800]  (見到耶穌,就把他帶到大牢)
[00:02:31.800 --> 00:02:33.800]  (就把他帶到大牢)
[00:02:33.800 --> 00:02:36.720]  (耶穌就帶到大牢)
[00:02:36.720 --> 00:02:41.240]  (耶穌見他們的信心,就對毯子說)
[00:02:41.240 --> 00:02:44.200]  (孩子,你的罪赦了)
[00:02:44.200 --> 00:02:49.280]  (有幾個民先坐在大牢,心裡要說)
[00:02:49.280 --> 00:02:52.720]  (這個人為什麼這樣說呢)
[00:02:52.720 --> 00:02:55.400]  (他說,褻瀆的話了)
[00:02:55.400 --> 00:02:59.960]  (除了神一位之外,誰能赦罪呢)
[00:02:59.960 --> 00:03:04.320]  (耶穌心中立下,才有可能赦罪)
[00:03:04.320 --> 00:03:09.040]  (就算,你沒赦罪,也有可能赦罪)
[00:03:09.040 --> 00:03:12.480]  (對毯子說,你的罪赦了)
[00:03:12.480 --> 00:03:16.600]  (或說,起來拿你的玉子行走)
[00:03:16.600 --> 00:03:18.880]  (哪一樣容易呢)
[00:03:18.880 --> 00:03:20.880]  (哪一樣容易呢)
[00:03:20.880 --> 00:03:24.480]  (有時在地上有死人罪的玉子)
[00:03:24.480 --> 00:03:26.480]  (就對毯子說)
[00:03:26.480 --> 00:03:31.360]  (起來拿你的玉子回家去吧)
[00:03:31.360 --> 00:03:33.080]  (哪一樣受罪了)
[00:03:33.080 --> 00:03:34.880]  (哪一樣罪不赦)
[00:03:34.880 --> 00:03:36.880]  (哪一樣罪不赦)
[00:03:36.880 --> 00:03:37.880]  (就對毯子說)
[00:03:37.880 --> 00:03:39.680]  (以前做人很驚喜)
[00:03:39.680 --> 00:03:41.680]  (現在又要殺人)
[00:03:41.680 --> 00:03:45.880]  (何況我沒有見過這樣的事)
[00:03:45.880 --> 00:03:51.880]  好,我們從來沒有見過這樣的迫使
[00:03:51.880 --> 00:03:55.400]  這就是第二章的第一個故事
[00:03:55.400 --> 00:03:57.400]  我們就小小歪帶
[00:03:57.400 --> 00:04:00.200]  究竟是上一章在說什麼呢?
[00:04:00.200 --> 00:04:04.200]  第二章一節說「過了些日子,耶穌又進了加伯隆」
[00:04:04.200 --> 00:04:07.200]  為什麼無端端要過了一些日子呢?
[00:04:07.200 --> 00:04:08.720]  原來在第一章尾
[00:04:08.720 --> 00:04:11.720]  耶穌醫治了一個麻風病人
[00:04:11.720 --> 00:04:13.520]  醫好了他之後就跟他說
[00:04:13.520 --> 00:04:15.920]  「千萬不要告訴別人」
[00:04:15.920 --> 00:04:18.320]  誰知道這個人太興奮了
[00:04:18.320 --> 00:04:19.920]  忍不住到處說
[00:04:19.920 --> 00:04:22.320]  人人都知道這件事
[00:04:22.320 --> 00:04:25.320]  結果耶穌當時不想那麼多人知道
[00:04:25.320 --> 00:04:26.920]  所以沒辦法
[00:04:26.920 --> 00:04:30.320]  耶穌不能夠再公開他的行動
[00:04:30.320 --> 00:04:31.720]  不能夠公開入城
[00:04:31.720 --> 00:04:34.520]  只能夠留在外面的曠野
[00:04:34.520 --> 00:04:37.320]  你可以想像他可能躲藏了一段日子
[00:04:37.320 --> 00:04:38.920]  所以過了一些日子
[00:04:38.920 --> 00:04:40.520]  之前是很低調
[00:04:40.520 --> 00:04:42.920]  沒有公開的行動
[00:04:42.920 --> 00:04:44.520]  過了一些日子
[00:04:44.520 --> 00:04:47.520]  就再次公開的活動
[00:04:47.520 --> 00:04:50.120]  耶穌實在太受歡迎了
[00:04:50.120 --> 00:04:52.520]  過了第一章已經聲名大噪
[00:04:52.520 --> 00:04:53.920]  軟禁馳名
[00:04:53.920 --> 00:04:56.920]  所以這次一公開的活動
[00:04:56.920 --> 00:04:59.320]  消息就有風傳了
[00:04:59.320 --> 00:05:02.320]  這次就不是麻風病人了
[00:05:02.320 --> 00:05:07.720]  這次要找他的主角就是一個癱子
[00:05:07.720 --> 00:05:10.920]  大家都知道癱子自己沒辦法行動
[00:05:10.920 --> 00:05:12.920]  所以他要找耶穌
[00:05:12.920 --> 00:05:16.920]  一定要有人抬他過來
[00:05:16.920 --> 00:05:20.920]  所以經文說有多少人抬
[00:05:20.920 --> 00:05:22.920]  四個
[00:05:22.920 --> 00:05:24.920]  第三節的下半節就說了
[00:05:24.920 --> 00:05:26.920]  四個人抬來
[00:05:26.920 --> 00:05:28.920]  所以我們可以想像到
[00:05:28.920 --> 00:05:31.920]  最少有一個人收到風
[00:05:31.920 --> 00:05:35.920]  耶穌現在在某人的家裏
[00:05:35.920 --> 00:05:39.920]  所以就立刻發動他的死黨
