
[00:00:00.000 --> 00:00:03.840]  很感謝敬拜隊帶來這麼好的敬拜
[00:00:03.840 --> 00:00:06.440]  我們一起給他們掌聲鼓勵
[00:00:06.440 --> 00:00:09.800]  (掌聲)
[00:00:09.800 --> 00:00:14.440]  不知道大家在剛才的敬拜中
[00:00:14.440 --> 00:00:16.440]  會有什麼感覺呢?
[00:00:16.440 --> 00:00:20.760]  我通常在敬拜中
[00:00:20.760 --> 00:00:22.760]  會感受到
[00:00:22.760 --> 00:00:25.360]  其實在敬拜中
[00:00:25.360 --> 00:00:27.160]  也是一種侍奉
[00:00:27.160 --> 00:00:28.160]  大家有沒有聽過?
[00:00:28.160 --> 00:00:33.160]  這種侍奉正正是用我們的口
[00:00:33.160 --> 00:00:35.160]  甚至用我們的心
[00:00:35.160 --> 00:00:42.160]  盡情盡力地將讚美歸給誰呢?
[00:00:42.160 --> 00:00:44.160]  我們的神
[00:00:44.160 --> 00:00:47.160]  所以敬拜也是一種侍奉
[00:00:47.160 --> 00:00:49.160]  同時在敬拜中
[00:00:49.160 --> 00:00:52.160]  也是我們整個群體
[00:00:52.160 --> 00:00:54.160]  我們上帝的兒女
[00:00:54.160 --> 00:00:56.160]  在作一個見證
[00:00:56.160 --> 00:00:58.160]  是什麼見證呢?
[00:00:58.160 --> 00:01:04.160]  就是上帝的恩典塑造我們的生命
[00:01:04.160 --> 00:01:08.160]  我們就是要這樣將榮耀歸給祂
[00:01:08.160 --> 00:01:10.160]  Amen?
[00:01:10.160 --> 00:01:12.160]  我們再一次掌聲
[00:01:12.160 --> 00:01:15.160]  這份掌聲是歸給我們的上帝
[00:01:15.160 --> 00:01:17.160]  感謝主
[00:01:17.160 --> 00:01:22.160]  今天我們
[00:01:23.160 --> 00:01:27.160]  農曆年尾最後一次的講道
[00:01:27.160 --> 00:01:29.160]  今天講的經文
[00:01:29.160 --> 00:01:32.160]  就是《已忽所書五將》
[00:01:32.160 --> 00:01:34.160]  《已忽所書五將》
[00:01:34.160 --> 00:01:35.160]  當我這樣講的時候
[00:01:35.160 --> 00:01:38.160]  大家心裡有沒有問題出現呢?
[00:01:38.160 --> 00:01:40.160]  咦?
[00:01:40.160 --> 00:01:43.160]  我們上個星期是講哪個書卷的呢?
[00:01:43.160 --> 00:01:47.160]  嘩!很厲害!很聰明!
