
[00:00:00.000 --> 00:00:05.560]  我進入講道的時間,今天講題叫做隻醒目豬
[00:00:05.560 --> 00:00:07.560]  我很喜歡這隻豬,很可愛
[00:00:07.560 --> 00:00:10.960]  但我用了這幅圖,是森整的
[00:00:10.960 --> 00:00:17.600]  做完這幅圖之後,我覺得後面的powerpoint全部都是回到20年前那些
[00:00:17.600 --> 00:00:22.200]  但這個就新穎一點,大家都習慣的,我經常都是這樣
[00:00:22.200 --> 00:00:26.280]  anyway,今天講做隻醒目豬,講什麼呢?
[00:00:26.280 --> 00:00:30.200]  等下問你一個問題,不知道你有沒有試過呢?
[00:00:30.200 --> 00:00:34.000]  你貪一時之快,走了一條捷徑
[00:00:34.000 --> 00:00:38.440]  結果就是你後面遇到更麻煩的事
[00:00:38.440 --> 00:00:42.440]  我就試過了,最簡單的事就是亂泊車
[00:00:42.440 --> 00:00:45.320]  我真的試過泊在羅豪坊後面
[00:00:45.320 --> 00:00:49.080]  我打算15分鐘走一走,免得走太遠
[00:00:49.080 --> 00:00:52.520]  一泊回來就被人抄牌,那個警察還跟我說
[00:00:52.520 --> 00:00:55.160]  你那輛車橙色的,那麼樣子,我先抄你
[00:00:55.160 --> 00:01:00.880]  哎呀,雖然我的車很漂亮,但真的沒有了302
[00:01:00.880 --> 00:01:02.880]  不過我問的就是,你有沒有試過呢?
[00:01:02.880 --> 00:01:05.640]  貪一時之快,有時亂過馬路
[00:01:05.640 --> 00:01:08.480]  有時沒有溫書就抄別人的東西
[00:01:08.480 --> 00:01:13.440]  有時又,啊這樣,有沒有試過真的貪一時之快,走過捷徑
[00:01:13.440 --> 00:01:15.440]  等下,很高
[00:01:15.440 --> 00:01:19.720]  結果就是後面遇到更麻煩的事情
[00:01:19.720 --> 00:01:22.400]  今天用一個故事來做開頭
[00:01:22.400 --> 00:01:26.120]  是一個相當經典的故事,關於豬的
[00:01:26.120 --> 00:01:28.840]  主角同樣有這樣的經驗
[00:01:28.840 --> 00:01:32.120]  就是這個三隻小豬的故事
[00:01:32.120 --> 00:01:34.520]  相信大家對這個故事一點都不陌生
[00:01:34.520 --> 00:01:37.240]  但容許我簡單地說多一次
[00:01:37.240 --> 00:01:41.640]  故事是這樣的,有三隻小豬長大了
[00:01:41.640 --> 00:01:44.320]  說起豬就摸自己的肚腩忍不住了
[00:01:44.320 --> 00:01:48.120]  有三隻小豬長大了,家裡不夠住
[00:01:48.120 --> 00:01:51.240]  不夠住怎麼辦呢?豬媽就叫他們
[00:01:51.240 --> 00:01:54.960]  你們出去,一人建一間屋自己住吧,不夠位你們自己住吧
[00:01:54.960 --> 00:02:00.440]  於是乎,三兄弟就離開他們的豬媽
[00:02:00.440 --> 00:02:02.440]  然後自己建自己的屋
[00:02:02.440 --> 00:02:06.320]  於是乎,第一隻相當敷衍的豬
[00:02:06.320 --> 00:02:10.440]  貪快,貪方便,隨便找些稻草建了一間屋
[00:02:10.440 --> 00:02:14.840]  然後大灰狼就出現了,想吃這個BBQ pork
[00:02:14.840 --> 00:02:19.840]  然後一吹,整間屋就吹走了
[00:02:19.840 --> 00:02:22.920]  然後就去第二隻豬
[00:02:22.920 --> 00:02:26.240]  第二隻豬就好一點,但都怕辛苦
[00:02:26.240 --> 00:02:32.040]  但這隻豬就堅硬一點,用樹枝來建
[00:02:32.040 --> 00:02:35.040]  但大灰狼一吹,就吹不動
[00:02:35.040 --> 00:02:37.440]  但輕輕一撞,就倒塌了
