
[00:00:00.000 --> 00:00:01.480]  親愛的電視節目,早安!
[00:00:01.480 --> 00:00:04.020]  也歡迎第一次來到的新朋友
[00:00:04.020 --> 00:00:07.740]  感謝神透過詩歌給我們很多滿足
[00:00:07.740 --> 00:00:09.100]  特別是中央的滿足
[00:00:09.100 --> 00:00:12.340]  在香港現在這個環境是相當重要的
[00:00:12.340 --> 00:00:14.620]  而其中一種最大的滿足
[00:00:14.620 --> 00:00:17.340]  就是知道我賺多少錢
[00:00:17.340 --> 00:00:18.620]  神也是這麼疼愛我的
[00:00:18.620 --> 00:00:21.200]  因為曾經有一個問題
[00:00:21.200 --> 00:00:23.120]  就是很令人尷尬的
[00:00:23.120 --> 00:00:25.420]  就是你薪金賺多少錢呢?
[00:00:25.420 --> 00:00:28.700]  所以在網上看到很多人都很忌諱去問他
[00:00:28.700 --> 00:00:30.300]  你究竟賺多少錢?
[00:00:30.300 --> 00:00:33.940]  但是另外一個很尷尬的問題是更加嚴重的
[00:00:33.940 --> 00:00:36.180]  你最近有沒有工作呢?
[00:00:36.180 --> 00:00:37.980]  這個更加嚴重
[00:00:37.980 --> 00:00:39.180]  因為你沒有工作
[00:00:39.180 --> 00:00:40.020]  沒有錢賺
[00:00:40.020 --> 00:00:42.020]  整個人都好像被標籤一樣
[00:00:42.020 --> 00:00:44.020]  我記得我自己年輕的時候
[00:00:44.020 --> 00:00:46.140]  有一群識於微時的朋友
[00:00:46.140 --> 00:00:48.220]  這群朋友是很特別的
[00:00:48.220 --> 00:00:51.620]  大家認識的時候都是學生
[00:00:51.620 --> 00:00:54.460]  但是偶爾見面的時候就有些問題
[00:00:54.460 --> 00:00:57.100]  慢慢就會說一下你賺多少錢?
[00:00:57.100 --> 00:00:58.580]  你買什麼車?
[00:00:58.580 --> 00:01:00.140]  你生了孩子了嗎?
[00:01:00.140 --> 00:01:01.340]  你生了孩子
[00:01:01.340 --> 00:01:03.060]  你兒子讀哪一所學校?
[00:01:03.060 --> 00:01:04.540]  我這些人很忌諱的
[00:01:04.540 --> 00:01:06.060]  我這些人賺的錢少
[00:01:06.060 --> 00:01:07.460]  有一段時間還失業
[00:01:07.460 --> 00:01:09.180]  失業的時候
[00:01:09.180 --> 00:01:10.580]  最忌諱的就是
[00:01:10.580 --> 00:01:11.580]  你沒有工作嗎?
[00:01:11.580 --> 00:01:13.540]  今天這頓飯我們請你吃吧
[00:01:13.540 --> 00:01:15.740]  他一番好意
[00:01:15.740 --> 00:01:17.500]  但是我心裡有很多的比較
[00:01:17.500 --> 00:01:19.020]  就覺得很不開心
[00:01:19.020 --> 00:01:21.140]  後來有機會回到一個地方
[00:01:21.140 --> 00:01:22.300]  那裡是有很多愛的
[00:01:22.300 --> 00:01:25.980]  也沒有很多熟悉的比較
[00:01:25.980 --> 00:01:27.780]  令我的心靈很滿足
[00:01:27.780 --> 00:01:30.460]  如果你自己沒有團契的生活
[00:01:30.460 --> 00:01:31.820]  或者你已經結婚了
[00:01:31.820 --> 00:01:34.340]  一對夫婦還沒有合適的團契
[00:01:34.340 --> 00:01:35.620]  有一個團契是挺好的
[00:01:35.620 --> 00:01:37.180]  就是活水抗泥團契
[00:01:37.180 --> 00:01:38.580]  可以介紹給你
[00:01:38.580 --> 00:01:40.300]  我們也開了新人組
[00:01:40.300 --> 00:01:41.300]  可以打去下一張
[00:01:41.300 --> 00:01:42.300]  我們來看看
[00:01:42.300 --> 00:01:45.220]  星期四晚上七點半
[00:01:45.220 --> 00:01:46.220]  是我負責的
[00:01:46.220 --> 00:01:47.180]  關係很好
[00:01:47.180 --> 00:01:48.340]  容易熟絡
[00:01:48.340 --> 00:01:49.300]  友情友誼
[00:01:49.300 --> 00:01:50.420]  侍奉又認真
[00:01:50.420 --> 00:01:51.420]  好,再下一張
[00:01:51.420 --> 00:01:53.300]  新人組已經開始了
[00:01:53.300 --> 00:01:54.860]  七點半到十七樓
[00:01:54.860 --> 00:01:56.980]  一定要夫婦一起參加
[00:01:56.980 --> 00:01:59.660]  在YouTube搜尋「活水抗泥團契」
[00:01:59.660 --> 00:02:01.060]  就會有一個介紹
[00:02:01.060 --> 00:02:02.500]  如果你在YouTube看到一個
[00:02:02.500 --> 00:02:03.740]  要嚴處良務的頻道
[00:02:03.740 --> 00:02:04.740]  就是小弟的頻道
[00:02:04.740 --> 00:02:06.620]  也會講解一下聖經
[00:02:06.620 --> 00:02:08.860]  其實很多的比較
[00:02:08.860 --> 00:02:11.260]  都會令我們生活艱難
[00:02:11.260 --> 00:02:14.140]  但是實質上在聖經以內
[00:02:14.140 --> 00:02:15.180]  或者聖經以外
[00:02:15.180 --> 00:02:17.420]  比較是一個挺好的刺激
[00:02:17.420 --> 00:02:18.660]  去訓練我們
[00:02:18.660 --> 00:02:20.340]  如何過得好一點
[00:02:20.340 --> 00:02:22.300]  甚至如何親近神
[00:02:22.300 --> 00:02:23.380]  今天我們會藉著
[00:02:23.380 --> 00:02:25.660]  《馬太福音》第20章的經文
[00:02:25.660 --> 00:02:27.660]  耶穌所說的一些教導
[00:02:27.660 --> 00:02:28.820]  讓我們思考
[00:02:28.820 --> 00:02:30.020]  究竟如何比較
[00:02:30.020 --> 00:02:31.140]  會刺激到我們
[00:02:31.140 --> 00:02:33.140]  訓練到我們更加認識主
[00:02:33.140 --> 00:02:34.220]  和服侍主
[00:02:34.220 --> 00:02:35.820]  我們一起低頭禱告吧
[00:02:35.820 --> 00:02:37.860]  賜給恩愛的父神
[00:02:37.860 --> 00:02:40.500]  多謝祢讓我們在星期日的早上
[00:02:40.500 --> 00:02:42.060]  我們可以在崇拜裡
[00:02:42.060 --> 00:02:42.820]  親近祢
[00:02:42.820 --> 00:02:44.660]  可以唱詩歌讚美祢
[00:02:44.660 --> 00:02:45.900]  可以聽到祢的話語
[00:02:45.900 --> 00:02:47.180]  可以領聖餐
[00:02:47.180 --> 00:02:49.020]  多謝祢賜給我們這麼多恩典
[00:02:49.020 --> 00:02:50.580]  求主讓我們有謙卑的心
[00:02:50.580 --> 00:02:51.860]  去聆聽祢的話
[00:02:51.860 --> 00:02:52.540]  感謝神
[00:02:52.540 --> 00:02:53.460]  以上祈禱交上
[00:02:53.460 --> 00:02:55.460]  奉耶穌基督名字而求
[00:02:55.620 --> 00:02:56.340]  阿們
[00:02:57.340 --> 00:02:58.420]  在這段經文
[00:02:58.420 --> 00:02:59.420]  第一節這麼說
[00:02:59.420 --> 00:03:01.540]  就是講葡萄園工人的比喻
[00:03:01.540 --> 00:03:03.380]  天國好像一個家主
[00:03:03.380 --> 00:03:04.420]  清早出去
[00:03:04.420 --> 00:03:07.660]  故請工人到他的葡萄園工作
[00:03:07.660 --> 00:03:09.420]  他和工人說定了
[00:03:09.420 --> 00:03:11.420]  一天的工錢是一個銀幣
[00:03:11.420 --> 00:03:13.740]  然後派他們到葡萄園去
[00:03:13.740 --> 00:03:15.020]  大約九點鐘
[00:03:15.020 --> 00:03:16.420]  他又出去
[00:03:16.420 --> 00:03:20.100]  看見還有人行站在街市上
[00:03:20.100 --> 00:03:22.860]  在以前新約聖嬰的年代
[00:03:22.860 --> 00:03:24.380]  其實很多散工
[00:03:24.380 --> 00:03:26.540]  大多數的工作都是散工
[00:03:26.540 --> 00:03:28.180]  那些沒工作的人
[00:03:28.180 --> 00:03:30.780]  清早就出去市集
[00:03:30.780 --> 00:03:33.340]  等候有沒有人那天來聘請
[00:03:33.340 --> 00:03:35.460]  耶穌就講了一個比喻
[00:03:35.460 --> 00:03:37.580]  天國好像一個家主
[00:03:37.580 --> 00:03:40.620]  這個家主是在一個葡萄園
[00:03:40.620 --> 00:03:42.580]  負責種植出產葡萄
[00:03:42.580 --> 00:03:46.300]  他很早天未亮就出去聘請工人
[00:03:46.300 --> 00:03:49.660]  聘請工人到他葡萄園工作
[00:03:49.660 --> 00:03:51.780]  他出的價錢都很貴
[00:03:51.780 --> 00:03:52.380]  第二節
[00:03:52.380 --> 00:03:53.940]  就是一個銀幣
[00:03:53.940 --> 00:03:56.100]  根據一些歷史學家研究
[00:03:56.100 --> 00:03:59.220]  一個銀幣大概是平時工資的一倍
[00:03:59.220 --> 00:04:00.940]  或者以上
[00:04:00.940 --> 00:04:02.940]  他用一個超高價
[00:04:02.940 --> 00:04:07.260]  去一大早聘請工人到葡萄園工作
[00:04:07.260 --> 00:04:09.940]  但第三節他不只出一轉
[00:04:09.940 --> 00:04:11.420]  他再出第二轉
[00:04:11.420 --> 00:04:12.500]  就是九點鐘
[00:04:12.500 --> 00:04:13.340]  他又出去
[00:04:13.340 --> 00:04:16.620]  看見還有人站在街市上
[00:04:16.620 --> 00:04:20.380]  九點鐘如果聘請不到你
[00:04:20.380 --> 00:04:23.620]  你那天很大機會沒工作
[00:04:23.620 --> 00:04:24.580]  沒收入
[00:04:24.580 --> 00:04:27.460]  餓壞自己和餓壞家人
[00:04:27.460 --> 00:04:29.900]  九點鐘是一個很危急的時間
[00:04:29.900 --> 00:04:34.300]  但這個家主本來一大早應該聘請工人
[00:04:34.300 --> 00:04:37.380]  也用超高價去聘請人幫他工作
[00:04:37.380 --> 00:04:40.380]  但他九點鐘又出多一轉
[00:04:40.380 --> 00:04:43.420]  其實他幫工人盡量有工作
[00:04:43.420 --> 00:04:45.820]  有收入令他們有平安
[00:04:45.820 --> 00:04:46.820]  第四節
[00:04:46.820 --> 00:04:47.980]  對他們說
[00:04:47.980 --> 00:04:49.700]  你們有葡萄園內吧
[00:04:49.700 --> 00:04:51.940]  我會給你們合理的工錢
