
[00:00:00.000 --> 00:00:01.800]  為什麼會這麼特別呢?
[00:00:01.800 --> 00:00:03.400]  除了溫暖之外
[00:00:03.400 --> 00:00:09.000]  今天是最後一次的18樓附中崇拜
[00:00:09.000 --> 00:00:13.480]  希望我們能夠在其他堂的崇拜
[00:00:13.480 --> 00:00:16.200]  再敬拜神和見到面
[00:00:16.200 --> 00:00:21.400]  今天是最後一堂崇拜
[00:00:21.400 --> 00:00:23.800]  所以我選了一個題目
[00:00:23.800 --> 00:00:28.600]  就是擴張我的境界和誇張的心態
[00:00:28.600 --> 00:00:30.400]  如何擴張心態呢?
[00:00:30.400 --> 00:00:31.800]  我們一起來看看
[00:00:31.800 --> 00:00:37.000]  聽到之前,我很想掃一下PowerPoint
[00:00:37.000 --> 00:00:38.200]  原來有了,很好
[00:00:38.200 --> 00:00:40.000]  後面那裡沒有,我可不可以看?
[00:00:40.000 --> 00:00:41.200]  掃一下,謝謝
[00:00:41.200 --> 00:00:43.400]  好,這樣這樣
[00:00:43.400 --> 00:00:47.000]  然後我最近看到一個Facebook
[00:00:47.000 --> 00:00:51.000]  說一位跟你同名同姓的人
[00:00:51.000 --> 00:00:53.200]  對你印象很深刻
[00:00:53.200 --> 00:00:56.200]  我就說莫扎特
[00:00:56.200 --> 00:01:00.000]  因為莫扎特姓莫
[00:01:00.000 --> 00:01:02.000]  我中文叫什麼名字?
[00:01:02.000 --> 00:01:03.200]  是莫斯敏
[00:01:03.200 --> 00:01:07.600]  莫扎特一個名人居然跟我同名同姓
[00:01:07.600 --> 00:01:10.200]  當然莫扎特是一個外國人
[00:01:10.200 --> 00:01:11.600]  不是姓莫,是譯音
[00:01:11.600 --> 00:01:14.800]  有人說,我也說莫扎特真的姓莫
[00:01:14.800 --> 00:01:16.200]  居然有人回答我
[00:01:16.200 --> 00:01:22.200]  我覺得香港人很少認識我們的家譜
[00:01:22.200 --> 00:01:26.000]  當然莫扎特不是在我的家譜裡
[00:01:26.000 --> 00:01:30.800]  有沒有當中你認識的種族是有家譜的?
[00:01:30.800 --> 00:01:32.000]  舉手來看看
[00:01:32.000 --> 00:01:34.800]  嘩,厲害,這裡有一位弟兄
[00:01:34.800 --> 00:01:38.600]  應該是出名門才會有家譜的
[00:01:38.600 --> 00:01:40.600]  圍村那些也會有
[00:01:40.600 --> 00:01:45.800]  現在家譜裡出現的人通常是有貢獻的
[00:01:45.800 --> 00:01:48.600]  所以不是人人的名字都放的
[00:01:48.600 --> 00:01:53.400]  可以放的話,一定是有原因和重要的
[00:01:53.400 --> 00:01:58.200]  今天我們也可以用這個觀念去看今天的聖經裡的家譜
[00:01:58.200 --> 00:02:01.800]  我們今天看的經文來自書卷《歷代至上》
[00:02:01.800 --> 00:02:05.000]  當中如果你打開你的聖經
[00:02:05.000 --> 00:02:08.800]  就會看到九章都是家譜,九章連續
[00:02:08.800 --> 00:02:14.600]  很厲害的就是以色列十二個兒子當中的家譜
[00:02:14.600 --> 00:02:17.200]  很重要的,對以色列人來說
[00:02:17.200 --> 00:02:19.400]  對我們來說會怎樣?
[00:02:19.400 --> 00:02:24.400]  你看家譜會不會去OIA觀察一下,解釋一下?
[00:02:24.400 --> 00:02:28.000]  不會,我們通常會跳過家譜的
[00:02:28.000 --> 00:02:30.000]  但是對以色列人來說很重要
[00:02:30.000 --> 00:02:34.200]  尤其是第四章,第四章是猶大的後代
[00:02:34.200 --> 00:02:36.200]  也是君王的後代
[00:02:36.200 --> 00:02:38.200]  第一位君王就是猶大兒出
[00:02:38.200 --> 00:02:41.800]  今天說到的人物也是猶大的後代
[00:02:41.800 --> 00:02:43.600]  如果我們看到PowerPoint
[00:02:43.600 --> 00:02:45.200]  其實我們為什麼會跳過?
[00:02:45.200 --> 00:02:48.800]  就是誰是誰,誰是誰的兒子等等
[00:02:48.800 --> 00:02:52.800]  今天的人物是猶大的眾子之中
[00:02:52.800 --> 00:02:55.800]  他本身是沒有資格放進家譜的
[00:02:55.800 --> 00:03:00.400]  因為他的父親、祖父都沒有在家譜裡面
[00:03:00.400 --> 00:03:05.000]  所以你知道這個人物不是父貧子貴的
[00:03:05.000 --> 00:03:07.400]  也不是有什麼顯赫的身份
[00:03:07.400 --> 00:03:09.800]  也不是贏在起跑線的人
[00:03:09.800 --> 00:03:13.400]  但是他自己,他父親沒有,他祖父沒有
[00:03:13.400 --> 00:03:15.400]  但是他自己就在家譜出現
[00:03:15.400 --> 00:03:17.600]  為什麼這麼奇怪?
[00:03:17.600 --> 00:03:22.400]  並且他的名字告訴大家他是一個苦命的人
[00:03:22.400 --> 00:03:27.000]  跟我們家譜或者很重要的人物才放進去有些分別
[00:03:27.000 --> 00:03:30.000]  不如我們一起讀出今天的經文
[00:03:30.000 --> 00:03:31.600]  很短的,只有兩節
[00:03:31.600 --> 00:03:36.400]  就是《歷代至上》九章九至十節
[00:03:36.400 --> 00:03:40.800]  我們看完經文是和合本
[00:03:40.800 --> 00:03:41.800]  我們預備,請
[00:03:41.800 --> 00:04:07.000]  (文章介紹)
[00:04:07.000 --> 00:04:08.600]  我們一起禱告
[00:04:08.600 --> 00:04:22.600]  (文章介紹)
[00:04:22.600 --> 00:04:26.200]  不少信徒會奇怪
[00:04:26.200 --> 00:04:29.600]  一章連續九章的家譜裡面
[00:04:29.600 --> 00:04:34.200]  突然間出現了兩節夾在中間這麼特別的經文
[00:04:34.200 --> 00:04:36.200]  和這麼特別的人物
[00:04:36.200 --> 00:04:40.200]  剛剛有沒有看到這段經文出現了一個名字
[00:04:40.200 --> 00:04:42.200]  亞比斯,大家很留意到
[00:04:42.200 --> 00:04:44.000]  亞比斯,Jabez
[00:04:44.000 --> 00:04:46.600]  當我們聽到Jabez或者亞比斯的時候
[00:04:46.600 --> 00:04:49.800]  你會不會覺得是一個很好聽的名字
[00:04:49.800 --> 00:04:52.600]  很雅致的,很美麗的
[00:04:52.600 --> 00:04:56.400]  但是如果你知道這個名字的解釋的時候
[00:04:56.400 --> 00:05:00.400]  我想你不會把你兒子的名字叫做亞比斯
[00:05:00.400 --> 00:05:02.400]  但是很奇怪,我真的
[00:05:02.400 --> 00:05:05.200]  你今天現在也可以搜索一下
[00:05:05.200 --> 00:05:11.600]  香港也有一家叫做亞比斯國際金融公司
[00:05:11.600 --> 00:05:12.800]  真的是Jabez的
[00:05:12.800 --> 00:05:17.200]  Group Hong Kong International Limited
[00:05:17.200 --> 00:05:19.600]  可能他不知道原因
[00:05:19.600 --> 00:05:24.000]  當我們看到亞比斯的名字其實和痛苦的原文
[00:05:24.000 --> 00:05:26.200]  最後的字有一點點不同
[00:05:26.200 --> 00:05:28.400]  當人聽到亞比斯的母親怎麼叫
[00:05:28.400 --> 00:05:29.800]  亞比斯,亞比斯
[00:05:29.800 --> 00:05:32.000]  就是說痛苦啊,痛苦啊
[00:05:32.000 --> 00:05:34.400]  當然我們不是女士
[00:05:34.400 --> 00:05:37.400]  我們也知道生孩子是一件很痛苦的事情
[00:05:37.400 --> 00:05:40.800]  但是不知道亞比斯的母親有多痛苦
[00:05:40.800 --> 00:05:44.800]  才會改自己兒子的名字叫做痛苦
[00:05:44.800 --> 00:05:48.600]  亞比斯,我想他帶著這個名字成長的時候
[00:05:48.600 --> 00:05:51.200]  一定會受到很多的遭遇
[00:05:51.200 --> 00:05:54.600]  我不知道你有沒有試過被人讀書的時候
[00:05:54.600 --> 00:05:57.400]  改了花名,有沒有?
[00:05:57.400 --> 00:05:59.600]  我就會改別人的花名
[00:05:59.600 --> 00:06:04.600]  我就不會告訴你那些人改了我的花名
[00:06:04.600 --> 00:06:09.400]  譬如我的同學叫做傑禎
[00:06:09.400 --> 00:06:11.400]  但是他姓沈
[00:06:11.400 --> 00:06:14.600]  會怎樣?會被人說洗傑禎,洗傑禎
