
[00:00:00.000 --> 00:00:01.760]  在今天講到之前
[00:00:01.760 --> 00:00:05.740]  給大家一個小小的題目
[00:00:05.740 --> 00:00:08.220]  刺激一下大家的思維再開始
[00:00:08.220 --> 00:00:11.060]  大家知不知道剛剛一年前左右
[00:00:11.060 --> 00:00:16.820]  本地的樂壇又推出了一首全新的單曲
[00:00:16.820 --> 00:00:18.560]  這首歌很不得了
[00:00:18.560 --> 00:00:22.840]  因為它還榮獲了叱吒樂壇流行榜
[00:00:22.840 --> 00:00:26.140]  2025年的至尊歌曲大獎
[00:00:26.140 --> 00:00:29.140]  在座裡面有沒有弟兄姊妹知道這首是什麼流行曲
[00:00:30.020 --> 00:00:31.840]  嘩 大家這麼厲害
[00:00:31.840 --> 00:00:34.000]  用背部唱情歌
[00:00:34.000 --> 00:00:37.740]  這首歌其實是湯令山先生唱的
[00:00:37.740 --> 00:00:39.720]  用背部唱情歌
[00:00:39.720 --> 00:00:41.560]  最初我老公跟我說這首歌的時候
[00:00:41.560 --> 00:00:42.720]  我覺得很古怪
[00:00:42.720 --> 00:00:44.500]  不過我越聽越喜歡
[00:00:44.500 --> 00:00:48.000]  這首歌正正因為它的名字比較特別
[00:00:48.000 --> 00:00:50.000]  所以也吸引了我的注意力
[00:00:50.000 --> 00:00:53.020]  去認識一下這首歌的歌詞是講什麼的
[00:00:53.020 --> 00:00:56.840]  原來這首歌是講男主角在分手之後
[00:00:56.840 --> 00:00:58.400]  嘩 很傷痛
[00:00:58.400 --> 00:01:01.800]  他不能夠再面向觀眾去唱情歌了
[00:01:01.800 --> 00:01:03.280]  於是怎麼樣呢
[00:01:03.280 --> 00:01:04.960]  只能夠轉身
[00:01:04.960 --> 00:01:09.960]  用背部來唱出很傷感心酸的情歌
[00:01:09.960 --> 00:01:13.300]  呈現出一種背人垂淚的畫面
[00:01:13.300 --> 00:01:16.460]  是不是很感動和很傷痛
[00:01:16.460 --> 00:01:21.400]  這種很傷痛破碎的心情而流露的愛
[00:01:21.400 --> 00:01:24.680]  其實絕對不是今時今日的專利
[00:01:24.680 --> 00:01:28.380]  因為原來回到2000年前在聖經裡面
[00:01:28.380 --> 00:01:33.680]  早就已經流露了一種很心酸心痛破碎的愛
[00:01:33.680 --> 00:01:37.020]  這個愛正正就好像剛才的詩歌那樣說
[00:01:37.020 --> 00:01:39.400]  出自我們的主耶穌基督
[00:01:39.400 --> 00:01:42.380]  今天我就很想藉著新約裡面
[00:01:42.380 --> 00:01:45.500]  約翰福音十三章一節五節這段經文
[00:01:45.500 --> 00:01:49.480]  就是藉著主耶穌昔日怎樣透過洗腳的行動
[00:01:49.480 --> 00:01:51.080]  好像唱著情歌一樣
[00:01:51.080 --> 00:01:53.280]  用洗腳唱情歌
[00:01:53.280 --> 00:01:55.440]  流露出祂多向度的愛
[00:01:55.440 --> 00:01:57.920]  我們先來讀出經文好不好
[00:01:57.920 --> 00:02:00.940]  請大家幫我讀出和諧本版本的經文
[00:02:00.940 --> 00:02:03.860]  約翰福音十三章一節五節
[00:02:03.860 --> 00:02:05.080]  請讀
[00:02:05.080 --> 00:02:07.040]  如月節以前
[00:02:07.040 --> 00:02:12.060]  耶穌知道自己離世歸附的時候到了
[00:02:12.060 --> 00:02:15.620]  祂既然愛世間屬自己的人
[00:02:15.620 --> 00:02:18.080]  就愛他們到底
[00:02:18.080 --> 00:02:20.300]  吃晚飯的時候
[00:02:20.300 --> 00:02:23.580]  魔鬼已將賣耶穌的義士
[00:02:23.580 --> 00:02:26.100]  放在西門的義子
[00:02:26.100 --> 00:02:28.900]  加略人猶大心裡
[00:02:28.900 --> 00:02:34.160]  耶穌知道父已將萬有交在他手裡
[00:02:34.160 --> 00:02:38.100]  且知道自己是從神出來的
[00:02:38.100 --> 00:02:41.080]  又要歸到神那裡去
[00:02:41.080 --> 00:02:46.840]  就離席站起來脫了衣服
[00:02:46.840 --> 00:02:48.040]  縮腰
[00:02:48.040 --> 00:02:51.300]  隨後把水倒在盆裡
[00:02:51.300 --> 00:02:53.660]  就洗門徒的腳
[00:02:53.660 --> 00:02:58.540]  並用自己所束的手筋擦乾
[00:02:58.540 --> 00:02:59.460]  不好意思
[00:02:59.460 --> 00:03:01.040]  太快了
[00:03:01.040 --> 00:03:04.260]  接下來很想和大家一起剖析這段經文
[00:03:04.260 --> 00:03:06.140]  不過想讓大家知道
[00:03:06.140 --> 00:03:08.860]  原來剛才你讀的聖經非常不得了
[00:03:08.860 --> 00:03:11.500]  因為打從十三章的第一節
[00:03:11.500 --> 00:03:15.540]  這一節是一個非常重要的約翰福音的分水嶺
[00:03:15.540 --> 00:03:16.700]  為什麼這樣說呢
[00:03:16.700 --> 00:03:20.380]  因為一般來說如果要將約翰福音切開兩半
[00:03:20.380 --> 00:03:24.620]  正正的切割位就會在十三章的第一節
[00:03:24.620 --> 00:03:27.820]  我們來看一看螢幕裡顯示的圖表
[00:03:27.820 --> 00:03:29.300]  大概讓我們看到
[00:03:29.300 --> 00:03:32.740]  十三章一節幫助約翰福音切開兩部分
[00:03:32.740 --> 00:03:34.300]  一至十二章
[00:03:34.300 --> 00:03:35.700]  主要的內容就是
[00:03:35.700 --> 00:03:39.420]  一般學者稱它為神跡或者記號之樹
[00:03:39.420 --> 00:03:40.140]  為什麼呢
[00:03:40.140 --> 00:03:43.140]  因為十二章的內容主要記載了主耶穌
[00:03:43.140 --> 00:03:46.020]  祂用七個神跡記號代表性
[00:03:46.020 --> 00:03:48.700]  來啟示出祂就是神的義子
[00:03:48.700 --> 00:03:50.420]  而接著由十三章一節
[00:03:50.420 --> 00:03:53.060]  就是剛才大家一開始讀的經文開始
[00:03:53.060 --> 00:03:54.780]  直到去二十一章
[00:03:54.780 --> 00:03:57.980]  學者們通常稱它為榮耀之樹
[00:03:57.980 --> 00:03:58.780]  為什麼呢
[00:03:58.780 --> 00:04:01.980]  一連串的發生的愛的行動
[00:04:01.980 --> 00:04:04.180]  無論是主耶穌為門徒洗腳
[00:04:04.180 --> 00:04:05.260]  最後晚餐
[00:04:05.260 --> 00:04:08.460]  長長的離別臨別的講論
[00:04:08.460 --> 00:04:10.140]  還有大祭司的祈禱
[00:04:10.140 --> 00:04:13.220]  接著被捉拿受苦埋葬
[00:04:13.220 --> 00:04:16.620]  甚至之後復活顯現聖天
[00:04:16.620 --> 00:04:20.500]  一連串愛的行動就是要表露上帝的榮耀
[00:04:20.500 --> 00:04:24.020]  耶穌是神義子應當有的榮耀
[00:04:24.020 --> 00:04:27.940]  當我們大概理解了約翰福音之後
[00:04:27.940 --> 00:04:31.380]  今天進入的經文就是非比尋常
[00:04:31.380 --> 00:04:34.100]  因為正正是這個新階段
[00:04:34.100 --> 00:04:36.620]  整個約翰福音下半部分的開始
[00:04:36.620 --> 00:04:41.060]  而今天如果我們只是看洗腳的話
[00:04:41.060 --> 00:04:43.340]  大家就不要誤會了
[00:04:43.340 --> 00:04:46.740]  因為洗腳整傳的記載
[00:04:46.740 --> 00:04:49.700]  是去到十三章十七節
[00:04:49.700 --> 00:04:52.300]  但你見到剛才只是讀到第五節
[00:04:52.300 --> 00:04:54.780]  因為我會跳過了
[00:04:54.780 --> 00:04:56.940]  包括到洗彼得的時候
[00:04:56.940 --> 00:04:58.580]  彼得和耶穌的對話
[00:04:58.580 --> 00:05:00.620]  甚至之後耶穌現身的講論
[00:05:00.620 --> 00:05:01.940]  我都是跳過的
