
[00:00:00.000 --> 00:00:03.720]  今日的講道經文是列王紀夏
[00:00:03.720 --> 00:00:07.040]  六章一到二十三節
[00:00:07.040 --> 00:00:10.320]  主角是先知以利沙
[00:00:10.320 --> 00:00:14.200]  下一個主日會由我師父詹牧師
[00:00:14.200 --> 00:00:16.920]  講以利沙的師父以利亞
[00:00:16.920 --> 00:00:18.920]  先預告一點
[00:00:18.920 --> 00:00:22.520]  以利沙除了是先知之外
[00:00:22.520 --> 00:00:26.560]  意思是將神的訊息傳遞出來
[00:00:26.560 --> 00:00:28.800]  他也是一位先見
[00:00:28.800 --> 00:00:30.040]  是一位師
[00:00:30.040 --> 00:00:33.960]  他能夠看得到神給他要看的東西
[00:00:33.960 --> 00:00:38.120]  經文列王紀夏六章一至二十三節
[00:00:38.120 --> 00:00:41.160]  就讓我們一會兒一起來看看
[00:00:41.160 --> 00:00:42.440]  這個也是先知
[00:00:42.440 --> 00:00:44.800]  也是先見的以利沙
[00:00:44.800 --> 00:00:47.400]  他怎樣引導他的門徒
[00:00:47.400 --> 00:00:50.000]  從眼裡只看到
[00:00:50.000 --> 00:00:53.160]  擺起目前生活逼人的危機
[00:00:53.160 --> 00:00:55.880]  和生命受到威脅的危機
[00:00:55.880 --> 00:00:59.360]  從而看到神開他們眼睛之後
[00:00:59.360 --> 00:01:02.480]  要他們看到另一個境界
[00:01:02.480 --> 00:01:05.400]  因著他們的眼睛被打開
[00:01:05.400 --> 00:01:08.160]  就有從前屬靈的眼瞎
[00:01:08.160 --> 00:01:10.440]  到親眼的看見
[00:01:10.440 --> 00:01:11.960]  生命的危機
[00:01:11.960 --> 00:01:17.160]  原來都可以化為一個契機
[00:01:17.160 --> 00:01:20.760]  化危機為契機第一個最重要的關鍵
[00:01:20.760 --> 00:01:25.480]  就是我們要主動去回應我們身邊的需要
[00:01:25.480 --> 00:01:31.080]  讓我們一起讀出經文六章一到七節
[00:01:31.080 --> 00:01:33.280]  我想先邀請弟兄
[00:01:33.280 --> 00:01:36.120]  跟我們讀出一至四節上
[00:01:36.120 --> 00:01:37.440]  請弟兄
[00:01:37.440 --> 00:01:41.160]  眾先知門徒對以利沙說
[00:01:41.160 --> 00:01:42.160]  請看
[00:01:42.160 --> 00:01:46.360]  我們在你面前居住的那一個地方
[00:01:46.360 --> 00:01:50.520]  對我們來說實在是太窄小了
[00:01:50.520 --> 00:01:53.560]  請你讓我們到約旦河
[00:01:53.560 --> 00:01:57.160]  每人從那裡取一根木頭
[00:01:57.160 --> 00:02:02.760]  我們要在那裡為自己建造一個地方居住
[00:02:02.760 --> 00:02:04.120]  以利沙說
[00:02:04.120 --> 00:02:05.640]  你們去吧
[00:02:05.640 --> 00:02:07.560]  有一個門徒說
[00:02:07.560 --> 00:02:11.040]  請你和你的僕人們一起去
[00:02:11.040 --> 00:02:12.040]  他說
[00:02:12.040 --> 00:02:13.400]  我會去的
[00:02:13.400 --> 00:02:17.520]  他就和他們同去
[00:02:17.520 --> 00:02:19.120]  請姐妹
[00:02:19.120 --> 00:02:21.400]  他們到了約旦河
[00:02:21.400 --> 00:02:23.400]  就斬伐樹木
[00:02:23.400 --> 00:02:24.960]  有一個門徒
[00:02:24.960 --> 00:02:27.280]  砍伐木頭的時候
[00:02:27.280 --> 00:02:30.160]  斧頭掉到水裡去了
[00:02:30.160 --> 00:02:31.840]  他就喊著說
[00:02:31.840 --> 00:02:32.760]  慘了
