
[00:00:00.000 --> 00:00:02.560]  踏入2026年
[00:00:02.560 --> 00:00:03.480]  我想問一下
[00:00:03.480 --> 00:00:06.000]  有沒有人是1月份生日的?
[00:00:06.000 --> 00:00:07.000]  請舉手
[00:00:07.000 --> 00:00:08.440]  咦?
[00:00:08.440 --> 00:00:09.160]  有沒有?
[00:00:09.160 --> 00:00:11.120]  咦?有喎
[00:00:11.120 --> 00:00:12.480]  好,哇,好呀
[00:00:12.480 --> 00:00:14.640]  有沒有人是今天生日的?
[00:00:14.640 --> 00:00:19.480]  有喎,生日快樂
[00:00:19.480 --> 00:00:23.240]  對了
[00:00:23.240 --> 00:00:25.280]  不知道大家生日
[00:00:25.280 --> 00:00:28.320]  這麼好,生日都回崇拜
[00:00:28.320 --> 00:00:31.040]  回完崇拜再慶祝
[00:00:31.040 --> 00:00:33.200]  不知道大家生日的時候
[00:00:33.200 --> 00:00:34.720]  有沒有許願?
[00:00:34.720 --> 00:00:36.880]  有沒有?
[00:00:36.880 --> 00:00:39.720]  有沒有吹蠟燭之前許願?
[00:00:39.720 --> 00:00:41.720]  通常會許什麼願?
[00:00:41.720 --> 00:00:45.000]  哦,好
[00:00:45.000 --> 00:00:47.240]  記得我小時候
[00:00:47.240 --> 00:00:49.520]  我經常會許一個願
[00:00:49.520 --> 00:00:51.520]  不知道大家能否猜到?
[00:00:51.520 --> 00:00:56.160]  世界和平
[00:00:57.440 --> 00:00:59.360]  是的,不知道為什麼
[00:00:59.360 --> 00:01:02.480]  會為世界和平去祈禱
[00:01:02.480 --> 00:01:03.840]  長大之後
[00:01:03.840 --> 00:01:05.880]  願望就變得實際了一些
[00:01:05.880 --> 00:01:07.080]  剛才有人說了
[00:01:07.080 --> 00:01:10.040]  要為身體健康
[00:01:10.040 --> 00:01:14.640]  願望一直都是我們生存的動力
[00:01:14.640 --> 00:01:16.640]  例如我們工作
[00:01:16.640 --> 00:01:20.160]  我們就是因為很想保住飯碗
[00:01:20.160 --> 00:01:22.760]  所以就算多麼辛苦
[00:01:22.760 --> 00:01:24.480]  要受氣
[00:01:24.480 --> 00:01:25.520]  或者開OT
[00:01:25.520 --> 00:01:27.520]  我們都無所謂的
[00:01:27.520 --> 00:01:29.800]  或者好像父母
[00:01:29.800 --> 00:01:32.760]  他們很想望子成龍
[00:01:32.760 --> 00:01:37.320]  所以他們就算傾盡自己的心血
[00:01:37.320 --> 00:01:40.760]  無論是錢、金錢、時間
[00:01:40.760 --> 00:01:42.400]  都要給最好的
[00:01:42.400 --> 00:01:44.160]  給他的子女
