
[00:00:00.000 --> 00:00:06.360]  今天我們要思考的經文是記載於十章的十九至三十九節
[00:00:06.360 --> 00:00:09.800]  我給你一個題目就是要激活你的信仰
[00:00:09.800 --> 00:00:10.960]  就是要啟動你的信仰
[00:00:10.960 --> 00:00:12.800]  不知道你激活了沒有
[00:00:12.800 --> 00:00:14.800]  嗯,好
[00:00:14.800 --> 00:00:16.800]  那我想問一下大家
[00:00:16.800 --> 00:00:20.600]  你自己是否知道你手機裏面
[00:00:20.600 --> 00:00:22.800]  究竟裝了多少個應用程式
[00:00:22.800 --> 00:00:23.800]  你知不知道?
[00:00:23.800 --> 00:00:26.400]  不知道的,總之有很多版本,對吧?
[00:00:26.400 --> 00:00:29.000]  其實也可以知道的
[00:00:29.000 --> 00:00:33.400]  我們試一下計算一下
[00:00:33.400 --> 00:00:37.200]  手機一頁就顯示20個應用程式
[00:00:37.200 --> 00:00:38.800]  20個應用程式是一頁
[00:00:38.800 --> 00:00:41.600]  那如果你看一下,我也有5頁
[00:00:41.600 --> 00:00:42.400]  那即是多少?
[00:00:42.400 --> 00:00:44.400]  就是100個應用程式
[00:00:44.400 --> 00:00:46.600]  那我想問一下,弟兄姊妹
[00:00:46.600 --> 00:00:47.800]  你的手機裏面
[00:00:47.800 --> 00:00:51.400]  你印象中有沒有5頁的應用程式?
[00:00:51.400 --> 00:00:54.400]  揭揭揭都沒有的,有些沒有
[00:00:54.400 --> 00:00:55.400]  有沒有一些有的?
[00:00:55.400 --> 00:00:58.000]  有些多一點,對吧?
[00:00:58.000 --> 00:01:00.000]  嗯
[00:01:00.000 --> 00:01:03.600]  我又想問一下大家
[00:01:03.600 --> 00:01:08.400]  究竟你平日會用到多少應用程式?
[00:01:08.400 --> 00:01:10.400]  應該是一頁左右,對吧?
[00:01:10.400 --> 00:01:12.000]  即是20個應用程式左右
[00:01:12.000 --> 00:01:14.400]  網上就有調查說
[00:01:14.400 --> 00:01:18.600]  一般人經常啟動的應用程式
[00:01:18.600 --> 00:01:19.400]  有些甚麼呢?
[00:01:19.400 --> 00:01:23.000]  第一就是YouTube,對吧?
[00:01:23.000 --> 00:01:25.000]  是一定要看的
[00:01:25.000 --> 00:01:27.600]  如果你在地鐵上就知道的了
[00:01:27.600 --> 00:01:30.200]  或者有些小紅書
[00:01:30.200 --> 00:01:35.400]  Facebook、IG、天文台、九巴、城巴、港鐵
[00:01:35.400 --> 00:01:37.000]  不同銀行的應用程式
[00:01:37.000 --> 00:01:38.600]  大概你這樣數一數
[00:01:38.600 --> 00:01:41.000]  都有15到20個左右
[00:01:41.000 --> 00:01:43.200]  那我就看看我自己的手機
[00:01:43.200 --> 00:01:43.800]  檢查一下
[00:01:43.800 --> 00:01:48.800]  嘩!你猜我有多少頁應用程式?
[00:01:48.800 --> 00:01:51.400]  是有10頁
[00:01:51.400 --> 00:01:52.800]  10頁
[00:01:52.800 --> 00:01:54.600]  我都沒有想過有這麼多
[00:01:54.600 --> 00:01:57.000]  一直在滾動,還沒有完
[00:01:57.000 --> 00:01:59.000]  不知不覺就自動
[00:01:59.000 --> 00:02:02.400]  我這個貪多但不務得的人
[00:02:02.400 --> 00:02:03.600]  原來裝一下
[00:02:03.600 --> 00:02:05.000]  因為不花錢
[00:02:05.000 --> 00:02:07.600]  這個朋友說這個好
[00:02:07.600 --> 00:02:09.600]  好,就馬上按了
[00:02:09.600 --> 00:02:11.800]  好了,就裝了200個應用程式
[00:02:11.800 --> 00:02:15.800]  正如剛才所說的網上調查一樣
[00:02:15.800 --> 00:02:19.200]  真的啟動了它
[00:02:19.200 --> 00:02:22.000]  我看回真的有20個左右
[00:02:22.000 --> 00:02:27.800]  大概只用到十分之一
[00:02:27.800 --> 00:02:32.000]  十分之九除了裝一下
[00:02:32.000 --> 00:02:33.600]  從來沒有啟動過
[00:02:33.600 --> 00:02:36.000]  也沒有用過
[00:02:36.000 --> 00:02:37.800]  這100多個應用程式
[00:02:37.800 --> 00:02:39.400]  由於沒有啟動過
[00:02:39.400 --> 00:02:41.000]  在我手機裡
[00:02:41.000 --> 00:02:44.600]  其實都變成一個裝飾品
[00:02:44.600 --> 00:02:47.400]  好像裝了就等於適用
[00:02:47.400 --> 00:02:48.800]  很多在這裡
[00:02:48.800 --> 00:02:54.400]  鼎姐妹,信仰對你來說會否有相似的地方?
[00:02:54.400 --> 00:02:56.000]  雖然我們知道很多
[00:02:56.000 --> 00:03:01.600]  但平日我們是否在生活裡都會啟動它們?
[00:03:01.600 --> 00:03:05.000]  今天我們去看的經文《希伯來書》
[00:03:05.000 --> 00:03:08.600]  裡頭十章十九至三十九節
[00:03:08.600 --> 00:03:11.400]  作者向當時的讀者
[00:03:11.400 --> 00:03:15.600]  和我們今天說一個很重要的訊息
[00:03:15.600 --> 00:03:17.400]  是什麼訊息?
