
[00:00:00.000 --> 00:00:03.640]  今日宣講的講題是「風林火山」
[00:00:03.640 --> 00:00:08.160]  所宣講的經文是哈蓋書的一至二章部分的節錄
[00:00:08.160 --> 00:00:12.040]  只可讓我們一起同心大聲讀出神的話語
[00:00:12.040 --> 00:00:17.600]  哈蓋書一至二章我們選用的是和合本的聖經版本
[00:00:17.600 --> 00:00:20.000]  哈蓋書的第一章
[00:00:20.000 --> 00:00:23.960]  大利烏王第二年六月初一日
[00:00:23.960 --> 00:00:31.960]  耶和華的話直先知哈蓋向猶大省長撒拉鐵的兒子所羅巴巴
[00:00:31.960 --> 00:00:37.080]  和約薩達的兒子大祭司約書亞說
[00:00:37.080 --> 00:00:39.960]  萬君知耶和華如此說
[00:00:39.960 --> 00:00:46.640]  這百姓說建造者我的殿在後尚未到來
[00:00:46.640 --> 00:00:52.120]  那時耶和華的話臨到先知哈蓋說
[00:00:52.120 --> 00:00:54.440]  這殿仍然荒涼
[00:00:54.440 --> 00:00:58.840]  你們自己還住天花板的房屋嗎?
[00:00:58.840 --> 00:01:02.560]  現在耶和華如此說
[00:01:02.560 --> 00:01:06.120]  你們要省察自己的行為
[00:01:06.120 --> 00:01:10.320]  你們殺的眾多收的卻少
[00:01:10.320 --> 00:01:13.000]  你們吃卻不得飽
[00:01:13.000 --> 00:01:15.040]  喝卻不得足
[00:01:15.040 --> 00:01:17.680]  穿衣服卻不得暖
[00:01:17.680 --> 00:01:23.040]  得工錢的將工錢藏在破漏的囊中
[00:01:23.040 --> 00:01:25.840]  萬君知耶和華如此說
[00:01:25.840 --> 00:01:29.080]  你們要省察自己的行為
[00:01:29.080 --> 00:01:32.200]  你們要上山取木材
[00:01:32.200 --> 00:01:34.120]  建造者的殿
[00:01:34.120 --> 00:01:38.240]  我就因此喜樂且得榮耀
[00:01:38.240 --> 00:01:40.680]  這是耶和華說的
[00:01:40.680 --> 00:01:44.800]  你們盼望多得所得的卻少
[00:01:44.800 --> 00:01:48.600]  你們收到家中我就吹去
[00:01:48.600 --> 00:01:50.720]  這是為什麼呢?
[00:01:50.720 --> 00:01:52.960]  因為我的殿荒涼
[00:01:52.960 --> 00:01:56.600]  你們各人卻顧自己的房屋
[00:01:56.600 --> 00:02:00.360]  這是萬君耶和華說的
[00:02:00.360 --> 00:02:03.320]  所以為你們的緣故
[00:02:03.320 --> 00:02:05.560]  天就不降甘露
[00:02:05.560 --> 00:02:08.080]  地也不出土產
[00:02:08.080 --> 00:02:11.040]  我命乾旱臨到土地
[00:02:11.040 --> 00:02:15.120]  山崗、五谷、新走和遊
[00:02:15.120 --> 00:02:17.240]  並地上的出產
[00:02:17.240 --> 00:02:19.160]  人民速生速
[00:02:19.160 --> 00:02:22.840]  以及人手一切勞碌得來的
[00:02:22.840 --> 00:02:26.520]  那時撒拉鐵的兒子所羅巴巴
[00:02:26.520 --> 00:02:30.640]  和約撒塔的兒子大祭司約書也
[00:02:30.640 --> 00:02:32.600]  並剩下的百姓
[00:02:32.600 --> 00:02:36.280]  都聽從耶和華他們神的話
[00:02:36.280 --> 00:02:42.360]  和先知哈該奉耶和華他們神差來所說的話
[00:02:42.360 --> 00:02:46.960]  百姓也在耶和華面前傳敬畏的心
