
[00:00:00.000 --> 00:00:06.400]  今次是一月,我希望可以多點來這裡講道
[00:00:06.400 --> 00:00:10.200]  因為我預備了一套很好的講道
[00:00:10.200 --> 00:00:14.400]  就是教會下一季,應該是幾個月後
[00:00:14.400 --> 00:00:17.000]  三、四月後,講完馬可福音
[00:00:17.000 --> 00:00:19.000]  你知道講什麼書嗎?
[00:00:19.000 --> 00:00:22.000]  講完馬可之後講什麼嗎?
[00:00:22.000 --> 00:00:25.400]  《異忽所書》,有六章
[00:00:25.400 --> 00:00:31.000]  所以我習慣喜歡一篇就講一次,講六次
[00:00:31.000 --> 00:00:34.400]  今次我就開始講《異忽所書》第一章
[00:00:34.400 --> 00:00:36.400]  我們一起做祈禱
[00:00:36.400 --> 00:00:39.400]  親愛的天父,我們滿心感謝,讚美你
[00:00:39.400 --> 00:00:41.200]  主人來到新年的時候
[00:00:41.200 --> 00:00:44.400]  雖然我們聽到很多消息不利
[00:00:44.400 --> 00:00:46.400]  但主人會記得我們是蒙福的人
[00:00:46.400 --> 00:00:48.400]  我們更加蒙福
[00:00:48.400 --> 00:00:52.400]  我們都要祝福其他人
[00:00:52.400 --> 00:00:55.200]  教會也好,香港也好,全世界也好
[00:00:55.200 --> 00:00:57.200]  主人你是愛我們的
[00:00:57.200 --> 00:01:00.400]  就是你心裡沒有一個難事
[00:01:00.400 --> 00:01:03.400]  就是你心裡知道萬事
[00:01:03.400 --> 00:01:08.400]  我們祈禱奉主,基督耶穌,明求阿門
[00:01:08.400 --> 00:01:15.400]  第一個PPT,你們看過這套戲沒有?
[00:01:15.400 --> 00:01:20.400]  這套戲叫《Footloor on the Roof》
[00:01:21.400 --> 00:01:25.400]  《屋頂的小提琴師》
[00:01:25.400 --> 00:01:29.400]  誰看過就舉手,舉手就中計了
[00:01:29.400 --> 00:01:32.400]  舉手就很老了,因為那個年代
[00:01:32.400 --> 00:01:35.400]  這個很多人很喜歡的
[00:01:35.400 --> 00:01:39.400]  就是講猶太人在俄羅斯生活
[00:01:39.400 --> 00:01:44.400]  在俄羅斯生活,這班猶太人是保守的
