
[00:00:00.000 --> 00:00:02.520]  剛才那首詩歌《在你手中》
[00:00:02.520 --> 00:00:05.940]  正正就是我今天要跟大家分享的
[00:00:05.940 --> 00:00:08.520]  《正道經文》詩篇十六篇
[00:00:08.520 --> 00:00:11.020]  這首歌的曲調是怎樣的
[00:00:11.020 --> 00:00:13.280]  很輕快、很喜樂
[00:00:13.280 --> 00:00:15.880]  在你面前有滿足的喜樂
[00:00:15.880 --> 00:00:18.480]  在你右手有永遠的福樂
[00:00:18.480 --> 00:00:21.440]  好像講到詩人過著一些很喜樂
[00:00:21.440 --> 00:00:24.640]  很有福、很暢快的人生
[00:00:24.640 --> 00:00:26.760]  是不是這樣呢
[00:00:26.760 --> 00:00:30.760]  這首詩的標題是
[00:00:30.760 --> 00:00:36.000]  大衛的金詩為信心穩固而祈禱
[00:00:36.000 --> 00:00:40.240]  什麼時候需要為信心穩固而祈禱呢?
[00:00:40.240 --> 00:00:42.200]  信心很安穩的時候嗎?
[00:00:42.200 --> 00:00:43.200]  當然不是
[00:00:43.200 --> 00:00:46.880]  通常信心不安穩、信心動搖的時候
[00:00:46.880 --> 00:00:50.920]  你就需要為自己的信心去禱告
[00:00:50.920 --> 00:00:54.600]  詩篇的作者一般我們理解是大衛
[00:00:54.600 --> 00:00:59.080]  大衛當時在這首詩的背景是
[00:00:59.080 --> 00:01:01.880]  他被掃羅追殺
[00:01:01.880 --> 00:01:04.080]  大衛要離開自己的地方
[00:01:04.080 --> 00:01:06.640]  逃亡到外邦之地
[00:01:06.640 --> 00:01:09.080]  在那裡大衛逃難
[00:01:09.080 --> 00:01:12.280]  面對的是死亡危險的威脅
[00:01:12.280 --> 00:01:14.240]  他要找地方躲藏
[00:01:14.240 --> 00:01:15.760]  很需要人幫助自己
[00:01:15.760 --> 00:01:17.240]  但又不知道找哪些人
[00:01:17.240 --> 00:01:20.960]  究竟幫助他的人是幫自己還是出賣自己的人
[00:01:20.960 --> 00:01:24.360]  有時是敵是友真的很難去分辨
[00:01:24.360 --> 00:01:26.480]  當時大衛一無所有
[00:01:26.480 --> 00:01:29.840]  有的只有他所相信的神
[00:01:29.840 --> 00:01:32.680]  他相信這位神是可以幫助自己
[00:01:32.680 --> 00:01:34.680]  可以幫助自己死裡逃生
[00:01:34.680 --> 00:01:38.040]  神是唯一的倚靠
[00:01:38.040 --> 00:01:40.720]  讓我們一起進入到經文
[00:01:40.720 --> 00:01:44.600]  我們一起慢慢讀出這十一節
[00:01:44.600 --> 00:01:45.720]  開始
[00:01:45.720 --> 00:01:48.680]  神啊,求祢保佑我
[00:01:48.680 --> 00:01:50.920]  因為我投靠祢
[00:01:50.920 --> 00:01:52.920]  我曾對耶和華說
[00:01:52.920 --> 00:01:54.720]  祢是我的主
[00:01:54.720 --> 00:01:57.920]  我的福氣唯獨從祢而來
[00:01:57.920 --> 00:02:00.040]  論道世上的聖民
[00:02:00.040 --> 00:02:02.240]  他們是尊貴的人
[00:02:02.240 --> 00:02:04.600]  是我最喜悅的
[00:02:04.600 --> 00:02:06.400]  追逐別神的
[00:02:06.400 --> 00:02:09.080]  他們的受苦必增加
[00:02:09.080 --> 00:02:11.120]  他們所曉見的缺
[00:02:11.120 --> 00:02:12.760]  我不獻上
[00:02:12.760 --> 00:02:16.320]  我嘴上也不提及別神的名號
[00:02:16.320 --> 00:02:18.480]  耶和華是我的產業
[00:02:18.480 --> 00:02:20.680]  是我杯中的福分
[00:02:20.680 --> 00:02:21.920]  我所得的
[00:02:21.920 --> 00:02:24.280]  祢為我持守
[00:02:24.280 --> 00:02:26.960]  用聖糧給我的地帶
[00:02:26.960 --> 00:02:29.440]  在獨在皆美之處
[00:02:29.440 --> 00:02:32.240]  我的產業實在美好
[00:02:32.240 --> 00:02:35.600]  我要稱頌那指引我的耶和華
[00:02:35.600 --> 00:02:39.720]  在夜間我的心牆也指教我
[00:02:39.720 --> 00:02:42.960]  我讓耶和華上在我面前
[00:02:42.960 --> 00:02:45.000]  因祂在我右邊
[00:02:45.000 --> 00:02:47.160]  我就不自動搖
[00:02:47.160 --> 00:02:49.400]  因此我心歡喜
[00:02:49.400 --> 00:02:51.120]  我的靈快樂
[00:02:51.120 --> 00:02:54.800]  我的肉身也要安然居住
[00:02:54.800 --> 00:02:59.000]  因為祢必不將我的靈魂撇在陰間
[00:02:59.000 --> 00:03:02.800]  也不讓你的聖者見地府
[00:03:02.800 --> 00:03:05.680]  將生命的道路指引我
[00:03:05.680 --> 00:03:08.680]  在祢有足的喜樂
[00:03:08.680 --> 00:03:12.000]  在祢有手有永遠的福樂
[00:03:12.000 --> 00:03:13.480]  嗯 好
[00:03:13.480 --> 00:03:17.440]  我會將這首詩篇分為兩個段落
[00:03:17.440 --> 00:03:19.480]  第一個段落是一至六節
[00:03:19.480 --> 00:03:21.720]  接著是七至十一節
[00:03:21.720 --> 00:03:24.120]  在第一個段落我給它一個標題
[00:03:24.120 --> 00:03:26.120]  我生命投靠
[00:03:26.120 --> 00:03:29.560]  因為神可靠
[00:03:29.560 --> 00:03:35.560]  在第一節當大衛在很凶險的環境中
[00:03:35.560 --> 00:03:37.600]  他劈頭第一句是
