
[00:00:00.000 --> 00:00:02.000]  各位鼎姊妹早安
[00:00:02.000 --> 00:00:08.560]  很感恩今天是我第二次來北區堂參與崇拜
[00:00:08.560 --> 00:00:16.120]  今天是第一次在新堂內跟大家分享神自己的說話
[00:00:16.120 --> 00:00:24.640]  我想問大家有沒有發覺近年AI都很普及
[00:00:24.640 --> 00:00:33.360]  我想做一個調查想問大家在座當中有哪一位已經開始使用AI
[00:00:33.360 --> 00:00:35.360]  可不可以舉手給我看到
[00:00:35.360 --> 00:00:41.320]  都有一部份未使用
[00:00:41.320 --> 00:00:50.040]  早前我走過一間商店看到我想買的一個網球
[00:00:50.040 --> 00:00:55.720]  網球不是因為我要打網球而是因為我有其他用途
[00:00:55.720 --> 00:00:59.840]  當時我看到只有兩隻牌子
[00:00:59.840 --> 00:01:07.240]  我就問售貨員究竟哪個牌子比較好用
[00:01:07.240 --> 00:01:09.240]  通常售貨員會怎樣說
[00:01:09.240 --> 00:01:13.320]  兩隻都是一樣好
[00:01:13.320 --> 00:01:17.480]  我始終覺得一定有些不同
[00:01:17.480 --> 00:01:20.400]  於是我得不到答案後
[00:01:20.400 --> 00:01:24.560]  我就拿起手機去問AI
[00:01:24.560 --> 00:01:32.000]  問完AI後他很詳細告訴我有什麼優點和缺點
[00:01:32.000 --> 00:01:35.200]  於是我就知道自己需要什麼
[00:01:35.200 --> 00:01:37.200]  我就去買了
[00:01:37.200 --> 00:01:42.040]  我發覺AI確實幫助我們很多人
[00:01:42.040 --> 00:01:48.040]  去解決一些問題或不懂的事都可以問AI
[00:01:48.040 --> 00:01:52.160]  好像我們在團契開會的時候
[00:01:52.160 --> 00:01:56.760]  早前已經有一個弟兄很喜歡
[00:01:56.760 --> 00:02:02.400]  開會的時候通常要寫會議紀錄
[00:02:02.400 --> 00:02:05.360]  為了方便大家節省時間
[00:02:05.360 --> 00:02:08.280]  大家現在的趨勢是不需要寫的
[00:02:08.280 --> 00:02:12.000]  只需要錄音就可以了
[00:02:12.000 --> 00:02:17.360]  因為錄音後就把這些錄音轉化成文字
[00:02:17.360 --> 00:02:19.880]  就可以成為一個會議的紀錄
[00:02:19.880 --> 00:02:24.280]  但當然這個會議紀錄不是那麼完美
[00:02:24.280 --> 00:02:30.280]  需要人去修整一下
[00:02:30.280 --> 00:02:35.520]  同樣現在很多時候出很多的設計
[00:02:35.520 --> 00:02:36.800]  很多的海報
[00:02:36.800 --> 00:02:44.240]  其實都可以不需要去外面找人去做
[00:02:44.240 --> 00:02:46.240]  只要你懂AI的時候
[00:02:46.240 --> 00:02:49.440]  都可以幫你去解決很多海報的設計
[00:02:49.440 --> 00:02:50.640]  所以在教會裡面
[00:02:50.640 --> 00:02:53.040]  有時候你見到很多的海報、powerpoint
[00:02:53.040 --> 00:02:55.280]  都是AI所做的
[00:02:55.280 --> 00:02:59.840]  我們發覺其實AI已經開始慢慢地
[00:02:59.840 --> 00:03:02.680]  其實在某一些行業裡面
[00:03:02.680 --> 00:03:05.120]  都已經在取代白領
[00:03:05.120 --> 00:03:08.000]  和一些有創意性的工作
[00:03:08.000 --> 00:03:10.120]  開始已經有一些取代
[00:03:10.120 --> 00:03:14.040]  大家知道現在整體的經濟環境
[00:03:14.040 --> 00:03:16.280]  其實都不是那麼理想
[00:03:16.280 --> 00:03:19.240]  大家有沒有感受到現在外面的市場
[00:03:19.240 --> 00:03:21.040]  如果你出去外面都知道
[00:03:21.040 --> 00:03:22.440]  都不是那麼理想
[00:03:22.440 --> 00:03:24.400]  其實也有不少的人
[00:03:24.400 --> 00:03:26.400]  對於工作的前景
[00:03:26.400 --> 00:03:28.480]  其實都會感到有憂慮
[00:03:28.480 --> 00:03:31.360]  特別是一些青年人
[00:03:31.360 --> 00:03:34.560]  很擔心越來越難找工作
[00:03:34.560 --> 00:03:37.000]  就算我現在大學畢業
[00:03:37.000 --> 00:03:38.960]  是不是保證你一定找到工作?
[00:03:38.960 --> 00:03:40.280]  其實都不是的
[00:03:40.280 --> 00:03:43.160]  早前我看一個電視節目說到
[00:03:43.160 --> 00:03:45.960]  有一個專業的讀護士
[00:03:45.960 --> 00:03:47.280]  畢業了之後
[00:03:47.280 --> 00:03:50.000]  你猜是不是馬上可以找到工作?
[00:03:50.000 --> 00:03:50.920]  都不是的
[00:03:50.920 --> 00:03:54.520]  他都要等到大半年的時間都找到
[00:03:54.520 --> 00:03:56.200]  還不是一份長工
[00:03:56.200 --> 00:03:58.000]  還要是一個contract
[00:03:58.000 --> 00:03:59.760]  所以你會見到其實
[00:03:59.760 --> 00:04:01.560]  有很多人都很擔心
[00:04:01.560 --> 00:04:03.920]  越來越難找工作
[00:04:03.920 --> 00:04:06.640]  中年人士亦都會很擔心
[00:04:06.640 --> 00:04:07.840]  因為現在的潮流
