
[00:00:00.000 --> 00:00:02.000]  想問大家一個問題
[00:00:02.000 --> 00:00:06.560]  一個公義的社會是怎樣能夠形成的呢?
[00:00:06.560 --> 00:00:09.520]  我們經常說社會不公義
[00:00:09.520 --> 00:00:11.800]  但怎樣才公義呢?
[00:00:11.800 --> 00:00:13.560]  如果讓你做一個理想
[00:00:13.560 --> 00:00:17.400]  我覺得有幾樣東西對社會公義是很重要的
[00:00:17.400 --> 00:00:19.400]  第一就是律法
[00:00:19.400 --> 00:00:22.520]  你一定要有公義的律法
[00:00:22.520 --> 00:00:24.320]  社會才能夠公義的
[00:00:24.320 --> 00:00:25.320]  對不對?
[00:00:25.320 --> 00:00:27.680]  大部份的律法都是公義的
[00:00:27.680 --> 00:00:29.680]  大部份而已
[00:00:29.680 --> 00:00:31.680]  那是不是有些律法不公義的?
[00:00:31.680 --> 00:00:33.280]  有沒有?
[00:00:33.280 --> 00:00:37.880]  有,你去那些網絡承辦商
[00:00:37.880 --> 00:00:40.120]  我覺得那些律法不太公義
[00:00:40.120 --> 00:00:43.000]  它可以改你的合約就行
[00:00:43.000 --> 00:00:44.440]  你改它是不行的
[00:00:44.440 --> 00:00:46.200]  起碼不太公平
[00:00:46.200 --> 00:00:48.200]  加州說什麼?
[00:00:48.200 --> 00:00:51.080]  你偷東西一千元以下
[00:00:51.080 --> 00:00:54.000]  是沒有事的,這樣公不公義?
[00:00:54.000 --> 00:00:57.240]  不公義,我發覺原來律法越來越不公義
[00:00:57.240 --> 00:00:59.760]  不過,你有張良計
[00:00:59.760 --> 00:01:04.080]  整間店裡面的汽水都是一千零五元的
[00:01:04.080 --> 00:01:06.480]  這樣就能解決問題
[00:01:06.480 --> 00:01:07.280]  對不對?
[00:01:07.280 --> 00:01:09.920]  接著他來的時候折扣你一千元
[00:01:09.920 --> 00:01:12.400]  但這個是反映到
[00:01:12.400 --> 00:01:13.880]  社會是不公義的
[00:01:13.880 --> 00:01:16.280]  第二就是除了有公義的律法
[00:01:16.280 --> 00:01:18.040]  還要執法的
[00:01:18.040 --> 00:01:20.040]  同意嗎?
[00:01:20.040 --> 00:01:22.040]  現在美國弄得很亂
[00:01:22.040 --> 00:01:23.800]  美國的ICE
[00:01:23.800 --> 00:01:26.040]  移民海關執法局
[00:01:26.040 --> 00:01:29.000]  開始執法的時候被人吵得太厲害
[00:01:29.000 --> 00:01:32.000]  過去十年都沒有執法過
[00:01:32.000 --> 00:01:35.280]  那些非法移民在墨西哥不斷湧入美國
[00:01:35.280 --> 00:01:37.520]  然後殺人放火強姦
[00:01:37.520 --> 00:01:38.960]  沒有事的
[00:01:38.960 --> 00:01:41.240]  就是說如果你不執法
[00:01:41.240 --> 00:01:43.000]  這個社會會不會公義?
[00:01:43.000 --> 00:01:45.000]  當然不會公義
[00:01:45.000 --> 00:01:46.520]  第三就是
[00:01:46.520 --> 00:01:48.040]  執法的過程裡面
[00:01:48.040 --> 00:01:50.760]  最重要的是法官
[00:01:50.760 --> 00:01:51.760]  對不對?
[00:01:51.760 --> 00:01:53.760]  如果法官收了稅
[00:01:53.760 --> 00:01:56.640]  那你就算有法庭
[00:01:56.640 --> 00:01:59.360]  都沒有社會公義的
[00:01:59.360 --> 00:02:00.360]  對不對?
[00:02:00.360 --> 00:02:03.440]  所以其實是很難的
[00:02:03.440 --> 00:02:04.960]  不過再想深一層
[00:02:04.960 --> 00:02:06.680]  就算全部東西都有了
[00:02:06.680 --> 00:02:09.240]  都未必一定有公義的
[00:02:09.240 --> 00:02:12.040]  大家有沒有聽過美國哈林區?
[00:02:12.040 --> 00:02:14.640]  你有沒有人去過?
[00:02:14.640 --> 00:02:16.240]  沒有人舉手
