
[00:00:00.000 --> 00:00:03.560]  好,其實勁馬女帶領我們一起唱詩
[00:00:03.560 --> 00:00:06.600]  我覺得很特別的,每一次講稿的時候
[00:00:06.600 --> 00:00:09.160]  因為我沒有跟勁馬女合作
[00:00:09.160 --> 00:00:12.800]  但很多時候她們的詩歌都是回應我那一天
[00:00:12.800 --> 00:00:14.320]  那星期的講題
[00:00:14.320 --> 00:00:17.000]  我覺得尚勵的工作其實很真實存在
[00:00:17.000 --> 00:00:18.920]  拍網也帶著恭敬的心
[00:00:18.920 --> 00:00:22.360]  看看尚勵今天要跟我們說什麼話,好不好
[00:00:22.360 --> 00:00:25.760]  好,先說說一點引言
[00:00:25.760 --> 00:00:30.600]  話說我九月份開始去大專組成為同工
[00:00:30.600 --> 00:00:34.200]  大專同工,有時也會加入家序
[00:00:34.200 --> 00:00:38.720]  其實三個月裡我已經玩了兩次一款遊戲
[00:00:38.720 --> 00:00:39.960]  就是這裡
[00:00:39.960 --> 00:00:43.760]  狼人殺,不知道有沒有人也喜歡玩
[00:00:43.760 --> 00:00:49.600]  好吧,大家心裡喜歡玩就舉手吧
[00:00:49.600 --> 00:00:52.760]  三個月裡已經玩了兩次
[00:00:52.760 --> 00:00:55.960]  證明我的組員是很喜歡玩狼人殺
[00:00:55.960 --> 00:00:57.920]  我自己也覺得很好玩
[00:00:57.920 --> 00:00:59.840]  因為很簡單,沒有什麼道具要用
[00:00:59.840 --> 00:01:02.960]  就是安排角色給你解說一下角色是怎樣
[00:01:02.960 --> 00:01:07.480]  但好玩之餘,對我來說是很燒腦的
[00:01:07.480 --> 00:01:09.520]  因為有很多事情要發生
[00:01:09.520 --> 00:01:12.160]  每個人有不同的角色,你看到這裡
[00:01:12.160 --> 00:01:14.280]  每晚我們的工作就是
[00:01:14.280 --> 00:01:15.800]  如果你不是狼人的話
[00:01:15.800 --> 00:01:17.640]  你就要去測驗一下
[00:01:17.640 --> 00:01:20.360]  看看找一下哪一個是狼人
[00:01:20.360 --> 00:01:22.720]  找也不是問題
[00:01:22.720 --> 00:01:24.680]  最重要是每一個回合都要結束
[00:01:24.680 --> 00:01:27.720]  就是天亮了,MC就說誰死了
[00:01:27.720 --> 00:01:30.680]  然後每個人就要輪流發言
[00:01:30.680 --> 00:01:33.280]  說一下你覺得是誰
[00:01:33.280 --> 00:01:35.960]  你要表態你是好人還是壞人
[00:01:35.960 --> 00:01:38.000]  一定不會有人說自己是壞人
[00:01:38.000 --> 00:01:41.680]  你就要細心聽聽他們的蛛絲馬跡
[00:01:41.680 --> 00:01:44.960]  聽聽他們說的話是真是假
[00:01:44.960 --> 00:01:47.760]  又或者你會說,我覺得你有點實
[00:01:47.760 --> 00:01:50.720]  可能有很多事情要說
[00:01:50.720 --> 00:01:54.040]  也要仔細思考一下
[00:01:54.040 --> 00:01:55.640]  要透過蛛絲馬跡
[00:01:55.640 --> 00:01:59.920]  就是可疑的意思
[00:01:59.920 --> 00:02:01.520]  要仔細思考一下
[00:02:01.520 --> 00:02:04.240]  透過蛛絲馬跡去分析一下
[00:02:04.240 --> 00:02:07.960]  究竟那個人說的話是真的還是假的
[00:02:07.960 --> 00:02:12.320]  因為如果你誤信了一個壞人或者狼人的時候
[00:02:12.320 --> 00:02:16.080]  那一回合就會多一個無辜的人死掉
[00:02:16.080 --> 00:02:17.680]  是很危險的
[00:02:17.680 --> 00:02:20.480]  同樣地,我們作為信徒
[00:02:20.480 --> 00:02:22.200]  在現實生活中
[00:02:22.200 --> 00:02:24.400]  也是一場超級大型
[00:02:24.400 --> 00:02:27.080]  全世界都在玩的狼人殺
[00:02:27.080 --> 00:02:28.080]  為什麼會這樣說呢?
[00:02:28.080 --> 00:02:30.360]  因為同樣地,魔鬼殺蛋
[00:02:30.360 --> 00:02:33.120]  也是隱身在這個世界當中
[00:02:33.120 --> 00:02:35.240]  隱身在黑暗當中
[00:02:35.240 --> 00:02:37.680]  我們有時究竟有沒有留意到
[00:02:37.680 --> 00:02:39.040]  察覺到
[00:02:39.040 --> 00:02:41.120]  聽不聽得出哪些是真
[00:02:41.120 --> 00:02:43.560]  哪些是假的東西呢?
[00:02:43.560 --> 00:02:46.560]  今天很想透過以下的經文
[00:02:46.560 --> 00:02:48.560]  講題就是
[00:02:48.560 --> 00:02:50.040]  我最喜歡的識字
[00:02:50.040 --> 00:02:52.040]  寧小心,寧放心
[00:02:52.040 --> 00:02:55.240]  是《約翰一書》的四章一至六節
[00:02:55.240 --> 00:02:57.280]  我們一起透過這段經文
[00:02:57.280 --> 00:03:00.640]  去看看我們如何察覺到
[00:03:00.640 --> 00:03:03.840]  識穿了隱身在這個世界中的魔鬼殺蛋
[00:03:03.840 --> 00:03:06.080]  同時我們又如何面對
[00:03:06.080 --> 00:03:09.040]  魔鬼殺蛋的一些攻擊和伎倆
[00:03:09.040 --> 00:03:11.840]  我們先一起讀出今天的經文
[00:03:11.840 --> 00:03:13.840]  我們預備起
[00:03:14.240 --> 00:03:17.720]  「親愛的,一切的靈不可道順」
[00:03:17.720 --> 00:03:21.520]  「總要察驗那些靈是否出於神」
[00:03:21.520 --> 00:03:25.720]  「因為有許多假先知已經來到世上」
[00:03:25.720 --> 00:03:30.120]  「凡宣認耶穌基督是成了肉身而來的靈」
[00:03:30.120 --> 00:03:32.120]  「就是出於神的」
[00:03:32.120 --> 00:03:35.640]  「認出神的靈來」
[00:03:35.640 --> 00:03:39.640]  「凡不認出的靈,不是出於神」
[00:03:39.640 --> 00:03:42.120]  「這是那的基督的靈」
[00:03:43.920 --> 00:03:47.920]  「祂要來,現在祂已經在世上了」
[00:03:47.920 --> 00:03:50.920]  「孩子們啊,你們是屬神的」
[00:03:50.920 --> 00:03:53.520]  「並且勝過了假先知」
[00:03:53.520 --> 00:03:55.920]  「因為那在你們裡面的」
[00:03:55.920 --> 00:03:58.720]  「比那在世界上的更大」
[00:03:58.720 --> 00:04:00.720]  「他們是屬世界的」
[00:04:00.720 --> 00:04:03.120]  「所以講論世界的事」
[00:04:03.120 --> 00:04:05.720]  「而世人也聽從他們」
[00:04:05.720 --> 00:04:07.520]  「我們是屬神的」
[00:04:07.520 --> 00:04:10.120]  「認識神的就聽從我們」
[00:04:10.120 --> 00:04:13.120]  「不屬神的就不聽從我們」
[00:04:13.120 --> 00:04:16.320]  「從此我們可以認出真理的靈」
[00:04:16.320 --> 00:04:18.320]  「和錯謀的靈來」
[00:04:18.320 --> 00:04:20.320]  「我們先一起禱告」
[00:04:20.320 --> 00:04:22.920]  「主求你幫助我們」
